1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,28761,17883,0,0,0,0,0,1256,0,1256,6974,2648,2512,137,0,0,33999,24938,4565,4390,15983,9045,0,16,0,328513,62
1952:Q1,30409,17895,0,0,0,0,0,2098,0,2098,7702,2714,2576,137,0,0,35175,25464,4605,4517,16343,9695,0,16,0,331583,63
1952:Q2,30347,17736,0,0,0,0,0,2284,0,2284,7539,2789,2649,139,0,0,36399,26603,4938,4635,17030,9780,0,17,0,332500,63
1952:Q3,30693,17534,0,0,0,0,0,2349,0,2349,7945,2865,2725,140,0,0,37152,27163,4965,4650,17548,9972,0,17,0,332818,64
1952:Q4,30857,17413,0,0,0,0,0,2670,0,2670,7838,2936,2795,141,0,0,37082,27439,4944,4681,17814,9626,0,17,0,330657,67
1953:Q1,31672,17329,0,0,0,0,0,2449,0,2449,8891,3004,2860,143,0,0,38409,27602,4825,4802,17974,10789,0,18,0,329100,67
1953:Q2,31626,17255,0,0,0,0,0,2560,0,2560,8743,3068,2925,143,0,0,39360,28454,4994,4851,18609,10887,0,18,0,327734,68
1953:Q3,31751,17215,0,0,0,0,0,2552,0,2552,8850,3135,2988,146,0,0,40195,28988,5130,4856,19002,11189,0,18,0,328684,70
1953:Q4,31448,17217,0,0,0,0,0,2798,0,2798,8233,3201,3052,148,0,0,38369,28357,4434,4775,19148,9993,0,19,0,330217,72
1954:Q1,32129,17276,0,0,0,0,0,2489,0,2489,9097,3266,3117,149,0,0,40175,28804,4522,4954,19328,11352,0,19,0,330437,73
1954:Q2,32072,17400,0,0,0,0,0,2562,0,2562,8777,3333,3183,150,0,0,41634,29908,4764,4999,20145,11707,0,19,0,330343,75
1954:Q3,32366,17538,0,0,0,0,0,2512,0,2512,8916,3400,3248,152,0,0,43461,30885,5029,5047,20808,12557,0,20,0,331712,76
