date,State and local governments; current receipts, NIPA basis,State and local governments; personal current taxes,State and local governments; taxes on production and imports, receivable (IMA),State and local governments; taxes on corporate income (accrual basis),State and local governments; contributions for government social insurance received,State and local governments; property income (received),State and local governments; other current transfer received,State and local governments; operating surplus, net,State and local governments; current expenditures,State and local governments; consumption expenditures,State and local governments; social contributions paid,State and local governments; other current transfer payments to the rest of the world,State and local governments; interest paid (IMA),State and local governments; subsidies paid,State and local governments; net saving including net capital transfers paid,State and local governments; consumption of fixed capital, equipment, software, and structures, current cost basis (NIPA basis),State and local governments; net capital transfers paid,State and local governments; gross saving less net capital transfers paid,State and local governments; gross investment,State and local governments; gross fixed investment (NIPA basis),State and local governments; acquisition of nonproduced nonfinancial assets (net),State and local governments; net lending (+) or borrowing (-) (financial account),State and local governments; total financial assets,State and local governments; checkable deposits and currency; asset,State and local governments; total time and savings deposits; asset,State and local governments; money market fund shares; asset,State and local governments; security repurchase agreements; asset,State and local governments; debt securities; asset,State and local governments; commercial paper; asset,State and local governments; Treasury securities, including SLGS; asset,State and local governments; agency- and GSE-backed securities; asset,State and local governments; municipal securities; asset,State and local governments; corporate and foreign bonds; asset,State and local governments; total mortgages; asset,State and local governments; corporate equities; asset,State and local governments; mutual fund shares; asset,State and local governments; trade receivables; asset,State and local governments; taxes receivable; asset,State and local governments; unidentified miscellaneous assets,State and local governments; total liabilities,State and local governments; municipal securities; liability,State and local governments; short-term municipal securities; liability,State and local governments; long-term municipal securities; liability,State and local governments; U.S. government loans; liability,State and local governments; trade payables; liability,State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset,State and local governments; sector discrepancy
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q2,5781,461,4197,199,68,162,593,102,5626,4538,749,0,339,0,155,693,-172,1020,-229,1920,61,-2210,765,-21,-6,0,87,677,0,460,205,12,0,25,0,0,-93,-1,97,2975,2464,-87,2551,73,126,312,1249
1952:Q3,5964,462,4301,198,69,162,676,97,5168,4098,723,0,347,0,796,718,-184,1698,1006,2111,63,-1168,469,-451,-7,0,512,151,0,78,65,8,0,26,0,0,128,-6,116,1637,1215,163,1052,136,120,166,692
1952:Q4,6137,461,4416,218,74,166,705,97,5555,4464,734,0,357,0,582,710,-185,1477,971,1860,67,-956,606,480,4,0,-432,294,0,320,-24,-2,0,24,0,0,107,12,117,1562,962,-84,1046,158,123,319,506
1953:Q1,6073,478,4491,216,74,180,530,105,5717,4625,725,0,367,0,356,725,-169,1250,112,1559,77,-1524,184,39,30,0,9,229,0,288,-62,3,0,21,0,0,-30,2,-116,1708,1564,127,1437,-225,128,241,1137
1953:Q2,6366,481,4561,217,75,186,738,110,5819,4692,750,0,377,0,547,721,-224,1492,959,2044,82,-1167,202,305,84,0,-256,149,0,162,-43,30,0,21,0,0,12,-4,-109,1369,1158,-128,1286,-74,125,160,534
1953:Q3,6417,488,4647,211,78,189,690,115,5576,4418,770,0,388,0,841,729,-200,1770,1232,2309,84,-1161,579,-574,-46,0,815,183,0,126,-2,59,0,20,0,0,53,-9,137,1740,1416,214,1202,3,131,190,538
1953:Q4,6473,490,4696,165,79,190,731,123,5887,4761,727,0,399,0,586,719,-205,1510,1226,2084,86,-944,679,645,261,0,-640,341,0,228,23,90,0,21,0,0,-31,-42,124,1623,1217,-44,1261,-68,134,340,284
1954:Q1,6514,514,4740,180,79,201,668,133,6065,4905,749,0,410,0,450,712,-213,1375,428,1783,79,-1434,287,340,326,0,-391,182,0,60,31,91,0,22,0,0,-48,-14,-130,1721,1504,189,1315,-104,140,181,947
1954:Q2,6577,522,4803,185,81,200,646,140,6261,5077,761,0,422,0,317,743,-207,1266,1258,2399,84,-1225,254,-47,52,0,216,142,0,64,21,57,0,24,0,0,6,7,-146,1479,1350,-104,1454,-193,143,179,8
1954:Q3,6760,527,4875,197,82,201,734,145,5966,4758,772,0,435,0,795,745,-211,1751,1523,2721,94,-1292,649,-928,103,0,1006,231,0,172,32,27,0,23,0,0,98,25,91,1941,1510,159,1351,-24,148,307,228
1954:Q4,6888,529,4964,211,82,202,748,152,6412,5177,785,0,449,0,476,761,-210,1447,1396,2392,109,-1104,633,1006,-19,0,-834,209,0,151,59,-1,0,21,0,0,119,28,103,1737,1287,-134,1421,-14,149,315,51
1955:Q1,6990,591,5066,234,83,203,643,170,6673,5409,800,0,464,0,317,753,-233,1303,448,1979,135,-1666,337,-52,-42,0,230,251,0,189,73,-11,0,17,0,0,8,27,-102,2003,1492,105,1387,8,158,345,855
1955:Q2,7151,590,5176,237,84,206,675,183,6862,5558,825,0,479,0,290,767,-244,1301,1590,2616,150,-1176,462,454,75,0,-402,301,0,270,32,-1,0,14,0,0,92,0,-72,1638,1112,-188,1300,-9,161,374,-290
1955:Q3,7441,602,5328,245,84,212,779,191,6481,5172,815,0,494,0,960,809,-263,2032,2002,2939,162,-1099,805,-874,-139,0,1136,293,0,302,-17,8,0,13,0,0,208,-4,172,1904,1401,202,1199,3,163,337,30
