date,All sectors; total mortgages; asset,All sectors; one-to-four-family residential mortgages; asset,All sectors; multifamily residential mortgages; asset,All sectors; commercial mortgages; asset,All sectors; farm mortgages; asset,All sectors; total mortgages; asset,Households and nonprofit organizations; total mortgages; liability,Nonfinancial business; total mortgages; liability,Nonfinancial corporate business; total mortgages; liability,Nonfinancial noncorporate business; total mortgages; liability,Federal government; multifamily residential mortgages; liability,Equity real estate investment trusts; total mortgages; liability,All sectors; total mortgages; asset,Households and nonprofit organizations; total mortgages; asset,Nonfinancial corporate business; total mortgages; asset,Nonfinancial noncorporate business; total mortgages; asset,Federal government; total mortgages; asset,Federal government; total mortgages held by Ginnie Mae; asset,Federal government; total mortgages Federal Farmers Home Administration (FmHA), excluding one-to-four-family residential mortgages held by the Federal Financing Bank; asset,Federal government; total mortgages held by FHA; asset,Federal government; total mortgages held by FDIC; asset,Federal government; total mortgages held by Federal Financing Bank, Public Housing Administration (PHA), RTC, and VA; asset,State and local governments; total mortgages; asset,Private depository institutions; total mortgages; asset,U.S.-chartered depository institutions; total mortgages; asset,Foreign banking offices in the U.S.; total mortgages; asset,Banks in U.S.-affiliated areas; total mortgages; asset,Credit unions; one-to-four-family residential mortgages; asset,Property-casualty insurance companies; commercial mortgages, including those held by U.S. residual market reinsurers; asset,Life insurance companies; total mortgages; asset,Private pension funds; total mortgages; asset,State and local government employee defined benefit retirement funds; total mortgages; asset,Government-sponsored enterprises; total mortgages; asset,Government-sponsored enterprises; total mortgages held by Fannie Mae (includes all GSEs before 2000:Q4); asset,Government-sponsored enterprises; total mortgages held by Freddie Mac; asset,Government-sponsored enterprises; total mortgages held by Farm Credit System; asset,Government-sponsored enterprises; total mortgages held by FHLB; asset,Government-sponsored enterprises; farm mortgages held by Farmer Mac; asset,Agency-and GSE-backed mortgage pools; total mortgages; asset,Agency-and GSE-backed mortgage pools; total mortgages held in a Ginnie Mae pool; asset,Agency-and GSE-backed mortgage pools; total mortgages held in a Freddie Mac pool; asset,Agency-and GSE-backed mortgage pools; total mortgages held in a Fannie Mae pool; asset,Agency-and GSE-backed mortgage pools; farm mortgages held in a Farmer Mac pool; asset,Agency-and GSE-backed mortgage pools; total mortgages held in a Federal Farmers Home Administration (FmHA) pool, excluding one-to-four-family residential mortgages held by the Federal Financing Bank; asset,Issuers of asset-backed securities; total mortgages; asset,Finance companies; total mortgages; asset,Real estate investment trusts; total mortgages; asset
1968:Q1,388021,249378,45477,67543,25623,388021,259192,127087,40657,86430,1702,40,388021,47312,106,0,8218,3696,1457,670,0,2395,3044,233542,231724,0,499,1319,188,67973,4091,5148,11958,6165,0,5793,0,0,2169,0,0,1398,0,771,0,4121,151
1968:Q2,395418,253675,46242,69114,26387,395418,263651,130003,40874,89129,1684,80,395418,47757,104,0,8569,3938,1480,691,0,2460,3090,238207,236391,0,505,1311,190,68421,4050,5269,12596,6623,0,5973,0,0,2359,0,0,1469,0,890,0,4423,383
1968:Q3,403087,258183,47141,70927,26836,403087,268340,132917,41400,91517,1670,160,403087,48735,103,0,8935,4118,1580,712,0,2525,3141,243242,241452,0,511,1279,192,68907,4071,5275,12908,6844,0,6064,0,0,2444,0,0,1493,0,951,0,4595,539
1968:Q4,411381,262934,48251,73019,27177,411381,273240,136287,42399,93888,1654,200,411381,49082,100,0,9261,4273,1683,730,0,2575,3195,248562,246769,0,517,1276,193,69975,4067,5362,13293,7167,0,6126,0,0,2526,0,0,1514,0,1012,0,4935,830
1969:Q1,416067,264857,49196,74367,27647,416067,275348,138727,43212,95515,1635,357,416067,47321,123,0,9507,4378,1795,718,0,2616,3243,252722,250915,0,548,1259,195,70382,4079,5426,14006,7689,0,6317,0,0,2616,0,0,1542,0,1074,0,5455,992
1969:Q2,424224,269738,50352,75792,28342,424224,280427,141819,42775,99044,1610,368,424224,47038,160,100,9782,4490,1911,733,0,2648,3302,258147,256372,0,593,1182,196,70858,4069,5475,14732,8175,0,6557,0,0,2701,0,0,1567,0,1134,0,6389,1275
1969:Q3,432047,274512,51512,77271,28752,432047,285383,144688,42572,102116,1598,378,432047,47429,201,200,9980,4661,1895,733,0,2691,3432,263116,261387,0,642,1087,197,71368,4134,5550,16002,9326,0,6676,0,0,2949,0,0,1683,0,1266,0,5991,1498
1969:Q4,439911,278689,53176,79051,28995,439911,289709,148199,43292,104907,1573,430,439911,49237,236,300,10231,4883,1873,747,0,2728,3652,265620,263880,0,685,1055,200,72027,4216,5575,17664,10950,0,6714,0,0,3204,0,0,1800,0,1404,0,5742,2007
1970:Q1,442980,280971,53467,78950,29592,442980,287149,153842,56458,97384,1556,433,442980,47109,194,400,10318,4999,1855,708,0,2756,4078,266712,265252,0,715,745,208,72673,4230,5650,19332,12499,0,6833,0,0,3499,15,0,1937,0,1547,0,6222,2355
1970:Q2,450595,284366,55054,81253,29922,450595,290195,158420,57300,101120,1532,448,450595,47969,202,500,10448,5081,1923,694,0,2750,4187,269675,268173,0,738,764,220,73227,4213,5808,20653,13658,0,6995,0,0,3713,37,0,1982,0,1694,0,7036,2744
1970:Q3,460315,288349,57668,84057,30241,460315,294086,164203,58499,105704,1506,520,460315,49830,208,600,10496,5166,1863,724,0,2743,4353,274379,272836,0,759,784,233,73582,4193,5789,22230,14807,322,7101,0,0,4132,95,0,2074,0,1963,0,7138,3152
1970:Q4,469364,292240,60129,86503,30492,469364,297922,169398,59762,109636,1498,546,469364,50108,214,700,10533,5238,1790,781,0,2724,4569,279276,277693,0,783,800,245,74375,4171,5920,23046,15502,357,7187,0,0,4755,347,0,2163,0,2245,0,7548,3904
1971:Q1,477184,296349,62312,87700,30823,477184,301778,173340,60905,112435,1484,582,477184,49360,219,975,10444,5291,1723,843,0,2587,4875,284587,282965,0,809,813,245,74533,4080,6019,23087,15420,320,7347,0,0,5957,1109,0,2305,0,2543,0,8481,4322
1971:Q2,490134,303206,65052,90090,31786,490134,307479,180576,62021,118555,1463,616,490134,49791,199,1275,10404,5319,1633,865,0,2587,5031,293518,291831,0,863,824,240,74509,3914,6170,23427,15363,485,7579,0,0,7572,2263,0,2452,0,2857,0,9109,4975
1971:Q3,504220,311379,67399,93327,32115,504220,315173,186969,62941,124028,1445,633,504220,48634,220,1575,10335,5299,1542,907,0,2587,5358,304653,302928,0,890,835,233,74751,3768,6178,25299,16732,800,7767,0,0,8369,2540,0,2564,0,3265,0,9332,5515
1971:Q4,517869,318411,70094,96983,32381,517869,321936,193827,64936,128891,1426,680,517869,47341,239,1875,10153,5332,1432,961,0,2428,5648,314561,312799,0,915,847,223,75496,3658,6288,26672,17791,964,7917,0,0,9516,3074,64,2685,0,3693,0,9996,6203
1972:Q1,531563,325753,72680,100034,33096,531563,328734,200699,68012,132687,1401,729,531563,47660,237,2175,10239,5280,1627,1057,0,2275,5983,324428,322630,0,917,881,215,75398,3332,6309,27469,18342,988,8139,0,0,10542,3992,166,2760,0,3624,0,10441,7135
1972:Q2,550187,335726,76046,104306,34109,550187,337344,210529,69436,141093,1383,931,550187,48176,199,2450,10194,5260,1586,1105,0,2243,6386,338354,336533,0,894,927,204,75404,3133,6257,28473,18628,1415,8430,0,0,11748,4619,209,2855,0,4065,0,10990,8219
1972:Q3,569366,347347,78834,108330,34855,569366,347504,219457,71312,148145,1362,1043,569366,48384,271,2725,10083,5277,1442,1195,0,2169,6673,353537,351594,0,971,972,193,75588,2865,6340,29589,19295,1545,8749,0,0,12815,4973,295,2948,0,4599,0,11382,8921
1972:Q4,589786,357381,82876,114168,35361,589786,356801,230494,74173,156321,1340,1151,589786,48260,226,3000,9460,5113,1019,1282,0,2046,7035,367843,365919,0,924,1000,181,76948,2728,6470,30677,19781,1789,9107,0,0,14404,5504,441,3311,0,5148,0,12158,10396
1973:Q1,605291,365955,84593,118253,36490,605291,365076,237623,76383,161240,1318,1274,605291,47831,264,3170,9299,4664,1281,1425,0,1929,7313,380251,378156,20,920,1155,176,77166,2514,6632,31880,20571,1718,9591,0,0,15160,6089,661,3302,0,5108,0,12366,11269
1973:Q2,627950,378024,87957,124008,37961,627950,375373,249865,82945,166920,1300,1412,627950,48215,300,3299,8269,3908,1068,1471,0,1822,7556,396600,394407,14,915,1264,173,77982,2439,6821,33559,21413,2029,10117,0,0,16615,6790,734,3569,0,5522,0,13167,12955
1973:Q3,649008,389894,91127,129035,38952,649008,385930,260377,93859,166518,1284,1417,649008,47607,312,3330,9229,4430,1353,1586,0,1860,8002,410989,408615,30,975,1369,171,79187,2361,6888,35846,22831,2423,10592,0,0,17057,7222,776,3537,0,5522,0,13120,14909
1973:Q4,666543,399840,93191,133706,39806,666543,396080,267743,104837,162906,1269,1451,666543,47231,324,3285,8871,4029,1366,1653,0,1823,8735,420805,418276,52,1036,1441,166,81369,2376,7141,37750,24075,2604,11071,0,0,18040,7890,766,3788,0,5596,0,14494,15956
1974:Q1,681413,407909,95355,137455,40694,681413,404012,274634,106810,167824,1249,1518,681413,48171,397,3354,8797,3604,1671,1758,0,1764,9188,428934,426306,60,1092,1476,164,82180,2393,7277,38879,24775,2637,11467,0,0,19709,9555,774,3808,0,5572,0,15270,16700
1974:Q2,700754,418838,97221,142377,42318,700754,414624,283376,107401,175975,1227,1527,700754,48950,471,3406,9672,3616,2460,1829,0,1767,9652,441366,438681,66,1148,1471,162,83225,2377,7330,42150,26559,3191,12400,0,0,20132,10225,760,3685,0,5462,0,15223,16638
1974:Q3,716574,428859,98933,145045,43737,716574,425813,288010,104607,183403,1196,1555,716574,49938,617,3418,11089,4052,1846,1973,0,3218,10095,450228,447294,82,1382,1470,161,84427,2368,7423,45539,28641,3713,13185,0,0,20537,10982,738,3931,0,6169,0,14392,16342
1974:Q4,728426,435176,100049,148279,44922,728426,433813,291870,103738,188132,1163,1580,728426,50594,746,3393,12634,4846,1432,2158,0,4198,11205,454595,451470,100,1512,1513,157,86234,2372,7702,48094,29578,4586,13930,0,0,21458,11769,757,4375,0,6287,0,13097,16145
1975:Q1,737733,439951,100586,150411,46785,737733,438999,295997,103900,192097,1159,1578,737733,44702,9247,3278,12902,5599,631,2315,0,4357,11754,457838,454481,215,1537,1605,151,87246,2409,7705,49531,29754,4608,15169,0,0,24420,13340,1101,4529,0,7274,0,12656,13894
1975:Q2,753522,450826,100735,153431,48530,753522,449278,301576,105015,196561,1117,1551,753522,47107,9397,3196,15023,5610,1169,2508,0,5736,12202,467438,463779,348,1567,1744,172,87967,2378,7810,50962,30015,4944,16003,0,0,25603,15437,1193,4692,0,6573,0,12624,11643
1975:Q3,769738,462776,100820,157058,49084,769738,461310,305820,106682,199138,1100,1508,769738,49475,9547,3190,17031,6534,1118,2844,0,6535,12500,478337,474537,286,1627,1887,191,88331,2366,7875,52211,31055,5033,16123,0,0,26785,16595,1323,4706,0,6657,0,12899,9000
1975:Q4,785568,474003,100693,161019,49853,785568,474084,308901,107945,200956,1073,1510,785568,50481,9697,3252,19143,7438,1108,3089,0,7508,12812,488890,485024,185,1688,1993,221,89168,2383,7542,53460,31824,4987,16649,0,0,28511,18257,1598,4794,0,6659,0,12868,7140
1976:Q1,802392,486205,102169,163221,50797,802392,485179,314591,107760,206831,1051,1571,802392,51356,9864,3326,19834,7619,650,3229,0,8336,12752,500558,496562,165,1712,2119,221,89427,2383,7543,54121,32182,4602,17337,0,0,31152,20479,1999,5148,0,6668,0,13345,6510
1976:Q2,823307,501045,103607,166345,52310,823307,499346,321239,110113,211126,1029,1693,823307,52099,10030,3462,18697,5557,830,3430,0,8880,13221,517625,513478,162,1734,2251,245,89706,2383,7623,54620,32028,4529,18063,0,0,34016,23634,2153,5217,0,6309,0,13700,5880
1976:Q3,847760,518784,104909,170146,53921,847760,516618,328347,112793,215554,997,1798,847760,52928,10199,3741,19491,5068,1355,3461,0,9607,13607,535498,531259,128,1730,2381,244,90202,2373,7625,55906,32962,4269,18675,0,0,36984,26725,2506,5607,0,5840,0,13712,5250
1976:Q4,870518,535022,105895,174189,55412,870518,532631,334905,114892,220013,982,2000,870518,52839,10367,4151,19563,4241,1064,3565,0,10693,14062,551630,547314,89,1727,2500,273,91555,2414,7732,56423,32904,4269,19250,0,0,40693,30572,2671,5807,0,5673,0,14196,4620
1977:Q1,892257,550282,107142,177453,57380,892257,547018,342310,116098,226212,949,1980,892257,53628,11160,4320,19780,4013,500,3593,0,11674,14217,566240,561830,91,1729,2590,327,91844,2420,7684,56459,32830,3557,20072,0,0,45418,34260,3570,6025,0,5847,0,14450,4310
1977:Q2,926270,575838,109746,180348,60338,926270,570034,353429,119022,234407,919,1888,926270,54453,11961,4557,20982,3912,1043,3660,0,12367,13996,591209,586720,102,1731,2656,368,92934,2539,7864,58253,33918,3388,20947,0,0,47980,36573,4460,6124,0,5356,0,15174,4000
1977:Q3,963193,603197,111835,185795,62366,963193,596004,364464,123313,241151,894,1831,963193,55295,12772,4959,22265,3589,1292,3681,0,13703,14283,617043,612471,81,1770,2721,395,94170,2486,7622,59194,34148,3376,21670,0,0,52412,41089,5332,6351,0,4621,0,16607,3690
1977:Q4,999213,627724,114279,193261,63949,999213,619315,377219,129232,247987,869,1810,999213,55378,13582,5509,23745,3660,1353,3740,0,14992,14617,641224,636562,55,1807,2800,384,96849,2497,8041,59944,34369,3276,22299,0,0,56803,44896,6610,6627,0,4066,0,17260,3380
1978:Q1,1026813,646079,116827,197958,65949,1026813,637604,386860,132625,254235,845,1504,1026813,56421,14065,6006,24254,3291,1178,3754,0,16031,15174,659322,654640,67,1700,2915,375,97922,2559,8082,62320,36028,3202,23090,0,0,59512,46357,7471,7285,0,4407,0,17503,3298
1978:Q2,1066897,674540,120272,203343,68742,1066897,664946,399484,136999,262485,818,1649,1066897,59018,14552,6563,25111,3283,618,3800,0,17410,15758,685393,680665,86,1590,3052,365,99862,2647,8246,65014,38753,2246,24015,0,0,62611,48032,9423,7277,0,4007,0,18542,3215
1978:Q3,1109961,707359,122681,208876,71045,1109961,695843,411519,140123,271396,792,1807,1109961,61621,15046,7273,27093,3560,1384,3735,0,18414,16288,710992,706590,96,1604,2702,366,102169,2706,8407,68632,41189,2496,24947,0,0,65755,50844,10511,7408,0,3413,0,20513,3100
1978:Q4,1150674,738254,125152,214511,72757,1150674,725794,422148,141797,280351,772,1960,1150674,62445,15539,8114,27966,3509,926,3792,0,19739,17116,733802,729568,103,1619,2512,391,106167,2721,8586,72192,43311,3091,25790,0,0,70407,54347,11892,7878,0,3212,0,22178,3050
1979:Q1,1186117,762873,127635,219175,76434,1186117,750836,432518,145185,287333,746,2017,1186117,64808,16344,8970,29924,3448,956,3849,0,21671,18216,749422,745027,119,1635,2641,448,108327,2798,8797,76850,46410,3358,27082,0,0,75627,59139,12467,8781,0,3015,0,22568,3018
1979:Q2,1231418,794869,129903,225711,80935,1231418,780688,448021,145589,302432,705,2004,1231418,68066,17158,9771,31634,3425,1200,3802,0,23207,19575,773404,768981,136,1655,2632,428,110970,2750,9017,80171,48206,3340,28625,0,0,80506,62841,13708,9458,0,2932,0,24983,2985
1979:Q3,1278932,828850,132396,233353,84333,1278932,813431,462855,146354,316501,680,1966,1278932,71178,17980,10437,33210,3382,1383,3792,0,24653,21269,796532,791892,465,1676,2499,458,114109,2968,9322,82904,49173,3747,29984,0,0,87309,69008,14421,10135,0,2846,0,28303,2953
1979:Q4,1317030,855779,135048,239448,86755,1317030,844336,470089,143988,326101,654,1951,1317030,71611,18803,11001,34567,3852,1274,3825,0,25616,23575,813303,807645,856,1700,3102,650,118422,3139,9604,86630,51091,4052,31487,0,0,94778,75787,15180,10650,0,2780,0,28027,2920
1980:Q1,1357614,886093,137027,243912,90582,1357614,873791,481248,141876,339372,633,1942,1357614,80996,20939,10779,37063,3919,2845,3847,0,26452,25601,823699,816319,1248,1655,4477,774,122395,3191,10054,91736,53990,4227,33519,0,0,99954,80843,15454,11250,0,2621,0,27563,2870
1980:Q2,1383696,902289,138408,248864,94135,1383696,891836,489329,136753,352576,601,1930,1383696,82942,23075,10767,39152,4466,3375,3873,0,27438,28113,829992,821921,1639,1700,4732,821,125564,3263,10295,95193,55419,4005,35769,0,0,104016,84271,16120,11862,0,2574,0,27683,2820
1980:Q3,1421427,931530,140218,253808,95871,1421427,919706,499230,133885,365345,572,1919,1421427,86837,25235,11278,40406,4389,3525,3917,0,28575,30873,844331,836219,1929,1751,4432,865,128062,3471,10597,97244,55632,4534,37078,0,0,109691,89452,16659,12011,0,2601,0,29767,2770
1980:Q4,1457828,957912,142526,259903,97487,1457828,944782,510586,134320,376266,550,1910,1457828,87255,27394,12217,42073,4642,3492,3914,0,30025,33357,861596,852973,2178,1800,4645,994,131081,3564,10890,100782,57327,5056,38399,0,0,113959,93874,16854,12235,0,2374,0,29946,2720
1981:Q1,1484685,973129,143948,267511,100097,1484685,959039,523216,135097,388119,520,1910,1484685,89379,29493,13906,43448,4826,2837,4031,0,31754,35554,869924,860950,2558,1911,4505,1055,132917,3748,11166,103049,57362,5149,40538,0,0,117260,97184,17067,13502,0,2124,0,31086,2700
1981:Q2,1523566,996937,144952,278496,103181,1523566,982877,538284,141064,397220,493,1912,1523566,95636,31615,15731,44986,4972,2662,4120,0,33232,37793,884252,874988,3054,2074,4136,1147,134659,3871,11602,105852,57657,5245,42950,0,0,120851,100558,17565,13923,0,1944,0,32891,2680
1981:Q3,1555141,1014571,146039,288922,105609,1555141,1000856,551902,146456,405446,465,1918,1555141,99638,33761,17898,45719,4382,1562,4191,0,35584,39547,894565,885085,3427,2225,3828,1249,136036,3878,12200,110097,59682,5410,45005,0,0,124370,103750,17936,14559,0,1932,0,33523,2660
1981:Q4,1579504,1030213,142377,299685,107229,1579504,1017314,559819,141354,418465,441,1930,1579504,101407,35906,20339,47012,4765,2235,4151,0,35861,41039,900061,890159,3916,2300,3686,1341,137747,3913,12519,113411,61412,5237,46762,0,0,128986,105789,19853,15553,0,1879,0,33182,2641
1982:Q1,1600795,1041585,143640,306619,108951,1600795,1027837,570591,139894,430697,415,1952,1600795,105876,36483,21868,47585,4438,2469,4196,0,36482,42173,899395,889707,4255,2308,3125,1406,138830,3913,12990,116158,62544,5297,48317,0,0,137628,108592,23970,17554,0,1653,0,33810,2680
1982:Q2,1625667,1055044,144694,315647,110282,1625667,1039571,583727,136335,447392,383,1986,1625667,108742,37066,23247,48618,4669,1335,4173,0,38441,43194,900221,890235,4651,2253,3082,1448,139672,5386,13226,119961,65008,5265,49688,0,0,146951,111459,28703,20094,0,1624,0,35215,2720
1982:Q3,1635406,1055314,144215,324780,111097,1635406,1038213,594820,129479,465341,353,2020,1635406,104528,37656,24252,48564,4110,947,3701,0,39806,44602,890593,880445,4876,2173,3099,1501,140477,6361,13667,124500,68841,5166,50493,0,0,160231,114776,35132,24045,0,1607,0,35714,2760
1982:Q4,1661290,1070187,146112,333680,111311,1661290,1052093,606832,127196,479636,322,2043,1661290,110888,38246,24961,49376,4227,1786,3731,0,39632,46278,880282,870502,4994,2100,2686,1600,141989,7770,13773,127500,71814,4733,50953,0,0,178519,118940,42964,30401,0,1584,0,37308,2800
1983:Q1,1692029,1087139,147020,346330,111540,1692029,1048715,640949,143413,497536,307,2058,1692029,109724,38689,25509,48947,3753,2077,3783,0,39334,47885,885712,875894,5025,2028,2765,1749,143329,9056,13983,129691,73666,4795,51230,0,0,196517,127939,48008,34042,0,1753,0,38468,2770
1983:Q2,1739644,1116296,150761,360215,112372,1739644,1077492,659810,148074,511736,275,2067,1739644,111357,39136,26274,49736,3643,1605,3730,0,40758,49755,904560,894117,4974,1934,3535,1954,144725,9709,14099,132551,74669,6235,51647,0,0,213061,139276,50934,37284,0,1452,0,39987,2740
1983:Q3,1796351,1153484,155784,373975,113108,1796351,1113556,680463,153029,527434,261,2071,1796351,110672,39589,27574,50098,3475,600,3623,0,42400,51647,934228,923495,4833,1849,4051,2160,147356,10569,14149,133975,75174,6856,51945,0,0,231538,151597,54152,40737,0,1423,0,40086,2710
1983:Q4,1850645,1186271,161229,389424,113721,1850645,1144812,703524,158266,545258,241,2068,1850645,111313,40041,29305,50596,3395,2141,3652,0,41408,54164,961760,950389,5190,1800,4381,2311,150999,10124,14651,137898,78256,7632,52010,0,0,244807,159850,57895,41834,0,1393,0,39996,2680
1984:Q1,1904844,1216062,167158,408654,112970,1904844,1175949,726540,160941,565599,204,2151,1904844,110989,42877,31772,50276,2900,2094,3563,0,41719,56580,992235,980485,4422,1790,5538,2414,151301,9892,14726,141926,80852,8979,52095,0,0,255930,166260,59376,45190,0,1394,0,41024,2902
1984:Q2,1972432,1254448,174957,429688,113339,1972432,1211542,758423,167617,590806,180,2287,1972432,112405,45712,34252,50519,2715,1344,3582,0,42878,59363,1034722,1022247,4264,1813,6398,2490,153531,9369,14935,144588,82746,9478,52364,0,0,263344,170893,61267,46479,0,1420,0,44078,3124
1984:Q3,2034727,1289107,180374,451779,113467,2034727,1246460,785698,171960,613738,152,2417,2034727,114667,48579,36765,49885,2389,737,3498,0,43261,61772,1071433,1058155,4407,1851,7020,2580,155372,9041,14961,146406,84364,9447,52595,0,0,275538,175770,63964,50601,0,2140,0,44383,3345
1984:Q4,2091991,1321526,186145,471898,112422,2091991,1278648,810723,173213,637510,141,2479,2091991,103009,51446,39311,51463,2301,1276,3534,0,44352,64399,1099041,1084010,5616,1881,7534,2664,156699,9735,15255,150123,87463,10399,52261,0,0,288987,179981,70822,53600,0,1453,11000,45351,3508
1985:Q1,2168248,1385660,182816,487050,112722,2168248,1342047,823596,162000,661596,116,2489,2168248,123726,52819,41009,51664,1964,1062,3515,0,45123,66455,1118664,1103507,5453,1916,7788,2869,158470,11041,15319,155376,91724,11548,52104,0,0,304033,185954,76759,57111,0,1434,19153,44043,3607
1985:Q2,2234883,1428061,189290,505953,111579,2234883,1380479,851807,164619,687188,96,2501,2234883,125750,54207,42493,52161,1825,790,3531,0,46015,68591,1147153,1130993,5380,1959,8821,3047,162114,11804,15345,158216,94584,12576,51056,0,0,321090,192925,83327,61157,0,1524,21054,48108,3750
1985:Q3,2303008,1477181,194964,522126,108737,2303008,1439935,860474,160680,699794,83,2516,2303008,122083,55610,43447,52741,1640,577,3542,0,46982,71191,1180594,1163079,5471,2003,10041,3197,164760,11361,15321,158983,96639,13089,49255,0,0,343332,201026,91915,67502,0,1181,21644,54843,3901
1985:Q4,2368542,1526876,205915,541661,94090,2368542,1488821,877115,169299,707816,72,2534,2368542,116174,57013,43983,53304,1473,733,3574,0,47524,74207,1207974,1189107,5743,2038,11086,3339,171797,14016,15309,159734,98214,14022,47498,0,0,367864,211145,100387,73649,0,987,24580,53321,5927
1986:Q1,2416495,1557666,212974,554231,91624,2416495,1517076,896690,170473,726217,61,2668,2416495,115115,55321,43818,53305,1533,704,3601,0,47467,78819,1224257,1202391,6174,2070,13622,3623,174996,13862,15400,157415,98370,13623,45422,0,0,394587,220348,110337,80991,0,1165,26020,53796,6161
1986:Q2,2492143,1616328,220862,565823,89130,2492143,1569098,920098,174225,745873,52,2895,2492143,115335,53610,45091,53083,876,570,3628,0,48009,81696,1246458,1222648,6587,2095,15128,3843,180496,12992,15197,154448,96885,14194,43369,0,0,429072,229204,125903,91351,0,1164,28721,65633,6468
1986:Q3,2578098,1683521,228838,579130,86609,2578098,1633606,941571,178779,762792,40,2881,2578098,112936,51880,46259,53135,887,457,3653,0,48138,83742,1273141,1246771,6993,2122,17255,4075,185980,12609,15364,152140,96662,13359,42119,0,0,475896,241230,146871,105485,0,1050,31176,73194,6571
1986:Q4,2655581,1730129,239394,601970,84088,2655581,1692264,960491,185294,775197,36,2790,2655581,112602,50150,44676,54357,889,48421,3690,0,1357,86005,1308821,1278668,8675,2153,19325,4348,193842,11255,15550,147775,96227,11564,39984,0,0,531591,262697,171372,97380,0,142,17898,70781,5930
1987:Q1,2737635,1770490,245492,639606,82047,2737635,1727626,1007101,215197,791904,27,2881,2737635,118284,50490,42950,54067,687,48203,3786,0,1391,89436,1341716,1309118,8361,2191,22046,4444,195743,10096,15333,144011,93709,12940,37362,0,0,575435,281116,186295,107870,0,154,20275,69185,6170
1987:Q2,2829845,1843953,250241,655668,79983,2829845,1799664,1027271,226133,801138,25,2885,2829845,118370,50833,40438,54020,667,48085,3840,0,1428,92299,1385729,1348798,9777,2226,24928,4750,200382,9308,15228,140414,91994,12597,35823,0,0,615142,293246,200284,121463,0,149,24032,72755,6145
1987:Q3,2899473,1898660,254693,668224,77896,2899473,1849648,1046881,235439,811442,22,2922,2899473,118254,51180,38352,48766,458,42978,4028,0,1302,93273,1426890,1385757,11235,2275,27623,4868,204263,8725,15408,140290,92430,12940,34920,0,0,647084,308339,207872,130729,0,144,30073,65567,6480
1987:Q4,2954269,1928457,258355,691647,75810,2954269,1882359,1068779,246046,822733,21,3110,2954269,117829,51527,37909,49068,444,43051,4222,0,1351,94697,1448993,1402853,13921,2347,29872,4994,212375,8205,15331,139459,92456,12872,34131,0,0,669394,317555,211634,140084,0,121,31454,66065,6969
1988:Q1,3023464,1974919,268334,705639,74572,3023464,1931392,1088954,248870,840084,21,3097,3023464,117977,55681,40185,49170,434,43076,4304,0,1356,96036,1490615,1440681,15959,2455,31520,5139,216083,9614,15448,142285,94333,14386,33566,0,0,677841,318703,213724,145349,0,65,33194,66925,7271
1988:Q2,3111962,2044958,265969,727702,73333,3111962,1999213,1109612,249822,859790,22,3115,3111962,118462,59836,43716,48482,42,42767,4405,0,1268,96714,1530614,1476097,17863,2591,34063,5269,220402,11269,15637,144704,96080,15576,33048,0,0,695315,322616,215155,157521,0,23,34999,79232,7311
1988:Q3,3185620,2105915,269276,738348,72081,3185620,2058013,1124496,245315,879181,20,3091,3185620,119218,63990,47078,47566,64,41836,4536,0,1130,96968,1565554,1506478,19955,2744,36377,5406,225051,13983,15586,143781,95773,15442,32566,0,0,721137,333177,220684,167249,0,27,37509,74940,7853
1988:Q4,3271905,2162789,274544,763743,70829,3271905,2113164,1155342,257203,898139,16,3383,3271905,120318,68145,47846,48017,26,42018,4662,0,1311,98647,1602988,1539962,22063,2903,38060,5574,232863,16666,15603,144457,94917,17425,32115,0,0,745287,340527,226406,178328,0,26,40454,76353,8687
1989:Q1,3327062,2196931,279826,779985,70320,3327062,2149433,1174183,268772,905411,15,3431,3327062,120801,64756,46631,48003,25,41780,4928,0,1270,100224,1633618,1566182,23613,3070,40753,5779,236777,17630,15132,143720,93746,18713,31261,0,0,770459,347597,234695,188143,0,24,42058,73054,8420
1989:Q2,3396811,2255378,284991,786638,69804,3396811,2208767,1184579,270914,913665,14,3451,3396811,123097,61328,43064,47159,24,40711,5076,0,1348,102096,1665836,1594122,25554,3248,42912,6027,241761,19272,15118,145345,93757,20121,31467,0,0,794482,352654,245242,196563,0,23,43671,80201,8354
1989:Q3,3472866,2321631,285815,796137,69283,3472866,2274517,1194756,271806,922950,13,3580,3472866,125452,57864,39090,47164,24,41117,4626,0,1397,103383,1687430,1611724,27917,3437,44352,6270,247035,21079,15295,147965,96372,20650,30943,0,0,827012,360097,257938,208955,0,22,41645,97981,8201
1989:Q4,3523554,2369557,287001,798235,68761,3523554,2325669,1194162,264568,929594,13,3710,3523554,128315,54399,35146,47285,23,41176,4796,0,1291,104961,1670189,1609402,30189,3634,26964,6460,254214,23294,15299,150491,99001,21851,29639,0,0,869549,368367,272870,228291,0,21,52647,102938,8367
1990:Q1,3617613,2450148,290563,808419,68483,3617613,2402198,1211561,280017,931544,14,3840,3617613,131563,53998,33520,54645,22,41125,4977,0,8521,106189,1711512,1644291,35761,3847,27613,6615,260282,23310,15181,152793,99947,23521,29325,0,0,905165,376962,281736,246447,0,20,48490,106060,8290
