1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1976:Q2,340510,285,1133,0,0,76687,0,3632,5855,3150,64050,7623,28717,0,226065,226065,0,340723
1976:Q3,341818,254,1055,0,0,78968,0,3900,6275,3383,65410,7625,29254,0,224662,224662,0,342048
1976:Q4,343332,266,1148,0,0,79959,0,4057,6836,3360,65706,7732,30100,0,224127,224127,0,343580
1977:Q1,351267,236,1098,0,0,81459,0,4712,8412,2872,65463,7684,28699,0,232091,232091,0,351540
1977:Q2,359513,300,1401,0,0,84540,0,6568,8619,3628,65725,7864,29936,0,235472,235472,0,359809
1977:Q3,368040,320,1483,0,0,87795,0,6757,8839,3556,68643,7622,29322,0,241498,241498,0,368361
1977:Q4,376726,280,1416,0,0,91175,0,6760,9585,3544,71286,8041,30000,0,245814,245814,0,377074
1978:Q1,386059,332,1758,0,0,94464,0,7624,10968,3386,72486,8082,29203,0,252220,252220,0,386437
1978:Q2,395629,387,2043,0,0,98950,0,9095,11351,3732,74772,8246,32043,0,253960,253960,0,396043
1978:Q3,405478,419,2436,0,0,102405,0,9543,11921,3668,77273,8407,35155,0,256656,256656,0,405931
1978:Q4,415548,385,2354,0,0,107409,0,9454,13965,3951,80039,8586,33300,0,263514,263514,0,416043
1979:Q1,426542,459,2747,0,0,109371,0,10677,14432,4073,80189,8797,35504,0,269664,269664,0,427095
1979:Q2,437853,479,2844,0,0,113753,0,13327,14496,3867,82063,9017,35908,0,275852,275852,0,438469
1979:Q3,449456,484,3055,0,0,114725,0,13287,14065,3880,83493,9322,38316,0,283554,283554,0,450141
1979:Q4,461233,566,3458,0,0,116955,0,14706,15360,3910,82979,9604,37100,0,293550,293550,0,461986
1980:Q1,466390,616,3569,0,0,122397,0,16159,15981,4101,86156,10054,34654,0,295100,295082,18,467195
1980:Q2,471752,664,3556,0,0,129872,0,17582,17783,4025,90482,10295,38460,0,288905,288870,35,472612
1980:Q3,477500,589,3559,0,0,133641,0,19999,18052,3921,91669,10597,41618,0,287496,287443,53,478418
1980:Q4,483583,603,3684,0,0,136284,0,20927,19083,4059,92215,10890,44300,0,287822,287752,70,484572
1981:Q1,499685,784,4107,0,0,139477,0,22432,20201,3920,92924,11166,45689,0,298462,298374,88,500752
1981:Q2,516294,716,3761,0,0,146259,0,24531,20948,3995,96785,11602,46506,0,307450,307345,105,517436
1981:Q3,533398,743,4296,0,0,149946,0,25215,22121,3859,98751,12200,43646,0,322567,322444,123,534612
1981:Q4,550833,624,3813,0,0,156449,0,27564,24250,3856,100779,12519,47800,0,329628,329487,141,552133
