1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,8044,3700,1762,-9,4163,127,0,6863,-8572,5784,6622,-753,-84,-14356,-532,13,1648,50,0,0,-3028,26,-3013,0,-41,409,0,409,0,0,-6,409,-27,0,13824,13231,894,-41,0,935,-908,-649,-126,-133,43,-3016,20,16198,6,578,15614,593,522,71,15435,-952
1954:Q3,8616,3961,1856,-171,4310,131,0,7069,-12588,5942,6695,-659,-94,-18530,5544,22,1406,50,0,0,1529,-38,1492,0,75,-72,0,-72,0,0,2319,209,81,0,24074,23775,1375,100,0,1275,-359,-172,-118,-69,1322,1839,16,19582,8,510,19065,299,228,71,19657,-996
1954:Q4,9271,4287,1846,-135,4484,142,0,7629,1915,6569,6629,49,-109,-4654,4762,8,1569,50,0,0,1123,-9,1157,0,-25,897,1,896,0,0,814,-315,616,0,9416,9454,495,-53,0,548,1182,489,273,420,3313,1604,-41,2901,11,454,2436,-38,96,-134,5713,-917
1955:Q1,10548,4865,1996,-277,4686,162,-2,8260,2600,7492,6696,932,-135,-4892,717,-11,-1515,-25,0,0,253,-10,20,150,93,-853,3,-856,0,0,2400,295,173,0,5609,5001,477,-31,0,508,401,360,-258,299,-739,-1831,18,6675,13,434,6228,608,531,77,5659,-605
1955:Q2,10714,4923,2054,-221,4856,186,-2,8560,-15212,8246,7041,1356,-150,-23458,3038,-20,942,-25,0,0,-640,71,-755,50,-6,564,4,560,0,0,1577,506,134,0,26496,26252,604,-120,0,724,1062,744,125,193,1610,-910,24,23862,22,441,23399,244,160,84,23772,-128
1955:Q3,10997,5054,2176,-548,4994,197,-2,8411,-8467,8687,7523,1326,-162,-17154,7345,-4,548,-25,0,0,1924,-107,1831,50,150,79,4,75,0,0,4371,363,89,0,24499,24153,465,-9,0,474,1022,948,-153,227,3970,3222,17,15457,21,472,14964,346,278,68,16878,473
1955:Q4,11494,5273,2189,-690,5099,204,-2,8647,945,9548,8070,1646,-169,-8603,6282,6,978,-25,0,0,2694,-28,2662,50,10,908,3,905,0,0,1255,-421,887,0,14885,14257,1302,-9,0,1311,3143,1849,454,840,4201,3182,-30,2459,15,499,1945,628,750,-122,7702,1105
1956:Q1,11042,5021,2220,-728,5171,213,-5,8462,-9305,9713,8357,1524,-168,-19018,-4047,-34,-3142,0,0,0,-2149,-46,-2403,25,275,-880,2,-882,0,0,1122,566,470,0,14971,14364,422,0,0,422,1966,1451,282,233,-1883,-3297,22,17134,16,448,16670,607,522,85,17767,1465
1956:Q2,11292,5110,2236,-911,5268,230,-5,8537,17774,9780,8762,1188,-170,7994,-79,46,837,0,0,0,-3193,154,-3211,25,-161,405,1,404,0,0,1156,675,-5,0,-8073,-8383,887,-73,0,960,1490,1493,-106,103,1729,-2958,20,-9551,6,454,-10012,310,234,76,-9237,1473
1956:Q3,10558,4756,2217,-298,5389,251,-5,8931,14670,10018,9169,1021,-172,4652,4600,-22,300,0,0,0,-59,46,-92,25,-38,26,1,25,0,0,3491,838,26,0,-52,-693,1179,112,0,1067,596,724,-211,83,1700,2084,15,-6267,7,538,-6812,641,573,68,-5739,1338
1956:Q4,11234,5032,2334,-756,5533,280,-5,8929,-15045,10064,9328,909,-173,-25109,4557,19,1713,0,0,0,1149,-66,1143,25,47,883,3,880,0,0,-87,-219,1099,0,29666,28840,1004,-23,0,1027,2200,1416,272,512,2572,2495,-8,20577,15,690,19872,826,921,-95,23974,1415
1957:Q1,11386,5109,2322,-606,5702,302,-6,9359,24187,9813,9531,454,-172,14374,-1859,60,-2588,0,0,0,-325,50,-552,100,77,-1092,4,-1096,0,0,1207,612,267,0,-16233,-17028,1445,-25,0,1470,1138,126,510,502,-1672,-2536,7,-15410,9,886,-16305,795,760,35,-14828,756
1957:Q2,10772,4874,2287,-377,5842,302,-6,9385,-9299,9904,9599,479,-174,-19203,704,-22,698,0,0,0,-1861,-6,-1939,100,-16,543,5,538,0,0,138,1245,-37,0,19907,18958,1432,-33,0,1465,1360,1251,40,69,-8,-2261,11,18425,22,1078,17325,949,903,46,18684,821
1957:Q3,10465,4737,2308,-320,5955,293,-6,9354,37364,10196,9822,552,-177,27168,3857,-23,612,0,0,0,749,-4,546,100,107,-88,5,-93,0,0,1944,445,218,0,-23311,-23618,1557,44,0,1513,-71,-314,135,108,1116,1554,2,-27776,3,1127,-28905,307,299,8,-28010,1135
1957:Q4,9478,4261,2309,-236,6040,271,-6,8988,3939,8551,9565,-833,-181,-4612,1859,-22,1312,0,0,0,975,90,816,100,-31,678,4,674,0,0,-1662,35,543,0,6471,5987,1642,58,0,1584,1165,159,375,631,2150,1110,19,-99,5,971,-1075,484,479,5,5049,-167
1958:Q1,7914,3508,2308,-55,6097,231,-7,8377,-6231,7007,8667,-1471,-189,-13238,-3416,29,-3052,550,0,0,-1246,311,-1195,-100,-262,-1230,4,-1234,0,0,1114,319,100,0,9822,9533,2159,294,0,1865,-433,-1163,456,274,-4061,-3126,17,14977,15,684,14278,289,221,68,14608,-1139
1958:Q2,8087,3587,2306,78,6172,195,-7,8646,-9284,6744,8311,-1374,-193,-16028,1265,-28,1246,550,0,0,-2080,-291,-2054,-200,465,446,4,442,0,0,156,626,349,0,17293,16360,1155,75,0,1080,-243,-121,-345,223,1354,-2504,20,16578,21,490,16067,933,858,75,17930,-1707
