1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q2,-11172,-25262,0,254,237,4242,-277,-12,271,329,2372,346,3989,0,791,0,1548,7492,869,0,0,141,197,3231,-9,250,0,0,806,798,0,0,0,0,319,1032,0,-142,0,0,-18664
1955:Q3,-9544,-24872,0,260,248,4856,-288,-11,290,330,2408,384,4454,0,790,0,1607,8195,914,0,0,313,208,3471,-59,251,0,0,812,843,0,0,0,0,317,1273,0,-148,0,0,-17738
1955:Q4,-9128,-24976,0,238,402,4461,-293,-11,311,357,2490,339,5330,0,779,0,1445,7980,800,0,0,469,221,3140,-69,255,0,0,828,896,0,0,0,0,313,1281,0,-154,0,0,-17107
1956:Q1,-9289,-25489,0,233,202,4941,-288,-12,334,359,2605,330,4761,0,768,0,1967,8350,1192,0,0,391,182,3143,36,258,0,0,853,952,0,0,0,0,311,1193,0,-161,0,0,-17639
1956:Q2,-9561,-25870,0,231,202,5050,-285,-11,357,360,2728,387,4752,0,758,0,1780,8665,1094,0,0,291,292,3344,125,261,0,0,887,1027,0,0,0,0,328,1184,0,-168,0,0,-18226
1956:Q3,-10241,-26447,0,261,103,5440,-299,-12,381,360,2694,344,4456,0,757,0,1721,9131,1019,0,0,466,353,3401,202,266,0,0,921,1101,0,0,0,0,316,1261,0,-175,0,0,-19372
1956:Q4,-11525,-27134,0,263,272,4745,-320,-12,407,365,2727,500,4374,0,760,0,1528,8969,855,0,0,533,325,3362,234,274,0,0,947,1153,0,0,0,0,296,1171,0,-181,0,0,-20494
1957:Q1,-12152,-28578,0,311,168,5158,-317,-12,433,366,2768,428,4418,0,749,0,1956,8511,991,0,0,379,220,3160,235,288,0,0,967,1200,0,0,0,0,300,960,0,-189,0,0,-20663
1957:Q2,-12311,-28873,0,400,-56,5323,-303,-12,461,367,2858,435,4598,0,748,0,1743,8610,803,0,0,222,212,3608,278,308,0,0,982,1223,0,0,0,0,301,870,0,-197,0,0,-20920
1957:Q3,-13116,-30271,0,386,151,5958,-377,-12,491,367,2849,425,4338,0,747,0,1832,8967,863,0,0,376,210,3702,258,329,0,0,996,1260,0,0,0,0,308,870,0,-205,0,0,-22082
1957:Q4,-15154,-31597,0,296,146,5325,-423,-13,527,356,2899,476,4279,0,737,0,1838,9184,804,0,0,540,308,3656,288,352,0,0,1011,1298,0,0,0,0,300,841,0,-214,0,0,-24338
1958:Q1,-16181,-32486,0,294,187,5509,-400,-14,565,357,2891,478,3569,0,737,0,2132,8939,764,0,0,320,259,3540,311,362,0,0,1028,1322,0,0,0,0,298,956,0,-221,0,0,-25119
1958:Q2,-15271,-32331,0,308,616,5698,-308,-14,601,357,3121,474,3253,0,737,0,2217,10015,977,0,0,125,259,4360,393,367,0,0,1043,1335,0,0,0,0,314,1071,0,-229,0,0,-25285
1958:Q3,-13457,-31522,0,335,226,6641,-322,-14,636,357,3172,448,3624,0,727,0,2235,9525,969,0,0,246,244,3557,465,370,0,0,1061,1345,0,0,0,0,318,1187,0,-237,0,0,-22982
1958:Q4,-12897,-31024,0,317,312,6373,-358,-15,674,395,3110,477,4181,0,728,0,1933,10139,755,0,0,461,240,4035,448,376,0,0,1083,1366,0,0,0,0,320,1300,0,-245,0,0,-23036
1959:Q1,-12600,-31515,0,317,441,7105,-352,-15,704,395,2995,612,3981,0,717,0,2015,10813,1216,0,0,489,245,3923,591,363,0,0,1112,1410,0,0,0,0,308,1410,0,-254,0,0,-23413
1959:Q2,-12501,-31525,0,317,211,7652,-348,-14,734,396,2945,531,3852,0,715,0,2033,11744,1431,0,0,452,279,4440,791,346,0,0,1149,1455,0,0,0,0,316,1348,0,-263,0,0,-24244
1959:Q3,-12097,-32300,0,317,270,8453,-391,-14,764,397,2838,481,4133,0,705,0,2250,12462,1457,0,0,461,319,4741,953,305,0,0,1187,1518,0,0,0,0,342,1451,0,-272,0,0,-24559
1959:Q4,-12588,-32223,0,317,593,7373,-437,-15,798,413,2912,559,4656,0,707,0,1759,10259,984,0,0,472,363,3275,440,324,0,0,1220,1570,0,0,0,0,363,1529,0,-281,0,0,-22847
1960:Q1,-13480,-33517,0,317,209,7844,-483,-17,834,413,3092,575,3637,0,696,0,2920,10984,2148,0,0,463,365,2590,580,330,0,0,1248,1652,0,0,0,0,343,1556,0,-291,0,0,-24464
