1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q1,-1251,-4021,2688,-1132,609,506,-113,1009,-89,-4,-12,14,64,-22,-19,0,-132,-22,-27,-144,100
1965:Q2,692,2999,2794,-4318,-340,-395,-5,-338,34,-4,-11,-75,353,-31,29,0,-133,-22,-38,-155,-48
1965:Q3,-5643,-7332,3277,-792,-239,347,-3,839,8,-3,-13,77,-119,-45,-29,0,-142,-23,-40,-161,-905
1965:Q4,2941,-2822,2339,6036,-1373,-548,105,59,15,-5,-9,217,-480,-47,-9,0,-144,-23,-55,-174,-691
1966:Q1,-7192,-7171,472,-1168,281,209,-133,745,-28,-2,-9,385,-384,49,-19,0,-184,-23,-26,-164,186
1966:Q2,-1313,1839,2154,-5788,-208,160,-14,-54,41,-1,-6,-44,527,46,32,0,-167,-22,-12,-167,529
1966:Q3,-8499,-9181,1399,-515,308,677,-14,691,-42,-2,-12,-76,493,24,-22,0,-160,-22,-11,-170,-1186
1966:Q4,9668,-1616,7883,5536,-751,-1036,144,-304,-10,-3,-6,-72,-510,21,9,0,-127,-22,11,-167,-348
1967:Q1,-7427,-7628,3474,-3132,779,-634,-166,329,-57,-2,-2,201,-614,78,-14,0,-179,-26,-25,-160,-286
1967:Q2,500,2152,2736,-3710,-875,-270,2,47,30,-2,1,11,-40,41,30,0,-177,-25,-37,-153,468
1967:Q3,-6979,-8674,2044,47,714,170,-5,339,20,-1,-3,173,27,45,-29,0,-179,-25,-42,-149,-1280
1967:Q4,7340,6691,4718,6331,-1093,-8927,150,-8998,72,-1,1,99,113,55,-7,0,-182,-26,-52,-152,-381
1968:Q1,-8920,-16799,1344,-1332,471,7596,-213,8172,-29,1,-6,82,115,49,-31,0,-297,-21,-50,-175,-201
1968:Q2,1993,3391,2378,-3202,-748,-488,-11,-180,4,1,-5,-67,202,73,35,0,-306,-23,-43,-168,663
