1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3595,3534,-20,0,81,3595,3479,0,0,0,-9,159,-16,0,0,0,0,-16,0,-18
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,2543,2457,-7,0,93,2543,2201,0,0,0,6,271,44,0,0,0,0,44,0,21
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,2981,2860,23,0,98,2981,2594,0,0,0,65,152,28,0,0,0,0,28,0,142
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,2743,2574,20,0,149,2743,2365,0,0,0,8,101,42,0,0,0,0,42,0,227
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q3,4914,4757,17,0,140,4914,4716,-43,-43,0,-4,-8,64,77,0,0,0,-13,0,189
1963:Q4,8604,8256,15,0,333,8604,7190,570,570,0,10,635,67,80,0,0,0,-13,0,132
1964:Q1,7466,7266,8,0,192,7466,5809,1037,1037,0,0,268,82,83,0,0,0,-1,0,270
1964:Q2,7710,7427,6,0,277,7710,7243,-272,-272,0,-3,319,83,86,0,0,0,-3,0,340
1964:Q3,6029,5829,7,0,193,6029,5579,-143,-143,0,-17,207,88,89,0,0,0,-1,0,315
1964:Q4,9214,8813,5,0,396,9214,7474,362,362,0,32,925,91,93,0,0,0,-2,0,330
1965:Q1,9672,9480,19,0,173,9672,7750,1033,1033,0,-12,638,109,97,0,0,0,12,0,154
1965:Q2,7581,7318,18,0,245,7581,6267,897,897,0,0,123,110,100,0,0,0,10,0,184
1965:Q3,6864,6695,17,0,152,6864,5564,611,611,0,-10,476,117,104,0,0,0,13,0,106
1965:Q4,9053,8609,21,0,423,9053,7892,-219,-219,0,0,1137,121,108,0,0,0,13,0,122
1966:Q1,6882,6694,18,0,170,6882,5595,893,893,0,0,58,126,113,0,0,0,13,0,210
1966:Q2,5988,5733,20,0,235,5988,5452,-178,-178,0,-10,390,128,117,0,0,0,11,0,206
1966:Q3,2273,2181,-1,0,93,2273,1993,66,66,0,-10,127,128,120,0,0,0,8,0,-31
1966:Q4,5201,4849,1,0,351,5201,5581,-1171,-1171,0,-10,701,153,147,0,0,0,6,0,-53
1967:Q1,13351,13148,26,0,177,13351,10264,953,953,0,30,1538,127,121,0,0,0,6,0,439
1967:Q2,11308,10959,25,0,324,11308,10853,-779,-779,0,20,668,165,143,17,0,0,5,0,381
1967:Q3,8120,7939,28,0,153,8120,7608,322,322,0,-10,-210,206,147,52,0,0,7,0,204
1967:Q4,7834,7427,32,0,375,7834,6284,583,583,0,7,434,284,185,92,0,0,7,0,242
1968:Q1,8791,8506,40,0,245,8791,8776,-307,-307,0,63,488,76,122,-53,0,0,7,0,-305
1968:Q2,4430,3994,43,0,393,4430,5718,-1246,-1246,0,-9,142,138,167,-33,0,0,4,0,-313
1968:Q3,9544,9401,33,0,110,9544,7770,410,410,0,29,910,256,182,71,0,0,3,0,169
1968:Q4,10580,10084,38,0,458,10580,7904,517,517,0,18,1678,284,195,84,0,0,5,0,179
