1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000:Q4,3249501,4682,37867,2,1586508,79923,59553,238239,19424,1189369,345495,109343,236152,337546,632771,12145,49862,26143,18111,198369,365,19560,19923,158521,3016838,0,2481,18610,830696,1351680,9663,9824,793884,0,11682,168747,462076,151379,71982,0,2728817,91912,80234,346
2001:Q1,3236072,17533,44194,1523,1612098,65513,58654,242770,19472,1225689,345710,110544,235166,300472,554826,12787,52211,27125,18727,248866,344,18723,21085,208714,2977498,2650,1884,19882,846420,1326072,12919,10789,756882,17013,14479,167451,422393,135546,73509,0,2685113,98108,85956,363
2001:Q2,3343930,23944,41839,3189,1649647,64556,57616,247020,19475,1260980,348287,110929,237358,319077,593486,13441,54559,28155,18716,249590,236,18461,22246,208647,3079514,2396,1908,21168,878194,1360021,11948,11206,792673,17038,20408,174255,437558,143414,75637,0,2777274,105364,91693,377
2001:Q3,3295360,29528,49696,1789,1701249,71441,56650,252056,19529,1301573,351767,112411,239356,282129,502086,14081,56906,29122,18922,258085,262,19264,23408,215151,3026653,2827,2773,22438,868788,1338994,11912,11612,767309,17004,23499,180166,384492,162148,76528,0,2699863,111062,97358,394
2001:Q4,3376387,36444,47551,1365,1713413,52921,59372,254448,19335,1327337,355335,112231,243104,292469,569742,14732,59254,30170,11455,244457,276,19117,24568,200496,3125818,1279,3119,23719,900158,1373311,11279,9728,803225,15633,26405,181316,415955,163916,53455,0,2799383,118893,103135,406
2002:Q1,3472586,34607,49157,6939,1780878,51816,67696,275083,19938,1366345,356208,112730,243478,296889,595385,15990,61502,31197,11596,232238,302,19436,25498,187002,3216831,15874,3716,26702,927395,1373531,10727,10012,848874,15109,34473,182580,437616,179096,54701,0,2859021,123519,106505,423
2002:Q2,3466307,34086,51917,8942,1838859,52868,75981,294650,20395,1394965,358166,112959,245207,275053,532674,17241,63752,32169,13554,239894,363,19306,26427,193798,3205231,17305,4025,29681,940017,1356297,9332,9459,839115,17097,39684,188502,403802,190030,55722,0,2830470,126642,109749,439
2002:Q3,3456784,43080,56643,11180,1913022,54410,85493,317135,21023,1434961,359656,113623,246033,237648,453317,18488,65999,33125,13951,250675,397,20028,27355,202895,3184998,14892,4518,32653,943193,1342433,9216,9136,828957,18089,43261,191105,355816,220686,56801,0,2774977,129525,112942,454
2002:Q4,3549112,34594,53160,4800,1967555,56430,92812,337428,21429,1459456,364528,114391,250137,254142,488968,19750,68247,34173,12797,246398,495,20003,28284,197616,3248346,13887,5142,35641,948783,1413021,10098,11422,810352,19587,46325,191964,373699,178777,52153,0,2872107,134608,116374,468
2003:Q1,3643731,43209,55378,12282,2030440,49243,92810,344475,23165,1520747,365370,114038,251332,251512,479132,20669,71199,35292,12773,266475,576,21368,29140,215391,3332141,19696,6250,37085,967082,1420110,8160,10914,862844,20254,52107,194651,369030,226802,52668,0,2898172,140482,124744,490
2003:Q2,3823809,43887,51302,9859,2090839,46098,90532,350563,24894,1578752,368918,114429,254489,282552,554991,21596,74152,36489,13139,276085,768,21708,29996,223613,3489840,19774,6619,38541,1000443,1473879,8295,10491,931798,21842,58645,197091,413914,240306,51356,0,3035801,148269,133392,513
2003:Q3,3906662,46317,52152,8616,2127032,46436,88870,351838,26286,1613602,371447,114031,257416,291969,591417,22518,77102,37641,13336,267115,1010,21723,30851,213531,3559215,22839,7405,39991,1027349,1498134,8610,9861,945026,22201,62627,203924,431442,224832,51498,0,3111858,154970,141887,533
2003:Q4,4023041,46898,41838,2273,2151761,38636,82108,353287,27722,1650008,375433,114276,261157,313463,668288,23447,80054,38824,18505,262257,1147,21619,31706,207785,3663434,14680,8030,41446,1052208,1555494,8188,8946,974442,23408,67713,205116,475847,202358,60044,0,3243821,162614,150562,553
2004:Q1,4159570,45460,44717,3888,2209903,37646,84037,358425,29127,1700668,376997,114517,262480,324122,700447,25248,85162,41076,18323,284227,1206,21555,32579,228887,3785055,15327,7939,45191,1061322,1605886,9917,9091,1030382,24615,75183,208234,474415,247935,59967,0,3307141,175936,165302,592
2004:Q2,4234036,50112,46799,3697,2252869,34347,84088,361735,30415,1742284,379849,115537,264312,327461,711405,27047,90272,43316,19271,281938,1230,22327,33450,224931,3847174,17509,8615,48936,1077754,1634866,9257,10482,1039755,23927,79927,208438,481474,245989,72440,0,3361399,188892,179973,627
2004:Q3,4300465,50312,50155,3260,2298365,33983,84937,364722,31719,1783004,384884,116837,268047,326551,715869,28845,95379,45549,20158,281138,1236,22659,34322,222921,3900830,16826,8639,52680,1091495,1675486,8987,10806,1035911,25455,83523,211772,470083,245078,76049,0,3405877,201645,194589,665
2004:Q4,4444346,50941,44796,3834,2327179,28208,84534,366054,32908,1815475,391272,117786,273486,351477,790280,30654,100487,47839,21226,284361,1704,23125,35193,224339,4025948,13481,11063,56435,1119877,1745293,10045,11592,1058162,25879,86462,217581,508050,220190,87262,0,3546534,216613,209846,700
2005:Q1,4481832,45350,48057,10843,2358721,22639,88027,374240,33937,1839878,393483,118306,275177,347990,781173,31417,102403,48889,21590,291916,1533,23413,35241,231729,4075544,19935,8401,58156,1121901,1765385,9384,11571,1080811,25764,93275,219795,503777,238200,87815,0,3568830,211401,214099,783
2005:Q2,4532062,51107,43851,8708,2363622,21874,91458,373732,34396,1842162,398674,120108,278566,353138,815910,32187,104318,49967,22183,288397,1487,24138,35288,227484,4141907,19903,8966,59885,1128922,1817867,9544,10763,1086057,25944,95812,221412,509664,233225,89723,0,3637522,207441,218720,868
2005:Q3,4611686,52796,45282,6049,2377493,24107,95653,373971,34935,1848827,401756,120695,281061,361249,856430,32961,106234,51050,23722,296664,1485,23414,35334,236431,4229092,20717,9061,61617,1146346,1853169,8754,11448,1117980,34010,98724,226587,522900,235759,90284,0,3709152,203605,223355,950
2005:Q4,4630736,47444,40942,2852,2367243,25250,98546,370968,35139,1837340,408497,122815,285682,365690,880111,33733,108149,52120,24534,299421,1470,22985,35381,239585,4263365,20925,9184,63347,1153128,1897075,8425,10965,1100316,35627,101399,226025,533151,204114,81472,0,3771313,199307,227852,1031
2006:Q1,4753753,49620,43520,2119,2397991,27008,97335,378995,36462,1858191,413521,124726,288795,383236,930924,34787,113349,56924,24764,302998,1473,23185,36575,241765,4389403,24061,9888,66905,1188416,1946605,8839,11253,1133436,35260,105633,233465,540639,218439,84860,0,3864808,213233,239165,1162
2006:Q2,4771635,50289,50723,1984,2403412,27497,95096,382023,37402,1861394,423863,127892,295971,374438,919128,35833,118543,61694,24163,307565,1387,23356,37768,245054,4416196,23457,10218,70447,1193341,1955319,8151,13168,1142095,34772,117027,238136,531772,220388,93174,0,3874817,226549,250341,1292
2006:Q3,4873445,50925,55671,2203,2402922,29155,93047,383763,38217,1858740,431196,130475,300721,389125,961410,36883,123740,66552,25587,327231,1405,23403,38962,263461,4515388,20358,10835,74020,1221813,2003081,8647,13952,1162682,38598,119134,241372,536249,227329,99766,0,3951569,240562,262016,1422
2006:Q4,4997943,56046,57891,2782,2352991,29782,89425,378945,38180,1816659,436783,132636,304147,441540,1042637,37940,128936,71512,28439,340446,1524,23553,40155,275214,4634573,21242,11942,77633,1258441,2065765,11272,12570,1175708,38325,123354,243425,547845,222759,91560,0,4062599,255104,274331,1550
2007:Q1,5064854,59169,59289,2182,2371162,33140,85852,382795,39780,1829595,443089,136157,306932,449330,1061279,37807,130779,73780,29775,347213,1587,24102,40859,280665,4703192,17864,13183,80748,1274598,2084052,9933,12071,1210743,39483,125838,248015,556772,240635,91285,162876,4110206,265381,275762,1683
2007:Q2,5192871,57161,60878,3049,2381731,35907,82187,385810,41285,1836542,453359,140404,312955,470669,1127523,37679,132624,76185,32648,359365,1724,24132,41562,291947,4829796,18403,16335,83917,1302037,2150382,8931,12419,1237372,41425,130479,249705,579235,236528,97675,172956,4233810,276319,278079,1815
2007:Q3,5289358,63917,61884,3156,2399629,37985,78325,390087,42946,1850286,461928,143858,318070,477498,1169797,37548,134465,78518,35059,365959,1974,24599,42266,297120,4927621,19162,22364,87066,1320358,2183101,9272,12459,1273839,41878,133067,256045,590810,252039,96739,168767,4308842,286866,279948,1948
2007:Q4,5286751,59044,64790,3028,2391494,43638,74008,390119,44070,1839659,472927,145869,327058,456952,1154930,37410,136308,80619,36255,392994,2124,24596,42968,323306,4929553,20178,25666,90102,1331525,2173241,9878,12653,1266310,43658,133333,258835,588726,241758,86363,151958,4315694,296376,280272,2077
2008:Q1,5146365,64138,77729,3374,2343297,46338,85221,389183,45432,1777123,482651,150740,331911,415420,1055533,38326,141603,83558,34752,405984,2236,25928,43835,333985,4867386,21343,28571,94163,1326821,2118494,9349,13588,1255057,42974,132096,267966,556603,255418,80946,154383,4229462,298976,298286,2508
2008:Q2,5098578,73241,80212,3540,2289968,45977,96973,387467,46666,1712885,492368,154849,337519,402046,1051558,39252,146898,86790,33820,398885,2419,26326,44702,325438,4887438,23505,29868,98384,1339689,2110648,7392,13733,1264219,42277,136778,267726,553490,263948,74899,150042,4232429,302818,318309,2938
2008:Q3,4894322,75632,82759,4070,2206033,39942,106732,382297,47464,1629598,505249,163114,342135,372366,920666,40165,152191,89565,29401,416225,2686,26150,45567,341822,4754475,21470,38490,102355,1348177,2069872,5135,13584,1155392,36965,125087,270136,513931,209273,70116,112781,4156297,305206,334833,3367
2008:Q4,4664589,84957,101777,8521,2125287,39537,117348,375207,47929,1545266,509949,166146,343803,305115,735922,41067,157485,91997,19702,482810,3035,27782,46433,405560,4568477,12905,49291,106094,1339359,1938936,5816,11274,1104802,31165,117366,270454,455987,229830,46416,47492,3959316,306803,348492,3796
2009:Q1,4641065,72127,104519,13231,2224860,42977,129501,373182,54195,1625005,500501,160591,339910,246502,684428,41671,159425,90168,17364,486269,3064,27269,46867,409069,4493583,13214,49647,106244,1349568,1879105,5525,11467,1078813,32943,106757,273019,460221,205873,42850,37858,3900453,326171,355842,4203
2009:Q2,4829561,67210,97348,11463,2306218,48356,131376,378041,60182,1688263,492896,156531,336365,277092,799194,42304,161365,89054,22181,463236,3082,25605,47300,387249,4618287,10867,47622,106857,1371628,1954332,5909,12754,1108318,37101,99891,274640,512307,184379,54655,42752,4038186,348651,368241,4612
2009:Q3,5086491,65377,88922,12280,2407182,49277,132725,379957,66670,1778553,485889,152091,333798,310779,927548,42955,163304,88015,27090,467150,3005,25216,47731,391198,4802090,14256,44951,107522,1396478,2040456,5992,13715,1178720,44083,91710,280425,566086,196416,66640,39870,4193996,373036,380204,5018
2009:Q4,5202559,51687,80106,10922,2519215,52246,133878,384738,73462,1874891,468414,141006,327408,335090,973116,43579,165244,86591,29744,438851,2748,22854,48164,365085,4847248,12434,45471,107933,1415900,2075337,7406,13053,1169714,43691,84827,279652,596447,165097,68140,39591,4268297,394743,390072,5424
2010:Q1,5313298,48764,72793,12197,2568692,37501,139931,386384,81767,1923109,462870,140089,322781,357676,1015290,43108,163620,84497,31390,452401,2750,25359,48959,375333,4925259,9151,45006,106530,1425359,2125547,6941,13465,1193260,46426,82732,280862,606930,176310,71592,43087,4334086,400615,386098,5870
2010:Q2,5292585,58880,69243,11887,2638985,41301,146509,388084,91145,1971946,459509,140145,319364,335769,941087,42585,161997,81904,28242,462497,2759,26253,49755,383730,4882797,9848,43774,104787,1415561,2089159,6985,13411,1199272,50193,75956,285488,579466,208169,62879,42894,4254709,399688,381435,6314
2010:Q3,5489108,60654,63937,11915,2715062,48186,153602,389863,101557,2021854,460638,140842,319796,377338,1035859,42136,160374,80018,31873,449304,2811,23350,50549,372594,5040027,10971,43540,103503,1446348,2197619,8211,13541,1216294,54071,73774,291747,605423,191279,70846,41867,4421963,408515,377705,6759
2010:Q4,5635452,52903,59699,12002,2783488,43178,161283,391719,113340,2073968,459958,140804,319154,409556,1115479,41676,158750,78062,50704,413175,2747,25499,51343,333586,5162891,10258,43415,102170,1461201,2287518,8025,14940,1235364,65937,70698,293165,626105,179459,88445,42727,4545721,416437,373863,7202
2011:Q1,5773561,48401,58003,8726,2847432,42241,168978,397068,119270,2119875,459839,139819,320020,426433,1165604,41929,158019,78305,53293,427577,2802,25872,52231,346672,5274374,12762,44236,99553,1489164,2303128,8034,13759,1303738,67745,70572,296001,687452,181968,87480,46347,4645894,428201,372457,7865
2011:Q2,5845395,49733,56757,9027,2893569,40814,175885,400658,124795,2151417,467099,142430,324669,433312,1165868,42162,157289,78360,52611,439608,2594,26352,53118,357544,5320897,12522,44280,96818,1510036,2318616,7877,14007,1316741,70618,68237,298566,692079,187241,88780,46844,4683973,437256,370833,8529
2011:Q3,5790023,59391,58250,9384,2959437,45542,186461,405477,131066,2190891,477229,146580,330649,385421,1021974,42369,156395,78067,43968,498138,2595,25106,54006,416431,5240323,11530,44600,93774,1523179,2218343,6731,13022,1329144,77823,63141,305128,669140,213912,68693,45382,4571076,439471,368625,9190
2011:Q4,5928909,61743,69032,6835,2998063,31899,199578,408560,136856,2221170,483301,148682,334619,421619,1085944,42611,155781,78225,51681,474074,2004,25033,54892,392145,5355170,12108,44912,91162,1559864,2286657,7202,18377,1334888,75276,63497,307571,686458,202086,102855,42343,4692148,451407,367255,9852
2012:Q1,6122565,60290,63488,9654,3050022,32864,200470,408878,141787,2266023,485601,146707,338894,455735,1188408,45215,159016,79450,58257,467429,1974,26863,55857,382735,5520776,14148,46123,93992,1580831,2426245,8033,17378,1334026,164800,62244,309602,704742,92638,113325,41918,4865614,462002,369394,10523
2012:Q2,6080365,64169,65832,9858,3041546,39161,198944,402078,143688,2257675,490611,147753,342858,435990,1148395,47819,161923,80543,54976,478703,2018,28722,56820,391143,5460065,14862,49535,96553,1564782,2377499,8203,17415,1331216,170942,64700,307747,695591,92236,109220,48548,4788843,466665,370916,11195
2012:Q3,6236143,60911,63455,10347,3105160,43245,200434,403440,149292,2308749,494874,148952,345922,455944,1204684,50422,165003,81696,58191,485456,2022,29125,57784,396525,5588521,16394,49443,99263,1583872,2447625,8644,17735,1365545,97497,65812,314395,705707,182134,115716,54934,4889659,475088,373004,11864
2012:Q4,6319963,63254,62572,9068,3151652,50295,203226,402271,153890,2341970,498487,151560,346927,457398,1214537,53028,168001,82822,70434,488710,2041,25665,58747,402257,5645782,14373,48151,101904,1596103,2477157,8359,16668,1383067,17190,62825,313854,707191,282007,113878,53662,4924126,481686,374795,12533
2013:Q1,6401905,63776,52091,5434,3126345,47630,194176,394357,153202,2336980,495865,148607,347258,484691,1290813,51933,173212,84285,73342,500118,1935,26677,59738,411768,5775345,22318,49123,100246,1617157,2562101,8183,16889,1399328,17404,63835,315529,718785,283775,126254,53865,5036409,504147,379358,11262
2013:Q2,6384232,53533,51894,6159,3102220,48556,186906,386572,152520,2327666,502172,150313,351859,488277,1282116,50837,178358,85740,72362,510564,1942,28580,60727,419315,5803026,22887,50330,98542,1628746,2574076,6335,16918,1405192,17250,56937,318329,715254,297422,129595,55074,5046437,524027,383262,9993
2013:Q3,6458253,61667,53919,6353,3071835,53494,180438,377516,151083,2309304,510098,149936,360162,505177,1344276,49745,183556,87198,78324,506105,2064,27578,61717,414746,5915557,22517,49441,96875,1654393,2657310,6946,16955,1411120,17657,55737,324909,722674,290143,135945,51025,5157815,545881,387617,8721
2013:Q4,6550580,54835,50936,3280,3053947,60619,173697,370318,150403,2298910,519147,152880,366267,534794,1416712,48650,188757,88657,80755,510110,2866,28690,62706,415848,6049331,20896,50111,95213,1681375,2752992,7084,13402,1428258,10732,53804,326558,735479,301685,117870,55810,5287085,567977,391988,7448
2014:Q1,6653722,60980,50034,3071,3105789,55552,180333,375055,154746,2340103,524700,156105,368595,532397,1429522,49374,189485,86872,78746,542752,2896,29674,63879,446303,6121914,20935,50498,95945,1700730,2786176,7217,13218,1447195,10963,50739,332491,734224,318778,115708,57420,5336145,567671,386693,9997
2014:Q2,6780299,59803,49021,2867,3171076,52483,187580,381461,160402,2389150,531499,157963,373536,541045,1471040,50096,190223,85088,79275,549266,2967,31046,65053,450200,6218144,23198,51081,96681,1726290,2841336,6933,13488,1459137,11548,54660,337886,738129,316914,120872,59815,5425423,568035,381519,12545
2014:Q3,6815573,62932,51494,2900,3220635,51563,194824,385896,165423,2422929,541734,161977,379757,534205,1438140,50822,190925,83300,76176,562310,2993,30386,66223,462708,6220280,22542,51402,97397,1741980,2825708,6550,14615,1460086,11473,57631,340628,734079,316275,121058,62829,5421145,566536,375991,15094
2014:Q4,6928552,60407,55269,3310,3256438,52056,202147,388909,169551,2443775,553349,165176,388173,539865,1458165,51545,191640,81516,87852,589196,2955,29916,67396,488929,6311235,21900,51928,98117,1769791,2869011,6592,13061,1480835,11514,61452,341448,735452,330969,113949,53941,5494926,566342,370696,17640
2015:Q1,6994088,60425,53404,3137,3232248,49321,202016,381669,170874,2428368,563401,170140,393261,539727,1484437,55254,195872,82810,92001,631372,3076,31021,68357,528918,6405071,22144,54076,102101,1795334,2898496,7663,14422,1510835,11794,64496,344725,737543,352277,123283,53960,5555744,569693,355524,15760
2015:Q2,6958287,52405,52495,2880,3222075,46039,202068,378173,172788,2423007,570818,167557,403261,537461,1468069,58967,200105,84100,91959,616953,3427,31884,69317,512325,6402966,22446,56223,106084,1807577,2911327,7746,14616,1476947,11841,63677,344595,734796,322038,121841,50554,5577772,572053,340198,13882
2015:Q3,6863764,63443,63639,3305,3227069,48773,205097,373194,175299,2424706,578408,165878,412530,525580,1359548,62675,204336,85380,82468,607913,3452,31668,70278,502515,6338198,22411,57239,110068,1810073,2838060,6471,14265,1479611,12072,59730,348966,718969,339874,111288,50306,5489460,572082,324597,12002
2015:Q4,6895388,70268,58089,2828,3223908,44440,205993,371159,177289,2425027,596334,165659,430675,546825,1396558,66388,208568,86673,67569,571380,3406,31636,71237,465101,6402424,21400,58121,114054,1828695,2908516,7364,12237,1452037,12022,64333,348777,722690,304215,100707,49391,5586592,575605,309387,10120
2016:Q1,7072208,69647,57453,2967,3364956,46794,211525,381227,185955,2539455,606981,170874,436107,544849,1386539,72573,219518,85891,58649,602185,3505,32814,69911,495955,6503755,21454,61115,118958,1853497,2928635,8436,13061,1498599,12894,63485,354359,729281,338580,111917,51432,5634350,585584,313754,13180
2016:Q2,7303729,91668,51058,2860,3505362,47395,222850,388782,193360,2652975,613796,168558,445238,549171,1401194,78758,230466,85112,57705,636579,3585,33640,68587,530767,6651652,21507,65710,123861,1889926,2976978,8123,13195,1552352,13655,65232,360044,735520,377901,112058,53796,5727058,596088,318160,16242
2016:Q3,7413999,86156,49042,2785,3553494,49047,227363,390135,195548,2691401,622068,169030,453038,560389,1441593,84942,241416,84331,59559,628224,3766,32674,67259,524525,6753783,21561,67995,128766,1917924,3037396,6880,13371,1559890,14035,65600,362274,743845,374136,112679,55022,5818317,606969,322588,19302
2016:Q4,7247525,73484,44640,2475,3409083,46621,219339,372791,185237,2585095,628038,162577,465461,555695,1438645,91126,252364,83548,65280,603147,3766,31304,65933,502144,6715253,21615,68257,133669,1925948,3002983,8411,14964,1539406,13272,71006,364756,768464,321908,128264,47794,5816656,616400,326913,22360
2017:Q1,7392391,74596,46262,2479,3459746,45754,222687,376734,188637,2625934,637271,160747,476524,574828,1481852,93898,260916,85505,70528,604510,4051,32682,66909,500868,6841082,21668,71198,143047,1950211,3076456,7977,14540,1555985,13631,73564,371632,773903,323255,130008,51068,5923908,622313,336061,23206
2017:Q2,7515720,82728,47070,2353,3509783,43386,225829,380932,191994,2667642,650951,160829,490122,589109,1504710,96672,269467,87461,73199,602217,3982,33101,67885,497249,6934940,22261,71225,152427,1964515,3119990,6656,14469,1583397,14271,77345,373818,779372,338591,133635,50850,5987408,627701,345174,24051
2017:Q3,7650075,83166,48810,2287,3555722,41826,228022,384289,195106,2706479,661672,163979,497693,608851,1537591,99445,278018,89416,74239,610858,3987,33156,68861,504854,7027615,21692,72040,161807,1986665,3164920,7222,14176,1599093,14658,84743,376693,790270,332729,137341,51540,6069019,633328,354327,24894
2017:Q4,7747312,91082,48249,2040,3591221,38070,228283,386608,197793,2740467,670255,163589,506666,623843,1571330,102219,286568,91372,88150,580983,4157,33081,69835,473910,7129628,21361,74757,171187,2008838,3221554,10599,15592,1605740,15798,82960,382379,805336,319267,160684,49030,6164984,638982,363489,25738
2018:Q1,7673740,85865,46559,1968,3532556,35532,226721,384028,198058,2688217,683210,162334,520876,605198,1539033,102031,277530,116406,88061,595323,4503,35520,70962,484338,7153405,20766,78800,174989,2018425,3221994,10397,15066,1612968,15133,85658,392358,800596,319223,159320,52927,6173651,655912,383753,25813
2018:Q2,7693315,92722,49068,1956,3493159,33553,225583,375112,196100,2662811,698458,162091,536367,605090,1554909,101847,268493,141455,75642,610516,4509,35376,72089,498542,7208146,20863,79790,178797,2035059,3259644,9499,13942,1610552,14990,87087,394290,805943,308242,162722,46274,6226825,673790,404125,25888
2018:Q3,7792616,81931,45166,2171,3511226,34322,225885,372139,193956,2684924,713561,160697,552864,614567,1594041,101661,259454,166534,74947,627357,4582,36228,73214,513333,7307359,23501,79642,182615,2054161,3313685,9236,13810,1630709,15194,87893,401533,821808,304281,174188,47039,6311826,692468,424573,25961
2018:Q4,7566367,90675,54957,2200,3509216,33149,203685,364856,190014,2717512,730514,162405,568109,538772,1401738,101473,250415,191376,63310,631721,4650,35001,74340,517730,7108146,24050,81141,186337,2035213,3174843,7681,11731,1587150,4802,86047,408670,788527,299104,131594,42623,6114901,705073,444410,26034
2019:Q1,7936729,89278,51980,3346,3691707,33373,203628,375388,198380,2880938,743769,162210,581559,587760,1526492,101655,251668,193191,70439,625444,4742,36447,74906,509349,7331819,23530,82173,188212,2067910,3314423,8345,11611,1635615,5243,89426,413693,819387,307866,147489,45236,6322916,713133,447834,26218
2019:Q2,8194507,96218,56608,4680,3865090,33841,206437,384556,204762,3035494,751740,161325,590415,606951,1549977,105199,253309,195162,70463,639110,4745,35749,75472,523144,7453273,23153,82196,193797,2085892,3375918,7390,11188,1673739,5659,89169,416716,831041,331154,148482,45176,6413474,719316,451664,26443
2019:Q3,8387365,105769,62027,5687,4001382,32204,214281,391406,210650,3152841,768750,163371,605379,611752,1532529,110051,256447,198221,69349,665401,5046,36623,76165,547567,7555385,20758,86127,201423,2106588,3408553,7188,11140,1713608,5900,90226,419594,833384,364504,150409,45424,6472285,727878,457941,26825
2019:Q4,8514507,94683,58570,6333,4022983,28757,215309,388355,215047,3175515,780575,161396,619179,645426,1598127,107976,257145,199537,84381,658771,5214,36495,77636,539426,7653720,17508,88677,199940,2122402,3483286,8085,12374,1721448,5921,92277,426574,846170,350506,184534,44726,6584440,733568,460562,26957
2020:Q1,8283352,143593,88369,9551,3964544,38340,233153,397512,214799,3080740,792811,166203,626608,556760,1299661,112917,258378,219720,65705,771343,6018,39049,79573,646703,7551382,25392,107687,219342,2122641,3263138,10620,12044,1790518,0,98130,429243,809406,453739,147754,46353,6350037,761591,480033,22221
2020:Q2,8854292,148518,84625,8470,4257324,34836,235214,381915,222122,3383237,794719,163812,630907,624146,1486340,120103,260171,249077,75197,745602,6985,38092,82390,618135,7865181,21355,108226,247563,2161333,3471795,11833,11697,1831379,0,102549,435245,842355,451230,176506,47027,6635940,802355,508352,15331
2020:Q3,9031547,132055,72950,10600,4345014,40386,242576,377434,227369,3457249,796442,163854,632588,659414,1550796,124819,261347,268343,76554,733213,7274,37679,84238,604022,8031512,25482,103628,266081,2195586,3581743,8263,11363,1839366,0,108969,442055,855773,432569,185794,46769,6797240,829105,526939,10812
2020:Q4,9420294,127664,66472,8191,4431518,33976,240700,366415,234212,3556215,807764,163063,644701,730647,1701323,130433,262748,291277,89844,772413,7759,36591,86438,641625,8383055,18564,103941,288129,2248937,3804751,9013,13152,1896568,0,113180,445811,880577,457000,244699,48115,7099635,860948,549061,5428
2021:Q1,9264778,121253,62488,7029,4221929,31091,225410,348859,231570,3384999,809771,163760,646011,751386,1731578,130793,260645,292333,94710,780863,8539,38712,86340,647272,8406372,15231,112262,290245,2237565,3813731,10230,12193,1914915,0,123891,448589,881682,460753,250434,52271,7117822,859051,548394,5428
2021:Q2,9570660,140228,66650,7101,4333256,31768,233381,348174,234139,3485794,820203,164662,655541,775642,1827810,134269,264068,297159,100800,803474,8677,37893,86753,670151,8606820,15386,108763,296745,2278735,3928152,7712,11557,1959770,0,138800,449699,901175,470096,276921,55369,7300980,874335,556543,5509
2021:Q3,9570807,138432,62315,7817,4368902,33765,237348,347681,232158,3517950,836041,166427,669614,773443,1786173,133892,266624,300809,98475,797884,8738,37867,87569,663710,8646125,16937,107343,299253,2293482,3934517,7648,11394,1975551,0,149517,456133,896125,473776,275397,58334,7324957,880811,562586,5573
2021:Q4,9785106,141385,62979,8427,4354279,27869,236842,343195,232602,3513771,847153,167694,679459,838801,1842997,135192,270279,303695,100752,879167,9007,36740,88986,744433,8864819,19017,104468,303732,2333592,4097756,8448,9017,1988789,0,152740,461449,914365,460235,293957,61576,7547261,898247,569407,5634
