1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,79180,1101,0,0,45513,0,9399,0,1657,34457,27464,3032,24432,2920,0,0,0,0,150,2032,0,1294,0,738,74864,0,0,0,58831,9401,140,66,6426,0,0,4134,0,2292,255,0,68725,0,0,0
1954:Q3,80504,1111,0,0,45899,0,9138,0,1791,34970,28167,3084,25083,3093,0,0,0,0,153,2081,0,1315,0,766,76079,0,0,0,59600,9695,168,67,6549,0,0,4225,0,2324,256,0,69797,0,0,0
1954:Q4,82188,1240,0,0,46294,0,9070,0,1846,35378,29103,3127,25976,3268,0,0,0,0,155,2128,0,1341,0,787,77273,0,0,0,60389,10000,183,73,6628,0,0,4325,0,2303,283,0,70903,0,0,0
1955:Q1,83468,1061,0,0,46861,0,9136,0,1984,35741,29956,3188,26768,3261,0,0,0,0,158,2171,0,1371,0,800,78486,0,0,0,61170,10322,189,74,6731,0,0,4432,0,2299,284,0,72020,0,0,0
1955:Q2,84870,1089,0,0,47167,0,9086,0,1984,36097,30743,3225,27518,3499,0,0,0,0,161,2211,0,1405,0,806,79744,0,0,0,61931,10663,156,74,6920,0,0,4548,0,2372,286,0,73139,0,0,0
1955:Q3,86384,1160,0,0,47656,0,9164,0,2016,36476,31544,3267,28277,3606,0,0,0,0,164,2254,0,1442,0,812,81038,0,0,0,62688,11004,198,75,7073,0,0,4665,0,2408,287,0,74253,0,0,0
1955:Q4,87851,1265,0,0,47741,0,8576,0,2038,37127,32735,3290,29445,3633,0,0,0,0,167,2310,0,1482,0,828,82351,0,0,0,63459,11325,222,80,7265,0,0,4775,0,2490,310,0,75359,0,0,0
1956:Q1,89198,1050,0,0,48058,0,8077,0,2193,37788,33742,3346,30396,3800,0,0,0,0,170,2378,0,1525,0,853,83649,0,0,0,64251,11624,204,81,7489,0,0,4884,0,2605,311,0,76460,0,0,0
1956:Q2,90346,1086,0,0,48330,0,7954,0,2186,38190,34706,3414,31292,3591,0,0,0,0,173,2460,0,1573,0,887,84916,0,0,0,65070,11895,154,81,7716,0,0,4988,0,2728,312,0,77557,0,0,0
1956:Q3,91670,1084,0,0,48852,0,7834,0,2251,38767,35562,3450,32112,3453,0,0,0,0,176,2543,0,1622,0,921,86159,0,0,0,65875,12175,244,81,7784,0,0,5090,0,2694,313,0,78649,0,0,0
1956:Q4,93194,1281,0,0,49107,0,7555,0,2273,39279,36508,3519,32989,3503,0,0,0,0,179,2616,0,1669,0,947,87397,0,0,0,66626,12500,262,82,7927,0,0,5200,0,2727,317,0,79738,0,0,0
1957:Q1,94264,1074,0,0,49675,0,7478,0,2289,39908,37274,3595,33679,3378,0,0,0,0,182,2681,0,1714,0,967,88620,0,0,0,67324,12868,261,83,8084,0,0,5316,0,2768,317,0,80823,0,0,0
1957:Q2,95874,1142,0,0,50173,0,7348,0,2322,40503,37859,3678,34181,3773,0,0,0,0,185,2742,0,1760,0,982,89812,0,0,0,67969,13279,185,83,8296,0,0,5438,0,2858,318,0,81905,0,0,0
1957:Q3,97013,1150,0,0,50844,0,7289,0,2348,41207,38461,3766,34695,3570,0,0,0,0,188,2800,0,1804,0,996,91020,0,0,0,68606,13700,224,83,8407,0,0,5558,0,2849,319,0,82988,0,0,0
1957:Q4,98190,1292,0,0,51356,0,7029,0,2376,41951,39105,3869,35236,3391,0,0,0,0,192,2854,0,1843,0,1011,92289,0,0,0,69277,14100,264,80,8568,0,0,5669,0,2899,309,0,84075,0,0,0
1958:Q1,99511,1170,0,0,52099,0,7087,0,2460,42552,39663,3970,35693,3479,0,0,0,0,195,2905,0,1877,0,1028,93596,0,0,0,69991,14475,387,80,8663,0,0,5772,0,2891,310,0,85172,0,0,0
1958:Q2,100834,1210,0,0,52766,0,7075,0,2534,43157,40087,4058,36029,3626,0,0,0,0,199,2946,0,1903,0,1043,94948,0,0,0,70755,14826,300,80,8987,0,0,5866,0,3121,310,0,86286,0,0,0
1958:Q3,102424,1217,0,0,53619,0,7295,0,2613,43711,40563,4125,36438,3831,0,0,0,0,202,2992,0,1931,0,1061,96268,0,0,0,71533,15189,335,80,9131,0,0,5959,0,3172,310,0,87426,0,0,0
1958:Q4,104266,1366,0,0,54283,17,7183,50,2681,44352,41250,4188,37062,4109,0,0,0,0,206,3052,0,1969,0,1083,97497,0,0,0,72294,15600,348,89,9166,0,0,6056,0,3110,343,0,88604,0,0,0
1959:Q1,105475,1218,0,0,55051,124,7212,61,2828,44826,41734,4273,37461,4133,0,0,0,0,210,3129,0,2017,0,1112,98755,0,0,0,73063,16068,380,89,9155,0,0,6160,0,2995,343,0,89857,0,0,0
1959:Q2,107121,1206,0,0,55888,215,7228,74,2991,45380,42216,4367,37849,4375,0,0,0,0,213,3223,0,2074,0,1149,100073,0,0,0,73834,16602,339,89,9209,0,0,6264,0,2945,344,0,91185,0,0,0
1959:Q3,108266,1158,0,0,56375,200,7183,82,3148,45762,42887,4474,38413,4309,0,0,0,0,217,3320,0,2133,0,1187,101516,0,0,0,74667,17129,418,90,9212,0,0,6374,0,2838,344,0,92570,0,0,0
1959:Q4,109999,1309,0,0,56686,118,6868,72,3200,46428,43815,4618,39197,4561,0,0,0,0,221,3407,0,2187,0,1220,103111,0,0,0,75606,17575,434,93,9403,0,0,6491,0,2912,358,0,93975,0,0,0
1960:Q1,111045,1127,0,0,57148,137,6828,73,3284,46826,44691,4786,39905,4368,0,0,0,0,225,3486,0,2238,0,1248,104654,0,0,0,76524,17946,376,93,9715,0,0,6623,0,3092,359,0,95283,0,0,0
1960:Q2,112582,1188,0,0,57481,176,6574,100,3357,47274,45484,4966,40518,4642,0,0,0,0,229,3558,0,2288,0,1270,106060,0,0,0,77383,18248,337,94,9998,0,0,6768,0,3230,360,0,96462,0,0,0
1960:Q3,113742,1183,0,0,58052,249,6577,105,3510,47611,46188,5112,41076,4456,0,0,0,0,233,3630,0,2336,0,1294,107323,0,0,0,78133,18532,383,94,10181,0,0,6917,0,3264,362,0,97513,0,0,0
1960:Q4,115811,1330,0,0,58555,294,6427,101,3588,48145,47002,5231,41771,4981,0,0,0,0,237,3706,0,2379,0,1327,108485,0,0,0,78758,18850,418,97,10362,0,0,7061,0,3301,374,0,98473,0,0,0
1961:Q1,117811,1232,0,0,59235,360,6543,91,3693,48548,47694,5373,42321,5621,0,0,0,0,241,3788,0,2417,0,1371,109728,0,0,0,79425,19191,424,98,10590,0,0,7215,0,3375,375,0,99496,0,0,0
1961:Q2,119209,1270,0,0,59762,324,6408,81,3728,49221,48464,5523,42941,5593,0,0,0,0,245,3875,0,2448,0,1427,111135,0,0,0,80196,19544,357,98,10940,0,0,7367,0,3573,376,0,100633,0,0,0
1961:Q3,120753,1309,0,0,60490,332,6428,103,3808,49819,49015,5634,43381,5729,0,0,0,0,249,3961,0,2478,0,1483,112652,0,0,0,81095,19900,379,98,11180,0,0,7523,0,3657,377,0,101902,0,0,0
1961:Q4,122809,1392,0,0,60932,193,6134,110,3888,50607,49936,5733,44203,6258,0,0,0,0,254,4037,0,2512,0,1525,114198,0,0,0,82112,20250,386,109,11341,0,0,7683,0,3658,418,0,103285,0,0,0
1962:Q1,124284,1219,0,0,61952,513,6307,121,4039,50972,50454,5848,44606,6290,4,0,0,0,258,4107,0,2549,0,1558,115718,0,0,0,83115,20591,495,109,11408,0,0,7854,0,3554,419,0,104647,0,0,0
1962:Q2,124401,1213,0,0,62616,521,6279,115,4024,51677,51114,5995,45119,5017,11,0,0,0,263,4167,0,2587,0,1580,117195,0,0,0,84072,20920,429,109,11665,0,0,8040,0,3625,420,0,105951,0,0,0
1962:Q3,126516,1289,0,0,63401,643,6331,142,4073,52212,51794,6124,45670,5520,18,0,0,0,268,4226,0,2626,0,1600,118688,0,0,0,84951,21258,471,109,11899,0,0,8218,0,3681,421,0,107189,0,0,0
1962:Q4,129184,1457,0,0,63722,347,6170,105,4026,53074,53136,6234,46902,6280,22,0,0,0,272,4295,0,2667,0,1628,120259,0,0,0,85754,21625,440,104,12336,0,0,8363,0,3973,401,0,108384,0,0,0
1963:Q1,130989,1230,0,0,64571,599,6022,100,4029,53821,53875,6348,47527,6642,22,0,0,0,277,4372,0,2711,0,1661,121779,0,0,0,86678,22016,613,104,12368,0,0,8473,0,3895,402,0,109729,0,0,0
1963:Q2,132679,1246,0,0,65049,487,5746,118,3939,54759,54785,6472,48313,6843,17,0,0,0,282,4457,0,2758,0,1699,123349,0,0,0,87667,22427,452,104,12699,0,0,8547,0,4152,402,0,111164,0,0,0
1963:Q3,134632,1350,0,0,65704,619,5841,121,3876,55247,55773,6567,49206,6960,14,0,0,0,287,4544,0,2806,0,1738,125007,0,0,0,88729,22856,443,104,12875,0,0,8616,0,4259,402,0,112692,0,0,0
1963:Q4,136802,1466,0,0,66083,380,5813,139,3852,55899,57199,6655,50544,7118,17,0,0,0,292,4627,0,2853,0,1774,126776,0,0,0,89860,23300,434,110,13072,0,0,8710,0,4362,422,0,114301,0,0,0
1964:Q1,138773,1294,0,0,66778,506,5788,121,3843,56520,58232,6777,51455,7433,33,0,0,0,297,4706,0,2898,0,1808,128509,0,0,0,90916,23764,538,110,13181,0,0,8821,0,4360,422,0,115855,0,0,0
1964:Q2,140593,1279,0,0,67190,297,5715,136,3802,57240,59400,6911,52489,7581,60,0,0,0,302,4781,0,2941,0,1840,130282,0,0,0,91979,24250,474,110,13469,0,0,8940,0,4529,423,0,117437,0,0,0
1964:Q3,142626,1314,0,0,67759,373,5840,139,3822,57585,60553,7029,53524,7747,87,0,0,0,308,4858,0,2986,0,1872,132100,0,0,0,93062,24748,556,110,13624,0,0,9072,0,4552,424,0,119051,0,0,0
1964:Q4,144942,1488,0,0,67963,248,5594,129,3774,58218,62292,7140,55152,7834,104,0,0,0,313,4948,0,3039,0,1909,133966,0,0,0,94172,25250,552,117,13875,0,0,9220,0,4655,450,0,120698,0,0,0
1965:Q1,147055,1286,0,0,68718,474,5639,136,3746,58723,63586,7269,56317,7985,113,0,0,0,319,5048,0,3097,0,1951,135901,0,0,0,95239,25837,566,117,14142,0,0,9386,0,4756,451,0,122388,0,0,0
1965:Q2,148567,1279,0,0,69144,579,5358,151,3674,59382,64766,7419,57347,7778,116,0,0,0,324,5160,0,3160,0,2000,137926,0,0,0,96438,26341,483,117,14547,0,0,9571,0,4976,450,0,124127,0,0,0
1965:Q3,151504,1296,0,0,69914,741,5298,179,3595,60101,65974,7561,58413,8597,117,0,0,0,330,5276,0,3228,0,2048,139951,0,0,0,97677,26818,534,117,14805,0,0,9766,0,5039,449,0,125882,0,0,0
1965:Q4,154203,1503,0,0,70152,293,5119,167,3530,61043,67691,7678,60013,9006,120,0,0,0,336,5395,0,3303,0,2092,141888,0,0,0,98863,27325,532,116,15052,0,0,9962,0,5090,448,0,127620,0,0,0
1966:Q1,156369,1073,0,0,71412,286,5171,191,3539,62225,69093,7861,61232,8977,124,0,0,0,342,5348,0,3385,0,1963,143547,0,0,0,100007,27846,636,116,14942,0,0,10162,0,4780,447,0,129330,0,0,0
1966:Q2,157915,1097,0,0,71533,219,4921,232,3366,62795,70682,8173,62509,8799,128,0,0,0,348,5328,0,3475,0,1853,145661,0,0,0,101120,28367,537,117,15520,0,0,10368,0,5152,448,0,131014,0,0,0
1966:Q3,159146,1159,0,0,71867,298,4852,241,3320,63156,72222,8657,63565,8109,133,0,0,0,354,5302,0,3568,0,1734,147954,0,0,0,102251,28892,566,117,16128,0,0,10579,0,5549,450,0,132723,0,0,0
1966:Q4,162265,1547,0,0,72193,380,4921,236,3260,63396,73726,9117,64609,8692,140,0,0,0,360,5607,0,3659,0,1948,149829,0,0,0,103448,29425,592,111,16253,0,0,10793,0,5460,428,0,134505,0,0,0
1967:Q1,166075,1308,0,0,73128,553,4855,237,3217,64266,74865,9396,65469,9935,150,0,0,0,368,6321,0,3736,0,2585,151985,0,0,0,104689,29976,803,112,16405,0,0,11206,0,5199,429,0,136560,0,0,0
1967:Q2,168036,1384,0,0,73907,865,4690,242,3157,64953,75796,9670,66126,10051,163,0,0,0,377,6358,0,3807,0,2551,154141,0,0,0,105902,30617,481,112,17029,0,0,11421,0,5608,430,0,138482,0,0,0
