date,Agency-and GSE-backed mortgage pools; total mortgages; asset,Agency-and GSE-backed mortgage pools; one-to-four-family residential mortgages; asset,Agency-and GSE-backed mortgage pools; multifamily residential mortgages; asset,Agency-and GSE-backed mortgage pools; commercial mortgages; asset,Agency-and GSE-backed mortgage pools; farm mortgages; asset,Agency-and GSE-backed mortgage pools; total mortgages; asset
1945:Q4,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND
1948:Q4,4,0,0,0,4,4
1949:Q1,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND
1949:Q4,3,0,0,0,3,3
1950:Q1,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND
1950:Q4,25,0,0,0,25,25
1951:Q1,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND
1960:Q1,4,0,0,0,4,4
1960:Q2,8,0,0,0,8,8
1960:Q3,-8,0,0,0,-8,-8
1960:Q4,-12,0,0,0,-12,-12
1961:Q1,0,0,0,4,-4,0
1961:Q2,-4,0,0,8,-12,-4
1961:Q3,176,0,0,4,172,176
1961:Q4,184,0,0,0,184,184
1962:Q1,88,0,0,4,84,88
1962:Q2,96,0,0,4,92,96
1962:Q3,148,0,0,4,144,148
1962:Q4,160,0,0,4,156,160
1963:Q1,160,0,0,4,156,160
1963:Q2,168,0,0,4,164,168
1963:Q3,56,0,4,12,40,56
1963:Q4,64,0,0,8,56,64
1964:Q1,104,0,0,12,92,104
1964:Q2,120,0,0,12,108,120
1964:Q3,84,0,4,36,44,84
1964:Q4,88,0,0,44,44,88
1965:Q1,208,0,0,52,156,208
1965:Q2,216,0,0,56,160,216
1965:Q3,268,92,4,72,100,268
1965:Q4,288,108,4,72,104,288
1966:Q1,320,136,0,84,100,320
1966:Q2,336,152,-4,88,100,336
1966:Q3,536,264,4,92,176,536
1966:Q4,588,312,0,96,180,588
1967:Q1,664,360,4,100,200,664
1967:Q2,720,408,0,104,208,720
1967:Q3,644,372,8,116,148,644
1967:Q4,668,404,8,108,148,668
1968:Q1,724,436,4,104,180,724
1968:Q2,760,468,8,100,184,760
1968:Q3,340,232,12,64,32,340
1968:Q4,328,232,12,60,24,328
1969:Q1,360,232,16,56,56,360
1969:Q2,340,224,16,56,44,340
1969:Q3,992,512,16,68,396,992
1969:Q4,1020,532,20,64,404,1020
1970:Q1,1180,612,20,60,488,1180
1970:Q2,856,656,20,60,120,856
1970:Q3,1676,1276,32,48,320,1676
1970:Q4,2492,2108,28,40,316,2492
1971:Q1,4808,4204,36,44,524,4808
1971:Q2,6460,5832,40,44,544,6460
1971:Q3,3188,2704,36,144,304,3188
1971:Q4,4588,4000,104,140,344,4588
1972:Q1,4104,3676,128,-332,632,4104
1972:Q2,4824,4180,264,144,236,4824
1972:Q3,4268,3624,272,160,212,4268
1972:Q4,6356,4456,448,1140,312,6356
1973:Q1,3024,2620,440,0,-36,3024
1973:Q2,5820,4576,176,412,656,5820
1973:Q3,1768,1688,208,-80,-48,1768
1973:Q4,3932,2856,72,696,308,3932
1974:Q1,6676,6532,64,-24,104,6676
1974:Q2,1692,2120,64,-212,-280,1692
1974:Q3,5880,5412,356,0,112,5880
1974:Q4,3684,3544,152,0,-12,3684
1975:Q1,11848,11128,480,0,240,11848
1975:Q2,4732,6124,-172,0,-1220,4732
1975:Q3,4728,4540,948,0,-760,4728
1975:Q4,6904,7412,344,0,-852,6904
1976:Q1,10564,9444,1084,0,36,10564
1976:Q2,11456,11708,92,-40,-304,11456
1976:Q3,11872,11544,356,40,-68,11872
1976:Q4,14836,14976,404,0,-544,14836
1977:Q1,18900,17984,1060,0,-144,18900
1977:Q2,10248,10596,252,0,-600,10248
1977:Q3,17728,17712,900,0,-884,17728
1977:Q4,17564,16632,1488,0,-556,17564
1978:Q1,10836,9448,1204,0,184,10836
1978:Q2,12396,10572,2336,0,-512,12396
1978:Q3,12576,12156,1068,0,-648,12576
1978:Q4,18608,17288,1444,0,-124,18608
1979:Q1,19600,18400,1000,0,200,19600
1979:Q2,19516,18108,1332,0,76,19516
1979:Q3,27212,26024,1152,0,36,27212
1979:Q4,25876,24532,1356,0,-12,25876
1980:Q1,20704,20368,316,0,20,20704
1980:Q2,16248,15304,884,0,60,16248
1980:Q3,22700,22132,856,0,-288,22700
1980:Q4,17072,16984,576,0,-488,17072
1981:Q1,13204,12552,540,0,112,13204
1981:Q2,14364,14408,360,0,-404,14364
