1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1995:Q1,28103765,11590252,8999904,88129,41520,2460699,4381566,3799934,363244,69109,149279,6174,7365907,6928755,437152,1785938,755963,498102,531873,3107833,2928693,136460,42680,-133905,2794957,644382,2150575,2928862,377573,2551289,28103765,652439,2.376713578602337,28143887,563127,2.041737083805929
1995:Q2,28728797,11695161,9079858,89139,41845,2484319,4416116,3831958,368026,70196,145936,5996,7832313,7330642,501671,1797615,763679,499899,534037,3153131,2970922,138987,43222,-171536,2885993,668010,2217983,3057529,412156,2645373,28728797,625032,2.224015129602194,28713472,569585,2.023832541193618
1995:Q3,29407911,11817743,9180512,89696,42546,2504989,4465639,3881356,371077,71698,141508,6900,8335556,7747654,587902,1806086,770983,497317,537786,3194778,3010175,140960,43643,-218792,2985376,728149,2257227,3204168,448511,2755657,29407911,679114,2.363878705452494,29351272,637800,2.221256285397185
1995:Q4,30230931,11932497,9270700,90118,42425,2529254,4518697,3928967,373810,72483,143436,7005,8962945,8245338,717607,1810977,777201,498407,535369,3237506,3050361,143274,43871,-238696,3324314,790615,2533699,3563010,484180,3078830,30230931,823020,2.79863397310403,30077523,726251,2.47434325482469
1996:Q1,30814245,12073504,9377736,90216,43129,2562423,4556034,3964016,375495,73604,142918,7699,9304084,8514555,789529,1835640,784116,513254,538270,3282575,3093473,144946,44156,-245291,3444458,849842,2594616,3689749,512003,3177746,30814245,583314,1.929527405178787,30672240,594717,1.977279664192616
1996:Q2,31243560,12187534,9474857,90250,43596,2578831,4568299,3966011,376917,74861,150509,7509,9608416,8803484,804932,1820510,791128,489789,539593,3312959,3122371,146149,44439,-261666,3521762,903587,2618175,3783429,534464,3248965,31243560,429315,1.393236331304942,31096503,424263,1.383215178994489
1996:Q3,31598859,12320501,9580370,90889,44023,2605219,4608548,3997523,381060,75946,154019,7972,9754833,8849980,904853,1828956,801469,486713,540774,3358739,3166243,147737,44759,-280690,3639575,939758,2699817,3920265,543271,3376994,31598859,355299,1.137190534095359,31413766,317263,1.020252900509876
1996:Q4,32491585,12452183,9688399,91444,44347,2627993,4688206,4046394,384648,77024,180140,7837,10365866,9018529,1347337,1833753,807692,484761,541300,3399939,3205645,149167,45127,-256199,3972222,1006135,2966087,4228421,585280,3643141,32491585,892726,2.825184706935494,32131257,717491,2.284003128226018
1997:Q1,32903891,12641589,9847062,92080,45346,2657101,4837803,4190692,386787,78314,182010,8898,10425752,9080176,1345576,1841025,813754,481587,545684,3448763,3252626,150460,45677,-299938,4060883,1019624,3041259,4360821,601272,3759549,32903891,412306,1.268963640029213,32507894,376637,1.172181904590335
1997:Q2,34515513,12785061,9978706,92858,46457,2667040,4898992,4248737,388644,79503,182108,10115,11761610,10145463,1616147,1849965,820236,479675,550054,3504077,3306109,151667,46301,-294307,4290951,1192191,3098760,4585258,723832,3861426,34515513,1611622,4.897967662194275,33851195,1343302,4.132231753396115
1997:Q3,35652703,12956029,10124684,93924,47361,2690060,4990719,4334922,392028,81074,182695,11159,12663383,10780555,1882828,1857379,827996,476924,552459,3544746,3345343,152526,46877,-370712,4425295,1244738,3180557,4796007,803708,3992299,35652703,1137189,3.294719440906206,34876374,1025179,3.028485609666678
1997:Q4,36374205,13165782,10305447,94611,47697,2718027,5118345,4458564,394954,82820,182007,10911,13223316,11129545,2093771,1864326,837612,475693,551021,3602007,3400766,153795,47446,-610482,4614500,1207787,3406713,5224982,838216,4386766,36374205,721502,2.0236964355221,35488967,612593,1.756471052275515
1998:Q1,38314258,13437057,10552143,96610,48168,2740136,5266318,4606523,396378,83763,179654,11746,14718062,12416315,2301747,1864577,839667,473862,551048,3637768,3434701,155037,48030,-621270,4854911,1385867,3469044,5476181,1004540,4471641,38314258,1940053,5.333595581148046,37243217,1754249,4.943083522299764
1998:Q2,38840724,13700335,10784627,98819,49134,2767755,5295644,4637495,399244,84650,174254,11439,14964378,12644842,2319536,1873911,844385,475115,554411,3673532,3467993,156751,48788,-678515,4924853,1370021,3554832,5603369,1045407,4557962,38840724,526466,1.374072225296953,37826899,583683,1.567218618543952
1998:Q3,37816424,14001382,11053405,101159,50048,2796770,5394164,4735181,403477,86769,168737,11183,13538951,11692547,1846404,1886535,853723,475947,556865,3735208,3526917,158711,49580,-750999,4772583,1167450,3605133,5523582,933205,4590377,37816424,-1024299,-2.637178500189847,37249700,-577199,-1.525896763875539
1998:Q4,40513155,14307564,11318641,103614,51510,2833799,5459450,4793395,407456,90612,167986,11257,15960331,13783056,2177275,1902488,861874,478371,562243,3794584,3583339,160883,50362,-922519,5346161,1474983,3871178,6268680,1108661,5160019,40513155,2696730,7.131108570800817,39314315,2064615,5.542635323047586
1999:Q1,41077826,14537391,11517569,106422,52093,2861307,5477943,4802706,412545,91996,170696,11389,16239190,13998978,2240212,1918883,869601,485635,563647,3848929,3635089,162691,51149,-955899,5491639,1527668,3963971,6447538,1216610,5230928,41077826,564671,1.393796886376591,39639392,325078,0.826868478926507
1999:Q2,42661861,14825079,11758020,108925,53264,2904870,5543991,4862698,416142,94467,170683,11785,17466131,14976543,2489588,1934988,879981,486085,568922,3919143,3702276,164822,52045,-1039256,5681039,1656976,4024063,6720296,1327123,5393173,42661861,1584035,3.856179959902462,40675084,1035692,2.612784576594493
1999:Q3,42595099,15209443,12093238,111451,54021,2950733,5723464,5036003,419504,97006,170952,12148,16685077,14578273,2106804,1945436,887689,486134,571613,3974027,3753874,167169,52984,-954496,5826222,1701560,4124662,6780718,1245527,5535191,42595099,-66761,-0.156489418846123,40637261,-37824,-0.092989970007365
1999:Q4,46408257,15549040,12387820,114288,55811,2991121,5846948,5146029,424173,101838,174908,13774,19752210,17416405,2335805,1967301,896710,490384,580207,4048427,3824068,170380,53979,-769443,6540716,2003716,4537000,7310159,1435081,5875078,46408257,3813157,8.952103547870848,43248547,2611287,6.425842856416186
2000:Q1,47991578,16004828,12782396,117664,56840,3047928,5884517,5172036,430451,104113,177916,14011,20666276,18322709,2343567,1978073,905371,487697,585005,4121050,3893390,172656,55004,-677177,6757411,2089143,4668268,7434588,1521314,5913274,47991578,1583321,3.411723044028418,44465458,1216911,2.813762133772685
2000:Q2,47792050,16492297,13208552,121091,57942,3104712,5946096,5224832,436556,107074,177634,14904,20009093,17715778,2293315,1986467,915286,481441,589740,4209397,3978189,175102,56106,-866204,6771925,2054063,4717862,7638129,1522179,6115950,47792050,-199528,-0.415756235025921,44230453,-235005,-0.528512119721466
2000:Q3,48524210,17041147,13709429,124508,59026,3148184,6173380,5445085,442402,110512,175380,14560,20136311,17492653,2643658,1995162,923034,477847,594281,4271941,4037068,177592,57281,-1108291,6687710,1942786,4744924,7796001,1552667,6243334,48524210,732160,1.53196968857148,45022366,791913,1.790423811646162
2000:Q4,46680006,17558777,14169751,127343,59926,3201757,6325641,5580180,446602,114050,184809,14609,17590206,14956159,2634047,2003809,930095,475675,598039,4337187,4099391,179558,58238,-1150223,6414504,1852842,4561662,7564727,1482537,6082190,46680006,-1844204,-3.800585846216666,44555789,-466577,-1.036321735621914
2001:Q1,45999822,18335108,14897132,130714,60529,3246733,6405890,5651105,450715,116236,187834,16446,15897160,13518897,2378263,2008537,937466,470944,600127,4409649,4170201,180277,59171,-1072968,6446943,1654541,4792402,7519910,1350833,6169077,45999822,-680183,-1.457119069797729,44461044,-94745,-0.21264286056647
2001:Q2,47380526,18740860,15266886,134230,60965,3278779,6481146,5722035,455532,118197,185382,17853,16966944,14405881,2561063,2015772,941965,471612,602195,4457964,4215216,182681,60067,-1300013,6492886,1718095,4774791,7792899,1473625,6319274,47380526,1380703,3.001540939149641,45680804,1219760,2.743434544309537
2001:Q3,45541105,19168612,15659064,137172,61063,3311313,6566632,5810458,457300,118534,180340,18342,14730982,12448712,2282270,2023328,948394,470916,604018,4505981,4260282,185095,60604,-1472771,6214998,1433884,4781114,7687769,1281358,6406411,45541105,-1839420,-3.882228944173759,44649661,-1031143,-2.257279528720934
2001:Q4,46763892,19547538,15981685,140200,61393,3364260,6586765,5827678,463393,121009,174685,19232,15764959,13386098,2378861,2026401,953566,465620,607215,4577599,4331074,185235,61290,-1758602,5957545,1612673,4344872,7716148,1441451,6274697,46763892,1222786,2.685016798033565,46193828,1544167,3.458407519905191
2002:Q1,47352935,19981955,16377123,144247,62313,3398272,6647029,5881882,467570,122343,175233,18313,15849722,13473095,2376627,2034157,956326,466139,611692,4641712,4392553,187256,61903,-1819952,5981539,1607025,4374514,7801491,1477303,6324188,47352935,589044,1.259612504798546,46827797,633969,1.372411575914893
2002:Q2,46342235,20397322,16743219,148224,62906,3442973,6734631,5964225,472745,124287,173374,18197,14197519,11927065,2270454,2045428,962914,467195,615319,4712844,4461459,188961,62424,-1763706,6016941,1521874,4495067,7780647,1280216,6500431,46342235,-1010701,-2.13439917966518,46215435,-612362,-1.307690113077876
2002:Q3,44669407,20834858,17129190,151024,63876,3490768,6836558,6058519,474657,126856,176525,17944,12159420,10298225,1861195,2061096,968699,471311,621086,4771443,4518396,189747,63300,-2011912,5803584,1235475,4568109,7815496,1088781,6726715,44669407,-1672828,-3.609726938537499,45119309,-1096126,-2.371774399381617
2002:Q4,45462983,21288996,17543720,154829,64242,3526205,6974353,6183912,478896,128475,183070,18595,12132042,10332484,1799558,2077616,976961,475564,625091,4821062,4565827,191201,64034,-1849681,5698217,1373980,4324237,7547898,1229421,6318477,45462983,793576,1.776554612340644,46075857,956548,2.120041797109259
2003:Q1,45582498,21768285,17996427,157326,64939,3549593,7142454,6346208,481461,130131,184653,17966,11668147,10091935,1576212,2098740,988978,478626,631136,4907612,4650511,192382,64719,-2020706,5713449,1293453,4419996,7734155,1208832,6525323,45582498,119515,0.262883291873579,46338233,262376,0.569442925184788
2003:Q2,47807917,22213003,18400120,160466,66323,3586094,7253258,6451512,484668,132723,184354,18723,13247463,11307960,1939503,2114092,991974,481880,640238,4950717,4692206,192840,65671,-1989339,6149605,1581419,4568186,8138944,1448104,6690840,47807917,2225419,4.882179207224118,48229082,1890849,4.080538286055402
2003:Q3,48833093,22673047,18811124,163329,67723,3630871,7372263,6555214,486754,135198,195097,18727,13672105,11672682,1999423,2131465,995770,485845,649850,4995299,4734381,194291,66627,-2029813,6330328,1755385,4574943,8360141,1483137,6877004,48833093,1025176,2.144364718781086,49138737,909655,1.886112338465569
2003:Q4,51502230,23157570,19243523,167569,68813,3677665,7455571,6629956,492359,136837,196419,19076,15343215,13026812,2316403,2149792,1001752,489383,658657,5047918,4784061,196290,67567,-1670912,7501154,2079422,5421732,9172066,1696233,7475833,51502230,2669137,5.465837139559252,51086574,1947837,3.963954201043988
2004:Q1,53018816,23982868,20004276,171034,69800,3737758,7637075,6794616,500566,139508,202385,17579,15739772,13306481,2433291,2171832,1012861,492727,666244,5126944,4860083,198205,68656,-1657254,7747101,2138460,5608641,9404355,1725986,7678369,53018816,1516586,2.944699566953316,53569977,2483403,4.861165471480558
2004:Q2,54054878,24742468,20700916,175805,70636,3795111,7946754,7083146,512310,141684,209614,17364,15765648,13495203,2270445,2204540,1033206,497864,673470,5278743,5008742,200325,69676,-1900639,7904271,2161543,5742728,9804910,1769673,8035237,54054878,1036061,1.954139170223056,54361145,791168,1.476886668158615
2004:Q3,55186306,25615246,21536819,179092,71498,3827837,8284633,7418943,517593,142906,205191,18193,15438344,13160763,2277581,2243810,1061715,501342,680753,5490327,5218478,201111,70738,-1904247,8096252,2212356,5883896,10000499,1738872,8261627,55186306,1131429,2.093110853002712,55684262,1323118,2.433939798007258
2004:Q4,58191985,26451355,22296577,183825,72782,3898171,8513111,7635344,527433,143903,206432,18810,16873146,14275407,2597739,2289100,1090132,508032,690936,5687227,5412427,203170,71630,-1640764,9060180,2560418,6499762,10700944,1952173,8748771,58191985,3005679,5.446422250867949,58000717,2316455,4.159982089609189
2005:Q1,59006733,27213090,22995700,188590,73716,3955084,8672049,7771176,542650,147628,210595,19090,16591297,14296656,2294641,2322048,1107676,515321,699051,5779968,5502235,205032,72701,-1590809,9336308,2649905,6686403,10927117,1933414,8993703,59006733,814747,1.400102555715747,58812769,812051,1.400071427708527
2005:Q2,60586005,28037021,23751381,192371,74976,4018293,8976207,8063738,553548,150942,207979,18939,16937413,14479848,2457565,2357904,1130160,518753,708991,5949084,5669052,206277,73755,-1690563,9479076,2704402,6774674,11169639,1972261,9197378,60586005,1579272,2.676427610454145,60353569,1540800,2.619839535922054
2005:Q3,62507635,28930097,24601631,194702,75855,4057909,9309679,8387108,556991,152698,212882,18752,17385522,14866563,2518959,2394869,1154641,522838,717390,6131438,5849136,207599,74703,-1662722,9885296,3078670,6806626,11548018,2062051,9485967,62507635,1921629,3.171737731467215,61995534,1641965,2.720576649141932
2005:Q4,64065508,29760139,25379109,197727,77077,4106226,9597294,8662547,562288,154294,218165,18965,17399199,14812008,2587191,2432879,1176669,528547,727663,6279947,5997439,206791,75717,-1422915,10206759,3317705,6889054,11629674,2117753,9511921,64065508,1557873,2.492292854008058,63570602,1575067,2.540614397983094
2006:Q1,65903274,29977421,25536797,201595,78173,4160856,9733489,8790384,573014,157082,213010,19411,18494331,15807480,2686851,2469225,1197239,535250,736736,6383284,6098015,208369,76900,-1173887,11128394,3682411,7445983,12302281,2256912,10045369,65903274,1837766,2.868573756338895,65403318,1832717,2.882962689150083
2006:Q2,66214535,30472855,25979507,205326,78680,4209342,9927045,8971523,581708,159056,214758,18968,17858020,15178488,2679532,2507632,1222253,542696,742683,6610274,6322721,209388,78165,-1180259,11320911,3673580,7647331,12501170,2233733,10267437,66214535,311261,0.472299331019082,65569765,166446,0.254491831395227
2006:Q3,67504677,30884396,26336216,210299,79433,4258448,10182522,9205140,594161,161201,222019,18772,18523611,15607286,2916325,2542268,1241595,551096,749577,6784340,6495410,209421,79509,-1431232,11845596,3828619,8016977,13276828,2387389,10889439,67504677,1290142,1.948426593830122,66783838,1214073,1.851574931982098
2006:Q4,69434223,31070395,26476243,215056,80588,4298508,10366632,9372927,606949,164459,222297,16977,19598049,16501377,3096672,2579473,1265685,555322,758466,7029685,6736161,212645,80879,-1226988,12771786,4328960,8442826,13998774,2558411,11440363,69434223,1929546,2.858388708225973,68258411,1474573,2.207978963271486
2007:Q1,70481070,30964920,26318109,220169,82079,4344563,10477251,9455881,618441,167949,234980,19907,20251927,17198279,3053648,2615098,1283019,562026,770053,7268983,6971372,215121,82490,-1117016,13390520,4536363,8854157,14507536,2600690,11906846,70481070,1046847,1.507681630014734,69330667,1072256,1.570877110442915
2007:Q2,71986000,30973035,26273034,225170,83516,4391315,10584228,9546557,630659,170969,236043,20495,21214784,18221907,2992877,2644747,1296807,566460,781480,7389977,7088608,217193,84176,-841266,14496734,4958299,9538435,15338000,2861097,12476903,71986000,1504931,2.135226673938563,69884113,553446,0.798270197519678
2007:Q3,72540100,30895988,26155096,228645,84890,4427357,10674736,9622301,637959,173595,240881,21103,21272513,18676684,2595829,2677964,1310504,574563,792897,7509704,7205185,218553,85966,-511908,15246110,5262469,9983641,15758018,2943882,12814136,72540100,554100,0.76973284402778,70714572,830459,1.188337402761883
2007:Q4,70933563,30640696,25849141,231664,85949,4473942,10648678,9582699,641944,177108,246927,22230,19783385,18025644,1757741,2709820,1325528,581987,802305,7645091,7335688,221565,87838,-516337,15325752,5247990,10077762,15842089,2953999,12888090,70933563,-1606537,-2.214688638008478,70072390,-642181,-0.908131521786364
2008:Q1,67989606,29914782,25068388,235550,88360,4522484,10388076,9304639,647005,178400,258032,22774,18114237,16780744,1333493,2741892,1338782,588869,814241,7761469,7447208,224438,89823,-953624,14619409,4786880,9832529,15573033,2747026,12826007,67989606,-2943957,-4.150301839076946,68088011,-1984379,-2.831898752370333
2008:Q2,66648502,29277499,24399764,239307,90620,4547808,10177301,9073830,650076,179619,273776,22916,17704109,16782818,921291,2773115,1351116,598471,823528,7858704,7539033,228013,91658,-1165142,14174610,4701709,9472901,15339752,2701219,12638533,66648502,-1341104,-1.972512767430699,66627273,-1460738,-2.145367988831243
2008:Q3,63428352,28799368,23884038,245824,92737,4576769,10113363,9005867,660369,181980,265147,24026,16381180,15165933,1215247,2804447,1363799,609166,831482,8008071,7683214,231659,93198,-2702103,12089237,3636110,8453127,14791340,2490107,12301233,63428352,-3220150,-4.831541555758733,64405469,-2221804,-3.334675875584352
2008:Q4,58142018,28165707,23251457,255120,93873,4565257,9787390,8685887,678864,184486,238153,21785,12728020,12560281,167739,2828699,1375492,619486,833721,8209297,7879493,235688,94116,-3598880,10204045,2748428,7455617,13802925,1929859,11873066,58142018,-5286334,-8.33433926525745,61218223,-3187246,-4.948719728150072
2009:Q1,55439259,27565198,22659028,259994,94896,4551280,9476302,8381710,681265,182854,230472,24653,10745406,11224724,-479318,2834467,1374747,624040,835680,8312996,7981345,236771,94880,-3519763,9542964,2456973,7085991,13062727,1712381,11350346,55439259,-2702759,-4.648547704963979,59485881,-1732342,-2.829781883386699
2009:Q2,56317202,26842555,21934634,263480,96467,4547974,8950439,7863623,681412,182252,223152,21522,12284738,12567626,-282888,2823434,1351998,631507,839929,8270588,7937697,237142,95749,-2876073,10821799,3162209,7659590,13697872,2037931,11659941,56317202,877944,1.583613760148965,59920533,434652,0.73068162530413
2009:Q3,58087091,26341810,21446080,266297,98523,4530910,8633735,7554290,678335,184478,216632,20954,14351850,14135335,216515,2819238,1335145,638235,845858,8224459,7890177,237690,96592,-2304955,12449801,3836151,8613650,14754756,2444023,12310733,58087091,1769889,3.142714049273646,61387031,1466498,2.44740409419951
2009:Q4,58313820,26137874,21207284,268573,101997,4560020,8557003,7480312,671872,187201,217619,23035,14940214,14638853,301361,2838393,1332809,647114,858470,8251840,7915366,238587,97887,-2434539,12615447,3995295,8620152,15049986,2657426,12392560,58313820,226729,0.390326052535172,61699710,312679,0.509356078720168
2010:Q1,58802191,26005866,21082596,268545,104022,4550703,8508762,7430507,667135,187324,223796,23884,15709250,15190714,518536,2863561,1337629,655595,870337,8318093,7979484,239676,98933,-2627226,12973528,4135014,8838514,15600754,2860612,12740142,58802191,488371,0.837487421320397,62827345,1127635,1.827618521720993
2010:Q2,56706463,26033451,21123430,272724,106489,4530808,8764570,7684030,670373,188903,221264,23645,13622270,13481142,141128,2892516,1341355,665657,885504,8401884,8062260,239672,99952,-3031874,12098549,3734612,8363937,15130423,2540483,12589940,56706463,-2095728,-3.56403092339218,62381153,-446192,-0.710187739245363
2010:Q3,58870943,25899330,20992418,278697,107934,4520281,8880291,7784488,676771,189582,229450,24579,15214295,14971554,242741,2921092,1350419,674230,896443,8475573,8135627,239211,100735,-2544217,13740956,4475807,9265149,16285173,2863550,13421623,58870943,2164480,3.816989816757756,64397982,2016829,3.233074542150724
2010:Q4,62789505,25682727,20751371,284783,111132,4535441,8940324,7821754,682380,191819,244372,29197,19030274,18260388,769886,2955761,1360387,684952,910422,8561435,8221208,238497,101730,-2410213,14529818,4900246,9629572,16940031,3213464,13726567,62789505,3918563,6.656191461842209,65958731,1560749,2.423598911881021
2011:Q1,63799054,25444418,20472514,289236,114428,4568240,8969769,7824754,685676,193355,265984,27432,20311292,19350292,961000,2991295,1371908,698775,920612,8656354,8314873,238450,103031,-2601506,15205267,5159980,10045287,17806773,3437937,14368836,63799054,1009549,1.607830457742343,67054060,1095329,1.660627844563424
2011:Q2,63562163,25377692,20356122,295142,117379,4609049,8978059,7824824,692792,194709,265734,27752,20010708,19166034,844674,3017729,1386529,703787,927413,8791535,8448034,239292,104209,-2641312,15467025,5204875,10262150,18108337,3459824,14648513,63562163,-236891,-0.371307723070468,67455321,401262,0.598415234563467
2011:Q3,59021273,25291095,20239548,300705,120213,4630629,8989679,7826044,698719,195978,268938,26440,16690674,16711976,-21302,3044785,1401581,711273,931931,8941439,8595894,240274,105271,-3962838,13617490,4287221,9330269,17580328,3027699,14552629,59021273,-4540890,-7.144013987555292,65688932,-1766389,-2.618605901362188
2011:Q4,60968223,25230261,20155565,307342,122656,4644698,9088301,7910532,706841,197169,273759,27446,18780797,18482187,298610,3061306,1413994,713140,934172,9071229,8723486,241666,106077,-4291117,14064059,4501438,9562621,18355176,3397174,14958002,60968223,1946949,3.298724511177134,66958562,1269630,1.932791101297876
2012:Q1,63149105,25131706,20014446,312101,126119,4679040,9153102,7965407,712846,198855,275994,37054,20905144,20547527,357617,3084073,1421396,720333,942344,9171189,8821998,242181,107010,-4333164,15009038,5005403,10003635,19342202,3845867,15496335,63149105,2180882,3.57707971656355,68963631,2005069,2.994491599174016
2012:Q2,61964876,25305287,20170846,316288,129059,4689094,9231547,8043575,717211,199954,270807,37479,19943115,19891153,51962,3104855,1431495,725248,948112,9279791,8929568,242396,107827,-4937199,14308551,4673015,9635536,19245750,3716431,15529319,61964876,-1184229,-1.875290151748259,68966379,2748,0.003984652960658
2012:Q3,64091940,25601875,20447608,321378,132155,4700734,9446499,8247932,723861,201543,273163,38088,21269502,20954889,314613,3122665,1440464,728522,953679,9359436,9007998,242812,108626,-4746124,15227896,5048350,10179546,19974020,3940042,16033978,64091940,2127065,3.432694455670642,70852762,1886384,2.735222008962622
2012:Q4,65084276,25850576,20662158,326900,134032,4727486,9602256,8397807,731838,201704,270907,37886,21386282,20965029,421253,3126726,1445702,726592,954432,9396049,9043932,242448,109669,-4315499,15710213,5321857,10388356,20025712,3952993,16072719,65084276,992336,1.548300117709369,71910841,1058078,1.493347985376106
2013:Q1,67977964,26341054,21122058,332189,135853,4750954,9726302,8527263,738031,203686,257322,38699,24082840,23193240,889600,3139849,1454095,728422,957332,9468037,9115355,241935,110747,-4818818,16282443,5546349,10736094,21101261,4393282,16707979,67977964,2893688,4.446062531566582,74728120,2817280,3.917739664130731
2013:Q2,69508104,26929718,21698175,336968,138931,4755644,9987012,8774056,744706,207019,261231,39236,25029091,23599946,1429145,3158250,1463189,728822,966239,9548268,9194126,242212,111930,-5183471,16151656,5541381,10610275,21335127,4463414,16871713,69508104,1530140,2.250935130549185,75950976,1222856,1.636406438008611
2013:Q3,72319918,27581921,22329515,341814,141655,4768937,10295394,9065943,751882,210471,267098,36589,26241044,24797041,1444003,3175492,1471315,730329,973848,9632496,9276600,242756,113140,-4643018,17338717,6084914,11253803,21981735,4776194,17205541,72319918,2811815,4.045304640075488,78440558,2489582,3.277879905577189
2013:Q4,74949528,28000840,22729730,346127,145410,4779573,10502549,9254316,757095,214034,277104,40794,28546674,26519473,2027201,3204770,1483146,736230,985394,9738382,9380086,243709,114587,-5084481,17927930,6472877,11455053,23012411,5205378,17807033,74949528,2629610,3.636079609003604,80524705,2084147,2.656976142279825
2014:Q1,76058536,28293558,23011198,349838,147513,4785009,10513850,9242607,764260,217011,289972,42404,29313709,27270097,2043612,3222441,1489725,740087,992629,9812124,9452090,244092,115942,-5139550,18366487,6647696,11718791,23506037,5379704,18126333,76058536,1109008,1.479673427929469,82285740,1761035,2.186950432949906
2014:Q2,77957458,28786550,23473921,354685,148582,4809362,10647281,9365729,772163,218744,290644,43464,30489636,28494595,1995041,3229206,1493397,741271,994538,9878660,9517017,244819,116824,-5117339,19253021,7101816,12151205,24370360,5636133,18734227,77957458,1898922,2.496658142865544,84180632,1894893,2.302820049427893
2014:Q3,77966160,29281790,23932283,359227,150435,4839845,10911119,9618909,779880,221262,291069,44360,30372645,28404658,1967987,3242680,1501730,744038,996912,9950130,9587183,245369,117578,-5836564,18772225,6828948,11943277,24608789,5710229,18898560,77966160,8702,0.011162721528816,84807322,626689,0.74445758425386
2014:Q4,79332479,29649447,24273606,364073,152442,4859326,11169170,9865859,788190,224403,290718,45121,31908540,29673642,2234898,3248706,1504668,746829,997209,9990199,9626575,245574,118050,-6678704,18459514,6770629,11688885,25138218,5920568,19217650,79332479,1366319,1.752450979492241,86525086,1717764,2.025490445051038
2015:Q1,80769536,30153908,24742768,369719,155366,4886055,11383417,10079071,791535,227525,285286,45418,32456159,30185978,2270181,3255800,1506246,748480,1001074,10013384,9649241,246080,118063,-6538549,19115342,7174471,11940871,25653891,5974124,19679767,80769536,1437058,1.811436754055411,88387832,1862747,2.152839879097774
2015:Q2,81612287,30696406,25219516,374739,157189,4944962,11552658,10247069,794118,230068,281402,45459,32453972,30005969,2448003,3250902,1506417,741954,1002531,10099086,9735118,245671,118297,-6486196,19144154,7311250,11832904,25630350,5888594,19741756,81612287,842750,1.043401180820603,89036567,648735,0.733964267695312
2015:Q3,79272890,31189855,25678249,379225,158038,4974343,11677017,10380743,796083,231715,268476,49711,29869896,27832131,2037765,3252903,1507307,743978,1001618,10162042,9797529,245543,118970,-6928533,17766134,6545989,11220145,24694667,5374469,19320198,79272890,-2339396,-2.866475809585691,88085720,-950847,-1.067929157938029
2015:Q4,81327443,31580357,26032033,383812,157478,5007034,11778709,10484989,799692,233254,260774,50404,31631175,29206849,2424326,3251047,1506814,745468,998765,10184515,9819513,245225,119777,-7148764,17967888,6756163,11211725,25116652,5500927,19615725,81327443,2054553,2.591747136297168,89621411,1535691,1.74340535926569
2016:Q1,81453449,31888898,26285334,388643,157772,5057149,11808283,10508731,802119,234019,263414,51637,31682460,29717907,1964553,3249331,1508631,744531,996169,10202544,9835700,245550,121294,-7429704,18076452,6665318,11411134,25506156,5413274,20092882,81453449,126006,0.154936785794178,90775511,1154100,1.287750049966032
2016:Q2,82343887,32505641,26842596,392982,160680,5109383,11985857,10683337,805391,238756,258373,51392,32070184,30161399,1908785,3269918,1521269,746581,1002068,10347401,9977761,246672,122968,-7886507,18258129,6728339,11529790,26144636,5450247,20694389,82343887,890437,1.093185681207252,92136308,1360797,1.499079074354994
2016:Q3,84335216,33177516,27486008,397384,162836,5131288,12263047,10969918,807984,241654,243491,69638,32911859,30934962,1976897,3284824,1531183,749041,1004600,10404180,10032584,247066,124530,-7775848,18938940,7148103,11790837,26714788,5711178,21003610,84335216,1991329,2.418308381747641,94012929,1876621,2.036788028073961
2016:Q4,86386807,33669519,27938243,401925,166844,5162507,12398225,11090429,809275,247767,250754,67741,34327671,31389769,2937902,3305242,1544161,748324,1012757,10511314,10137629,247279,126406,-7892904,18749299,7146320,11602979,26642203,5782680,20859523,86386807,2051592,2.432662980711482,94706911,693983,0.738177732409163
2017:Q1,88938350,34131132,28336935,406578,168642,5218977,12439313,11109449,818316,249776,261772,69518,36036572,33023182,3013390,3323034,1554117,750738,1018179,10629822,10253150,248696,127976,-7691042,20044066,7712310,12331756,27735108,6193511,21541597,88938350,2551542,2.953625067358532,97105547,2398636,2.532693387226128
2017:Q2,90676154,34759458,28935545,409841,171421,5242651,12701978,11363110,821950,253229,263689,68665,36618600,33498185,3120415,3343407,1564003,752283,1027121,10718246,10337871,250409,129966,-7534201,21015417,8206770,12808647,28549618,6315896,22233722,90676154,1737804,1.95394255997354,98841180,1735633,1.787367390389228
2017:Q3,92987927,35360062,29514532,413361,173900,5258269,12904171,11574011,823537,256953,249670,70024,37692745,34361002,3331743,3370017,1577328,755835,1036854,10866430,10483211,251442,131777,-7275522,22231806,8724834,13506972,29507328,6669995,22837333,92987927,2311773,2.549483039109291,100745816,1904636,1.926965983738181
