1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,1350485,501393,361814,2109,404,137066,339980,266070,35501,3535,34874,0,216356,199394,16962,143407,76904,55873,10630,132951,129533,3009,409,16398,37465,1554,35911,21067,4353,16714,1350485,25092,1.89319241947231,1430659,21675,1.538366720211621
1954:Q3,1382638,510852,371385,2121,410,136936,342884,269336,35030,3570,34948,0,233825,217925,15900,146517,77496,58111,10910,132794,129274,3103,417,15766,37742,1708,36034,21976,4804,17172,1382638,32153,2.380837677066176,1466907,36247,2.533617478185032
1954:Q4,1402913,520881,379599,2160,417,138705,344492,271288,35046,3603,34554,0,236920,222701,14219,149640,78848,59577,11215,135157,131514,3217,426,15823,38592,1868,36724,22769,5254,17515,1402913,20275,1.4663949544312,1484111,17204,1.172829166336466
1955:Q1,1416230,527824,384467,2175,424,140758,347466,273935,35016,3738,34778,0,241984,227593,14391,148985,78041,59387,11557,133805,130014,3355,436,16166,38932,1934,36998,22766,5407,17359,1416230,13318,0.949278366448475,1505761,21649,1.458748605582635
1955:Q2,1460098,540614,394908,2226,432,143048,350439,277896,35609,3762,33172,0,264538,251051,13487,151243,78382,60920,11941,136975,133076,3452,447,16289,39825,2168,37657,23536,5981,17555,1460098,43867,3.09747324577715,1540805,35044,2.327327093840682
1955:Q3,1506825,555201,406169,2313,442,146277,355167,282691,36767,3811,31898,0,280627,268205,12422,154398,79613,62415,12370,145248,141151,3637,460,16184,40420,2333,38087,24236,6349,17887,1506825,46727,3.200286291764142,1580120,39315,2.551597309238328
1955:Q4,1538488,565459,414487,2412,455,148105,359452,287208,38013,3850,30381,0,288582,276952,11630,158331,80989,64477,12865,150032,145774,3782,476,16632,41138,2439,38699,24506,6575,17931,1538488,31663,2.101337731817993,1600547,20427,1.29277973448867
1956:Q1,1585800,577339,424188,2484,466,150201,366100,292720,38709,3925,30746,0,307263,295969,11294,162456,82202,66841,13413,155948,151563,3894,491,16694,42233,2642,39591,25539,7074,18465,1585800,47311,3.075182935077005,1643304,42757,2.671369909321963
1956:Q2,1605467,588176,433166,2555,479,151976,372304,297111,39220,3975,31998,0,299171,287975,11196,166558,85212,67331,14015,161766,157406,3855,505,17492,43237,2591,40646,25745,6899,18846,1605467,19668,1.240229394612009,1653447,10143,0.617255727615708
1956:Q3,1626795,599584,440946,2651,491,155496,376785,301342,40009,4047,31387,0,294160,283323,10837,171035,88383,67989,14663,167157,162754,3885,518,18074,44455,2565,41890,26381,6805,19576,1626795,21328,1.328476234229798,1672063,18616,1.125905947069677
