1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q4,167739,32090,977,0,0,292,30821,133502,7158,12071,2740,111533,1194,201,993,938,15,167739,77148,52727,34564,18163,8098,8530,6330,1471,1457,707,0,307,227,1513,0,648,0,3233,3233,0,11673
1963:Q1,159341,31740,1291,0,0,219,30230,125495,7330,12143,2470,103552,1113,225,888,978,15,159341,78347,45910,27771,18139,8646,8408,5972,1473,1230,721,0,311,107,1478,0,652,0,2914,2914,0,9144
1963:Q2,165104,33381,1175,0,0,219,31987,129557,11060,12396,2804,103297,1127,227,900,1023,16,165104,77211,47273,29185,18088,12595,8576,6046,1462,1246,735,0,313,193,1442,0,655,0,3250,3250,0,10153
1963:Q3,163696,32798,1328,0,0,180,31290,128758,8850,11765,2786,105357,1055,203,852,1069,16,163696,79930,47860,29821,18039,10100,7950,6085,1446,1350,752,0,314,147,1405,0,671,0,3169,3169,0,8602
1963:Q4,172925,34890,1241,0,0,216,33433,135811,6548,13195,3064,113004,1097,219,878,1110,17,172925,81977,51445,33427,18018,7671,9466,6222,1432,1466,773,0,313,201,1365,0,672,0,3499,3499,0,12645
1964:Q1,165628,33905,1516,0,0,174,32215,129423,7870,13951,3159,104443,1133,240,893,1150,17,165628,79272,46865,28846,18019,9058,9816,6014,1424,1294,802,0,313,126,1361,0,694,0,3573,3573,0,11030
1964:Q2,170747,34721,1330,0,0,196,33195,133485,10257,12582,3484,107162,1334,244,1090,1189,18,170747,79830,48854,30806,18048,11686,8979,6090,1418,1279,850,0,313,188,1353,0,689,0,3924,3924,0,11384
1964:Q3,172879,34920,1367,0,0,175,33378,135111,9200,12590,3680,109641,1604,297,1307,1226,18,172879,84639,49083,30996,18087,10996,8962,6079,1411,1314,857,0,313,151,1349,0,684,0,4152,4152,0,8968
1964:Q4,181840,36942,1586,0,0,269,35087,141790,6510,13519,3897,117864,1832,292,1540,1257,19,181840,84785,50857,32738,18119,8165,10728,6300,1396,1488,892,0,311,187,1345,0,681,0,8253,4458,3795,12752
1965:Q1,173982,35746,1569,0,0,201,33976,134950,8350,13591,3825,109184,1987,303,1684,1280,19,173982,82442,47544,29399,18145,10202,9817,5918,1380,1286,752,0,311,123,1379,0,687,0,8010,4329,3681,10049
1965:Q2,179426,36375,1419,0,0,214,34742,139887,11796,13385,3740,110966,1852,294,1558,1292,20,179426,82729,48384,30209,18175,13387,9525,5935,1358,1279,728,0,311,150,1411,0,698,0,7984,4248,3736,11482
1965:Q3,177326,36936,1656,0,0,233,35047,137430,7370,13205,3940,112915,1632,287,1345,1308,20,177326,88745,47468,29266,18202,9080,9243,6002,1337,1296,760,0,312,140,1448,0,709,0,8254,4460,3794,8534
1965:Q4,189131,38834,1428,0,0,201,37205,147271,5525,14244,4065,123437,1661,317,1344,1344,21,189131,91520,51276,33053,18223,6750,10151,6454,1321,1503,941,0,317,172,1489,0,711,0,8509,4583,3926,14471
1966:Q1,180270,37786,1486,0,0,341,35959,139414,5120,14692,3950,115652,1649,316,1333,1399,22,180270,89949,46170,27944,18226,6716,10473,6074,1318,1073,957,0,325,143,1528,0,730,0,8594,4607,3987,12294
1966:Q2,188986,39651,1815,0,0,516,37320,145885,10997,14931,3797,116160,1956,337,1619,1472,22,188986,88870,46966,28747,18219,13162,10625,6053,1324,1097,791,0,335,201,1559,0,746,0,8713,4650,4063,14597
1966:Q3,182594,39805,2404,0,0,393,37008,139268,6000,13966,4025,115277,1948,333,1615,1550,23,182594,91803,45828,27617,18211,8758,9614,6050,1331,1159,719,0,349,143,1585,0,764,0,8868,4751,4117,11673
1966:Q4,193589,41210,1592,0,0,405,39213,148892,4992,15047,4251,124602,1844,307,1537,1620,23,193589,93353,50584,32371,18213,6370,10691,6564,1329,1547,758,0,368,175,1603,0,784,0,9225,4963,4262,16802
1967:Q1,185764,40151,2012,0,0,384,37755,142116,5520,14627,4150,117819,1780,299,1481,1693,24,185764,92714,47501,29265,18236,7334,10771,6465,1321,1308,824,0,407,140,1619,0,846,0,9130,4833,4297,11849
1967:Q2,191704,43032,2783,0,0,402,39847,144689,5152,15207,4066,120264,2188,315,1873,1771,24,191704,93542,49438,31172,18266,8451,10821,6619,1305,1384,839,0,415,130,1634,0,912,0,9121,4783,4338,13712
1967:Q3,194463,41519,2234,0,0,428,38857,148972,7022,14283,4300,123367,2100,328,1772,1847,25,194463,97391,50599,32297,18302,8428,10659,6710,1291,1431,882,0,381,120,1655,0,950,0,9447,5056,4391,11229
1967:Q4,208909,44099,2467,0,0,396,41236,160896,5234,15564,4562,135536,1974,332,1642,1914,26,208909,103731,53161,34817,18344,7525,11427,6903,1285,1576,894,0,303,178,1677,0,990,0,9787,5290,4497,16375
1968:Q1,197643,42559,2096,0,0,448,40015,150756,5320,15716,4480,125240,2333,372,1961,1969,26,197643,99805,51582,33207,18375,6850,10738,6643,1297,1164,871,0,365,125,1697,0,1124,0,9801,5300,4501,12224
1968:Q2,204932,44793,1912,0,0,431,42450,155115,4970,16284,4402,129459,3007,435,2572,1990,27,204932,101539,53418,35000,18418,6502,11587,7033,1324,1225,950,0,403,148,1709,0,1274,0,9824,5268,4556,15029
1968:Q3,208196,43923,1824,0,0,403,41696,160116,9040,14479,4600,131997,2094,546,1548,2036,27,208196,105852,53308,34846,18462,9687,9722,7464,1351,1434,983,0,429,151,1718,0,1398,0,10175,5549,4626,11988
1968:Q4,224018,45642,1398,0,0,477,43767,173076,5010,16876,4836,146354,3105,538,2567,2166,29,224018,112659,56030,37531,18499,5119,10766,7817,1362,1682,1015,0,377,181,1735,0,1465,0,10637,5851,4786,20990
1969:Q1,210242,44672,1217,0,0,404,43051,158410,5510,16681,4825,131394,4940,566,4374,2191,29,210242,105257,55280,36754,18526,5837,10527,7640,1361,1347,1005,0,497,194,1749,0,1487,0,10605,5795,4810,15096
1969:Q2,219617,46969,1891,0,0,419,44659,165339,5639,16930,4814,137956,5048,554,4494,2231,30,219617,106702,59098,40552,18546,7073,10747,7341,1347,1217,1009,0,315,216,1767,0,1470,0,10717,5787,4930,17939
1969:Q3,216516,46637,1885,0,0,410,44342,162251,7610,16505,5000,133136,5326,590,4736,2271,31,216516,105362,59656,41094,18562,7781,10300,7558,1331,1279,1004,0,329,394,1794,0,1427,0,11030,6000,5030,14829
1969:Q4,232072,48911,1969,0,0,377,46565,177739,5054,17558,5205,149922,3093,593,2500,2297,32,232072,110925,61700,43122,18578,6915,12645,7726,1321,1634,1024,0,309,230,1822,0,1386,0,11454,6175,5279,20707
1970:Q1,218688,48129,2060,0,0,456,45613,161062,6140,16445,5225,133252,7045,594,6451,2419,33,218688,106909,59297,40690,18607,8475,11529,7415,1338,1477,1029,0,236,160,1853,0,1322,0,11601,6275,5326,13462
1970:Q2,226812,49115,1444,0,0,410,47261,168495,8076,17061,5238,138120,6663,598,6065,2505,34,226812,113195,58026,39393,18633,10152,12140,7267,1372,1381,918,0,306,173,1892,0,1225,0,11692,6246,5446,14340
1970:Q3,227870,49585,1685,0,0,365,47535,167739,8470,16137,5500,137632,7940,609,7331,2572,34,227870,117103,59171,40512,18659,10612,9980,7392,1408,1430,1028,0,274,180,1941,0,1131,0,12029,6474,5555,11583
1970:Q4,244823,51979,1587,0,0,346,50046,182893,7938,17763,5729,151463,7273,621,6652,2642,36,244823,118500,62746,44059,18687,9809,11678,7947,1432,1758,1106,0,388,193,1997,0,1073,0,12439,6696,5743,21704
1971:Q1,230658,50819,1341,0,0,404,49074,168336,4520,16697,5425,141694,8853,615,8238,2612,38,230658,118783,58670,39955,18715,6641,11873,7855,1455,1549,1199,0,352,206,2054,0,1040,0,12260,6444,5816,14576
1971:Q2,245007,52859,1728,0,0,372,50759,179071,8412,17276,5098,148285,10450,699,9751,2587,40,245007,124397,59418,40676,18742,10810,12293,7938,1476,1482,1205,0,420,188,2108,0,1059,0,12153,6169,5984,17998
