1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000:Q3,1200267,543423,8643,51,459,152,534118,589780,39333,43020,26413,481014,8039,5087,2952,8125,50900,1200267,387551,401411,217524,183887,55735,43020,80234,3530,3363,9472,0,12556,1503,22878,3770,20781,2381,231468,31652,199816,849
2000:Q4,1219297,556890,5599,1249,510,229,549303,593984,16384,47635,25052,504913,8740,5640,3100,8431,51252,1219297,396732,404861,223882,180979,24271,47635,95106,4170,4682,10707,0,9935,4412,23722,4386,30329,2763,236327,30921,205406,14365
2001:Q1,1201259,556697,6135,116,510,83,549853,572712,23878,43639,23008,482187,8235,5464,2771,8415,55200,1201259,420312,346891,160695,186196,30666,43639,113041,11089,17533,9507,0,8313,4482,24256,4144,30954,2763,234884,28555,206329,11826
2001:Q2,1231749,567898,7632,138,510,115,559503,592806,37699,47439,26686,480982,8072,2877,5195,8766,54207,1231749,397299,356031,165876,190155,48951,47439,132267,12333,23944,9648,0,13291,5239,23270,4713,37066,2763,237780,29678,208102,11982
2001:Q3,1257043,586769,10218,63,510,622,575356,597433,36353,46638,26234,488208,8503,2767,5736,8766,55572,1257043,395881,351270,163418,187852,50562,46638,161359,14239,29528,9786,0,13369,8357,24147,5443,53727,2763,247218,29623,217595,4115
2001:Q4,1361371,604337,7070,693,529,74,595971,681677,47459,53127,22592,558499,9095,3248,5847,11528,54734,1361371,475262,351533,169760,181773,66852,53127,155605,13733,36444,9898,0,11448,6667,23034,5492,47120,1769,255114,25914,229200,3878
2002:Q1,1264382,613929,6104,74,529,267,606955,577779,9510,52381,21407,494481,8094,2766,5328,11227,53353,1264382,414592,357639,175170,182469,25212,52381,154983,17635,34607,9904,0,12126,7212,22532,6144,43054,1769,257277,24440,232837,2298
2002:Q2,1302565,630578,8511,84,529,103,621351,590861,37122,54974,22119,476646,7456,2025,5431,13270,60400,1302565,407324,357622,174475,183147,53502,54974,157649,17910,34086,9972,0,10195,8561,23073,6393,45690,1769,264296,24247,240049,7198
2002:Q3,1328120,631268,8259,84,529,164,622232,617416,54582,54539,21744,486551,7543,2030,5513,12174,59719,1328120,408868,352708,168888,183820,77651,54539,176618,26319,43080,10054,0,10996,13181,24183,6576,40460,1769,265093,23938,241155,-7357
2002:Q4,1353923,646657,4787,1052,972,146,639700,627957,31065,59768,22302,514822,8444,2885,5559,10401,60464,1353923,451266,341562,157070,184492,47703,59768,176592,26671,34594,10118,0,13425,14756,25201,5396,44217,2214,273394,25333,248061,3638
2003:Q1,1336997,655698,7119,81,972,267,647259,596706,8528,57743,-434,530869,7951,2269,5682,10842,65800,1336997,445388,352901,166878,186023,23346,57743,199987,30958,43209,10180,0,15324,21107,26226,6593,44176,2214,253954,2102,251852,3678
2003:Q2,1394759,663035,7304,67,972,917,653775,643449,26680,59731,230,556808,9599,2572,7027,12014,66662,1394759,454972,372703,185161,187542,41852,59731,204621,37113,43887,10226,1,13531,19251,28155,6664,43579,2214,254033,3719,250314,6847
2003:Q3,1377380,666482,7565,87,972,96,657762,625406,29839,59668,-23,535922,9086,2279,6807,11342,65064,1377380,414001,392978,203913,189065,53292,59668,211755,36181,46317,10263,1,13335,20287,30386,8914,43857,2214,254277,2352,251925,-8591
2003:Q4,1438299,683908,6044,578,874,176,676236,666445,30154,67556,1536,567199,9541,2535,7006,11915,66490,1438299,444530,386964,196383,190581,54308,67556,224713,35553,46898,10294,37,17579,28778,27069,9173,47162,2170,262899,4247,258652,-2671
2004:Q1,1435458,682495,6250,95,874,97,675179,661148,17524,66401,4298,572925,9027,2776,6251,12575,70213,1435458,430883,414400,213280,201120,22675,66401,231463,32101,45460,10303,72,22554,29027,26569,10245,52962,2170,262881,7171,255710,6755
2004:Q2,1474835,697438,6335,100,874,293,689836,686097,40545,61668,5949,577935,8569,2353,6216,12953,69778,1474835,406340,447908,236337,211571,46845,61668,233270,32091,50112,10331,108,19657,28119,25546,11708,53428,2170,272843,8595,264248,5961
2004:Q3,1464008,703750,6278,103,874,142,696353,667910,32254,59750,6140,569766,8755,2213,6542,13087,70506,1464008,389994,465719,253685,212034,35405,59750,227886,35356,50312,10363,144,20715,19949,25974,9823,53080,2170,276416,8495,267921,8838
2004:Q4,1523673,721658,6182,1142,890,95,713349,705685,26919,63243,11217,604306,8722,2021,6701,13497,74111,1523673,443775,444307,226807,217500,22176,63243,248407,26825,50941,10400,212,17527,39135,26278,12222,62881,1986,285286,13333,271953,16479
2005:Q1,1500445,719145,5503,90,890,153,712509,679041,20235,71155,9745,577906,11295,5150,6145,13504,77460,1500445,437811,441874,225233,216641,20806,71155,232870,24940,45350,10443,281,16917,33325,25476,13320,60832,1986,285292,15048,270244,10637
2005:Q2,1515447,725127,4610,111,890,117,719399,690863,30598,71509,16542,572214,8318,2087,6231,14322,76817,1515447,398581,483942,268152,215790,33467,71509,231246,24147,51107,10489,349,17480,26442,25921,14373,58952,1986,288794,18746,270048,7908
2005:Q3,1482662,731051,4618,107,890,115,725321,649792,32975,63795,18069,534953,8833,2306,6527,13122,79864,1482662,342436,519692,304724,214968,34784,63795,220036,23919,52796,10566,417,15516,20523,20960,15625,57728,1986,292819,20490,272329,9100
2005:Q4,1528157,751774,4775,2019,952,95,743933,672735,33886,72298,17389,549162,9264,2265,6999,13314,81070,1528157,355255,551048,326889,224159,37049,72298,203771,21894,47444,10652,445,17902,14603,17409,13583,56460,3379,300149,19749,280400,8587
2006:Q1,1508775,755541,5664,76,952,98,748751,647660,4234,70502,16597,556327,8939,2068,6871,13637,82998,1508775,357368,538594,305782,232812,8624,70502,227155,29542,49620,16073,473,17113,16483,17148,14803,62521,3379,299198,18763,280435,7334
2006:Q2,1537834,761429,5699,87,952,156,754535,670918,41495,69509,21717,538197,9291,2171,7120,13468,82728,1537834,341372,510633,269150,241483,45946,69509,260456,37561,50289,16494,501,16516,30929,16237,13897,74653,3379,302134,24044,278090,7784
2006:Q3,1492065,757267,5601,94,952,112,750508,639063,48309,68122,23006,499626,8259,1945,6314,12605,74871,1492065,300496,515062,264911,250151,51476,68122,247590,42328,50925,16915,528,16261,15589,15695,16192,69778,3379,300832,25063,275769,8487
2006:Q4,1508270,775360,4960,812,1011,113,768464,637052,28025,74976,26761,507290,9260,2061,7199,13988,72610,1508270,317815,508026,249199,258827,33195,74976,256014,30927,56046,17336,515,16276,16374,15808,18448,80480,3804,311562,28935,282627,6682
2007:Q1,1487505,770344,4546,276,1011,104,764407,617459,3862,71211,28161,514225,10452,2005,8447,13105,76145,1487505,330261,501719,236165,265554,7377,71211,263619,32752,59169,17639,501,15020,15078,16176,21621,81859,3804,306732,30270,276462,6586
2007:Q2,1484020,775895,4955,376,1011,211,769342,607635,22246,64678,31251,489460,12802,2955,9847,13542,74146,1484020,254308,549057,276781,272276,28362,64678,273576,34069,57161,17942,488,16243,19000,16418,18626,89825,3804,309244,34417,274827,4795
2007:Q3,1484055,776506,5875,367,1011,128,769125,613947,71816,64270,29154,448707,9787,2231,7556,13281,70534,1484055,159048,584384,305384,279000,77247,64270,285906,46291,63917,18245,474,13612,17998,16759,18511,86295,3804,306995,31513,275482,6205
2007:Q4,1535419,794601,16379,1939,2231,111,773941,639587,42912,75023,31742,489910,11829,2322,9507,15692,73710,1535419,210001,586294,300583,285711,56501,75023,291931,43881,59044,18546,507,13727,13654,16194,16635,104980,4763,306127,34175,271952,9542
2008:Q1,1524143,778297,5883,281,2231,113,769789,636895,42925,69948,29489,494533,14888,7672,7216,15276,78787,1524143,222469,558416,281716,276700,42885,69948,315480,43035,64138,17130,540,15730,11383,16964,19419,122378,4763,302476,37274,265202,12469
2008:Q2,1536406,788696,5257,330,2231,226,780652,640788,50217,69776,27651,493144,14109,5816,8293,15801,77012,1536406,207758,537353,269689,267664,53267,69776,360707,41670,73241,15714,573,15709,58542,16914,17976,115605,4763,299125,33693,265432,8420
2008:Q3,1950104,1157530,332749,32151,2231,131,790268,690193,41454,69379,39261,540099,12341,3436,8905,15517,74523,1950104,226385,510361,251762,258599,372655,69379,450433,44455,75632,14297,605,15462,94445,16682,22158,161934,4763,314105,42828,271277,6786
2008:Q4,2173862,1292881,365707,89291,4330,1380,832173,777518,3453,83394,62923,627748,13538,4691,8847,14606,75319,2173862,485555,415778,166276,249502,369385,83394,445374,28975,84957,12881,808,19307,135814,16452,18429,120078,7673,370133,68994,301139,4243
2009:Q1,2017079,1193215,267395,66401,4855,1154,853410,714341,4303,78238,45322,586478,13786,4445,9341,14946,80791,2017079,466863,423805,180563,243242,272199,78238,408689,26914,72127,12239,1010,21909,126391,17079,19658,103164,8198,363876,50921,312955,3409
2009:Q2,2133786,1248049,316241,65067,6394,1764,858583,774694,4038,102945,42969,624742,14976,4597,10379,15582,80485,2133786,512765,427912,190970,236942,319388,102945,405985,34855,67210,11597,1213,21968,125159,17511,24707,92028,9737,360350,49330,311020,4441
2009:Q3,2079247,1173622,273562,28621,6475,1918,863046,795782,3701,88953,33722,669406,14829,9890,4939,15760,79254,2079247,481372,504601,273960,230641,275039,88953,363927,34515,65377,10954,1415,24171,87525,17096,31123,81933,9818,360729,45530,315199,4626
2009:Q4,2127147,1136476,191872,59406,9446,2425,873327,871553,3789,102593,34264,730907,16126,10493,5633,16050,86942,2127147,535196,564989,340597,224392,193921,102593,364725,28604,51687,10312,1216,23633,99406,16987,30853,90721,11306,360953,47182,313771,4770
2010:Q1,2086612,1140048,216721,29082,9775,1683,882787,825454,4113,98762,35280,687299,16371,10851,5520,16214,88525,2086612,437635,604711,391014,213697,219689,98762,358531,29224,48764,10845,1016,24218,99015,15877,27760,90177,11635,363850,47814,316036,3434
2010:Q2,2202995,1237697,287813,44509,12802,1229,891344,843883,3234,99298,37057,704294,16429,10532,5897,16741,88245,2202995,455888,610304,407275,203029,291859,99298,376895,38084,58880,11377,816,25344,99106,16140,26414,86072,14662,366954,48818,318136,1797
2010:Q3,2198602,1236188,308087,8855,12558,2487,904201,838480,3616,98641,32130,704093,18537,11941,6596,16908,88489,2198602,422781,659165,466778,192387,310379,98641,328230,40332,60654,11910,617,22747,47321,15528,25180,89523,14418,375208,46558,328650,4198
2010:Q4,2374739,1302763,340914,17152,11317,3352,930028,941100,3640,108787,30449,798224,21858,14559,7299,16581,92437,2374739,527394,652095,470374,181721,342322,108787,348882,33666,52903,12442,600,23828,63364,26534,25121,96923,13501,390450,48360,342090,4809
2011:Q1,2216487,1101923,116412,22448,10918,141,952004,977994,3635,108180,43324,822855,20747,13177,7570,17136,98687,2216487,609137,608738,430830,177908,118683,108180,356391,34811,48401,13815,583,26194,70422,28994,31308,88761,13102,411308,56642,354666,4050
2011:Q2,2350441,1152309,135277,30545,12583,378,973526,1059726,3715,113287,46470,896254,23200,15349,7851,18119,97087,2350441,603167,694017,519931,174086,136704,113287,367264,36548,49733,15187,566,26456,62253,31732,24612,105410,14767,430852,62197,368655,5150
2011:Q3,2420241,1107384,56408,58304,3073,2643,986956,1154553,2963,112743,51400,987447,38212,17758,20454,18002,102090,2420241,735796,688165,517923,170242,58858,112743,370764,26566,59391,16559,549,25234,63671,33739,28744,111054,5257,450070,71801,378269,3845
2011:Q4,2617259,1188626,85865,84140,3449,153,1015019,1260542,956,125771,56052,1077763,45590,18991,26599,19374,103127,2617259,817139,732212,565836,166376,84558,125771,379512,25920,61743,17932,532,23884,72669,31664,27622,111849,5697,472282,75196,397086,5785
2012:Q1,2526452,1133687,43630,44323,3449,155,1042130,1212211,1275,122903,51125,1036908,46683,20472,26211,19758,114113,2526452,839269,663160,491896,171264,42306,122903,365468,31693,60290,17442,515,25982,42469,31267,32746,117367,5697,486895,71752,415143,6451
2012:Q2,2602066,1185865,91536,34008,3449,1608,1055264,1229133,1212,121246,49427,1057248,51931,22905,29026,22437,112700,2602066,794735,728446,552325,176121,89511,121246,364768,31636,64169,16953,499,27367,52916,28589,31761,105181,5697,496199,73940,422259,7161
2012:Q3,2645072,1192726,85568,25992,3449,5652,1072065,1262226,1040,115903,50437,1094846,57485,24962,32523,20709,111926,2645072,792968,761804,580849,180955,83569,115903,364307,35435,60911,16464,482,28894,36147,30796,35992,113489,5697,519466,81051,438415,7055
2012:Q4,2875533,1245515,92870,45228,2871,6455,1098091,1432680,1345,122075,51938,1257322,61794,27949,33845,21676,113868,2875533,924758,791365,605603,185762,92159,122075,397644,38397,63254,15975,497,29821,52582,27843,35293,128190,5792,540569,86342,454227,6963
2013:Q1,2894900,1238552,79383,29775,2871,9213,1117310,1438178,1514,119575,42585,1274504,71772,32251,39521,21872,124526,2894900,971593,778777,600003,178774,79581,119575,397509,34193,63776,15877,513,30581,64110,30176,40857,111634,5792,543233,84049,459184,4632
2013:Q2,2900708,1311222,134979,29743,2871,10050,1133579,1372665,1291,116830,41496,1213048,72432,31300,41132,22729,121660,2900708,994375,718165,546387,171778,135382,116830,379499,33286,53533,15781,529,28960,51730,30007,38124,121757,5792,551516,82846,468670,4941
2013:Q3,2963150,1302819,88553,57563,2871,8965,1144867,1429923,1274,120187,49539,1258923,86949,34211,52738,24147,119312,2963150,1004399,755087,580355,174732,88643,120187,415055,32850,61667,15684,544,30006,77358,34180,40177,116797,5792,574049,92715,481334,5730
2013:Q4,3231476,1412763,162633,71082,3437,7997,1167614,1579990,1627,128941,51171,1398251,92514,40221,52293,24484,121725,3231476,1116291,825377,647694,177683,163029,128941,401557,31647,54835,15587,635,33778,81607,32062,34268,111720,5418,591329,99389,491940,4952
2014:Q1,3204962,1380705,142468,23716,3437,7003,1204081,1558896,1708,125916,52881,1378391,109858,44317,65541,23613,131890,3204962,1143700,789487,594475,195012,142571,125916,375960,35700,60980,16400,726,32899,45420,32872,33329,112216,5418,621310,104201,517109,6018
2014:Q2,3319104,1393771,139445,27344,3437,5970,1217575,1653758,1824,125956,55464,1470514,117083,52936,64147,24919,129573,3319104,1155753,863892,651580,212312,139261,125956,389608,36761,59803,17214,816,31555,49318,32325,37995,114345,9476,638009,114370,523639,6625
2014:Q3,3413724,1468791,158461,75904,3437,5259,1225730,1669504,2080,128429,51789,1487206,122886,54864,68022,24104,128439,3413724,1130174,912723,683072,229651,160162,128429,436709,37811,62932,18027,907,32217,89298,31115,38143,116708,9551,641614,111912,529702,3913
2014:Q4,3559045,1541544,223653,41990,3352,5259,1267290,1716133,2489,145725,54811,1513108,137556,55898,81658,29897,133915,3559045,1086051,1011521,764448,247073,226346,145725,411974,37723,60407,18841,902,36022,64959,31894,38543,111762,10921,674173,115968,558205,3255
2015:Q1,3482964,1431513,100280,31118,3620,5246,1291249,1730298,2452,135177,54196,1538473,149197,61710,87487,29317,142639,3482964,1178456,964977,716146,248831,104427,135177,407231,37746,60425,19081,896,36450,53406,32054,38592,117661,10920,690865,121152,569713,1831
2015:Q2,3685953,1599094,254442,35039,3946,5264,1300403,1753870,2295,139017,49812,1562746,160928,63748,97180,32116,139945,3685953,1249814,959273,708602,250671,258526,139017,389585,32414,52405,19320,891,41152,41144,32943,34688,114093,20535,687913,118824,569089,1825
2015:Q3,3592636,1572933,198907,35663,12107,6246,1320010,1694474,2283,135875,39547,1516769,152811,64811,88000,31708,140710,3592636,1115283,1030355,777792,252563,202597,135875,413908,36509,63443,19560,886,38799,47366,33793,38839,115552,19161,693057,110604,582453,1561
2015:Q4,3852747,1732748,333713,31580,11410,5246,1350799,1787074,2334,137086,44449,1603205,148195,60552,87643,31358,153372,3852747,1200274,1068272,813814,254458,338078,137086,401027,34923,70268,19799,861,38737,40957,30406,35665,106076,23335,706822,110247,596575,1188
2016:Q1,3878160,1736701,314048,26317,17802,5215,1373319,1778736,2216,137982,50098,1588440,171887,62827,109060,34726,156110,3878160,1281061,999151,732226,266925,317571,137982,413409,33464,69647,19123,836,36961,34663,34383,37502,110885,35945,727293,118140,609153,1693
2016:Q2,4012843,1815149,363733,34751,20697,5225,1390743,1815014,2126,136399,49603,1626886,192819,69908,122911,33768,156093,4012843,1241243,1075900,799146,276754,366932,136399,449150,37474,91668,18447,812,40473,43566,23174,40684,113972,38880,741073,124736,616337,2146
2016:Q3,4022589,1807320,353453,24625,18675,5196,1405371,1852698,2063,138219,54951,1657465,172780,64811,107969,34818,154973,4022589,1130485,1209673,930815,278858,355655,138219,435982,29425,86156,17771,787,38352,39678,21573,40106,124060,38074,749237,124958,624279,3338
2016:Q4,4122995,1896419,399356,31330,27065,5198,1433470,1879658,2211,143016,57249,1677182,152692,65555,87137,37096,157130,4122995,1131126,1247154,967887,279267,404037,143016,429409,27610,73484,17095,846,40613,48755,20758,37672,119201,43375,766888,128002,638886,1365
2017:Q1,3998099,1652291,92472,24013,64784,5195,1465827,1968820,2202,143156,59421,1764041,171605,70454,101151,38257,167126,3998099,1302995,1196928,911250,285678,96826,143156,462316,28566,74596,18269,906,34988,41829,19002,42607,126949,74604,794720,135070,659650,1158
2017:Q2,4141568,1764350,181304,15369,71359,5196,1491122,1990281,1994,140698,57925,1789664,178248,74245,104003,39358,169331,4141568,1292908,1252201,959748,292453,184751,140698,456057,28673,82728,19442,965,30407,33029,18354,40013,120284,82162,812846,137366,675480,2107
2017:Q3,4085870,1763742,159519,17423,70869,5195,1510736,1943711,2033,134379,70021,1737278,174091,67726,106365,35544,168782,4085870,1201577,1272378,973152,299226,162903,134379,478170,38614,83166,20615,1025,31050,37746,17732,47117,119526,81579,834272,142942,691330,2191
2017:Q4,4268349,1858153,229147,17232,65654,5288,1540832,2015371,1880,140552,59388,1813551,185023,75191,109832,37376,172426,4268349,1308166,1257720,951711,306009,231954,140552,478295,31881,91082,21788,975,30212,49435,18613,40764,118959,74586,848459,139867,708592,3203
2018:Q1,4426541,1951440,289967,19651,68060,5283,1568479,2071855,2201,140095,69722,1859837,179322,75846,103476,38843,185081,4426541,1406362,1256289,947420,308869,291767,140095,452138,33196,85865,20533,924,30629,23614,17322,36275,124613,79167,876413,150851,725562,3477
2018:Q2,4397673,2010788,333003,16166,59758,5331,1596530,1982077,2225,134532,76502,1768818,179879,71632,108247,41689,183240,4397673,1271155,1303831,992083,311748,336633,134532,450729,39875,92722,19279,874,30321,30951,13597,34865,115342,72903,898418,153465,744953,2375
2018:Q3,4419017,2079766,384927,14938,57194,5285,1617422,1928923,1769,127840,77900,1721414,189667,72749,116918,41023,179638,4419017,1089445,1450955,1136334,314621,388391,127840,439681,32680,81931,18025,824,29959,37179,15085,39247,112503,72248,920493,155934,764559,2212
2018:Q4,4583737,2117623,402352,10471,62305,5275,1637220,2053668,1751,132916,74350,1844651,177784,74443,103341,40894,193768,4583737,1150748,1507183,1189690,317493,405904,132916,456822,30191,90675,16770,784,28559,36795,14265,35997,126243,76543,927991,154068,773923,2173
2019:Q1,4471452,2054426,334348,6781,54278,5272,1653747,1992331,1618,131317,73564,1785832,190626,72255,118371,41010,193059,4471452,1229992,1420218,1097862,322356,337874,131317,419920,32260,89278,18604,745,19405,35884,13703,35100,108791,66150,930263,151091,779172,1868
2019:Q2,4461934,2001399,263893,7695,52985,5274,1671552,2027156,1592,128994,86975,1809595,197232,69959,127273,43347,192800,4461934,1109635,1544797,1217901,326896,266995,128994,458208,40996,96218,20437,706,24244,36402,13507,40685,118901,66112,950736,162208,788528,2569
2019:Q3,4670431,2154009,382663,8523,65499,5216,1692108,2071963,1978,128608,84665,1856712,193870,71942,121928,46748,203841,4670431,906438,1780889,1448140,332749,386029,128608,495957,45457,105769,22270,666,29927,34309,12802,48049,119011,77697,969461,161823,807638,3049
2019:Q4,4855981,2207264,404024,12537,61242,5212,1724249,2191467,1635,139075,78946,1971811,199389,77640,121749,45714,212147,4855981,1163312,1677831,1339891,337940,407211,139075,479643,47594,94683,24103,706,22084,34640,12249,44941,125234,73409,987015,161798,825217,1894
2020:Q1,5771802,2593151,515585,121143,159331,17425,1779667,2649721,1679,142313,91005,2414724,251431,100164,151267,46548,230951,5771802,1278447,1954640,1559938,394702,518948,142313,816238,44154,143593,26817,745,21592,142002,16484,85001,161986,173864,1059825,208594,851231,1391
2020:Q2,7671292,3792081,1722098,43087,132568,16253,1878075,3303356,1904,167254,70548,3063650,256110,106003,150107,54393,265352,7671292,1534646,2455972,2014005,441967,1725416,167254,712462,54480,148518,28383,784,20006,71071,20748,79460,138968,150044,1073434,192804,880630,2108
2020:Q3,7926851,3914554,1781704,26625,144803,18946,1942476,3416370,2447,178084,62955,3172884,265790,107301,158489,56457,273680,7926851,1648250,2543280,2104418,438862,1784872,178084,663041,46265,132055,30162,823,21168,57634,17017,68008,133937,155972,1106693,189202,917491,2631
2020:Q4,9128629,3945690,1728597,51032,154249,21867,1989945,4572757,2691,229884,61872,4278310,256339,112800,143539,56720,297123,9128629,2862977,2442501,2005218,437283,1732079,229884,715261,50151,127664,31603,862,28041,92452,16420,62074,138428,167566,1143081,196539,946542,2846
2021:Q1,9036193,3521712,1122040,134070,185811,33238,2046553,4804138,2435,248853,58600,4494250,306782,119626,187156,62495,341066,9036193,3238270,2446617,1986248,460369,1117106,248853,806411,57484,121253,32062,902,24842,153876,15749,61201,136850,202192,1168098,211464,956634,10838
2021:Q2,9128378,3178165,851970,28619,201142,5285,2091149,5235983,4459,296575,76192,4858757,296010,132093,163917,69280,348940,9128378,3601399,2438057,1963441,474616,855708,296575,749448,53994,140228,33269,941,25954,68603,16279,62827,132606,214747,1182854,213570,969284,4337
2021:Q3,8847716,2571415,215211,33160,209470,5737,2107837,5544563,3648,318457,77686,5144772,304859,124131,180728,65864,361015,8847716,3722908,2598197,2104919,493278,219111,318457,801375,63487,138432,34388,980,34173,86377,16537,64038,137145,225818,1184159,207554,976605,3509
2021:Q4,9360795,2817780,406173,33912,221881,9361,2146453,5821345,2550,345612,77691,5395492,282045,122513,159532,64005,375620,9360795,4064000,2540834,2014330,526504,409965,345612,794222,64541,141385,35075,1019,37417,63055,15598,60302,136311,239519,1204454,209565,994889,1709
