date,Closed-end funds; total financial assets,Closed-end funds; debt securities; asset,Closed-end funds; Treasury securities; asset,Closed-end funds; municipal securities; asset,Closed-end funds; corporate and foreign bonds; asset,Closed-end funds; corporate equities; asset,Closed-end funds; total financial assets,Closed-end funds; total financial assets in domestic equity funds,Closed-end funds; total financial assets in world equity funds,Closed-end funds; total financial assets in domestic taxable bond funds,Closed-end funds; total financial assets in municipal bond funds,Closed-end funds; total financial assets in world bond funds
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1975:Q4,-942,14,3,0,11,-956,-942,ND,ND,ND,ND,ND
1976:Q1,252,125,8,0,117,127,252,ND,ND,ND,ND,ND
1976:Q2,-386,75,17,0,58,-461,-386,ND,ND,ND,ND,ND
1976:Q3,-257,52,11,0,41,-309,-257,ND,ND,ND,ND,ND
1976:Q4,-393,-30,-6,0,-24,-363,-393,ND,ND,ND,ND,ND
1977:Q1,-268,-125,-28,0,-97,-143,-268,ND,ND,ND,ND,ND
1977:Q2,-349,-232,-52,0,-180,-117,-349,ND,ND,ND,ND,ND
1977:Q3,-494,-228,-50,0,-178,-266,-494,ND,ND,ND,ND,ND
1977:Q4,-321,-116,-26,0,-90,-205,-321,ND,ND,ND,ND,ND
1978:Q1,-99,66,-2,0,68,-165,-99,ND,ND,ND,ND,ND
1978:Q2,-87,91,20,0,71,-178,-87,ND,ND,ND,ND,ND
1978:Q3,-61,112,24,0,88,-173,-61,ND,ND,ND,ND,ND
1978:Q4,757,51,11,0,40,706,757,ND,ND,ND,ND,ND
1979:Q1,-295,87,1,0,86,-382,-295,ND,ND,ND,ND,ND
1979:Q2,-143,-26,-5,0,-21,-117,-143,ND,ND,ND,ND,ND
1979:Q3,-463,-34,-7,0,-27,-429,-463,ND,ND,ND,ND,ND
1979:Q4,69,-16,-4,0,-12,85,69,ND,ND,ND,ND,ND
1980:Q1,-239,4,1,0,3,-243,-239,ND,ND,ND,ND,ND
1980:Q2,-624,24,5,0,19,-648,-624,ND,ND,ND,ND,ND
1980:Q3,-484,16,4,0,12,-500,-484,ND,ND,ND,ND,ND
1980:Q4,135,-19,-4,0,-15,154,135,ND,ND,ND,ND,ND
1981:Q1,215,172,-13,0,185,43,215,ND,ND,ND,ND,ND
1981:Q2,-140,-118,-23,0,-95,-22,-140,ND,ND,ND,ND,ND
1981:Q3,-186,-112,-22,0,-90,-74,-186,ND,ND,ND,ND,ND
1981:Q4,-354,-54,-11,0,-43,-300,-354,ND,ND,ND,ND,ND
1982:Q1,254,289,2,0,287,-35,254,ND,ND,ND,ND,ND
1982:Q2,-14,67,11,0,56,-81,-14,ND,ND,ND,ND,ND
1982:Q3,-188,78,14,0,64,-266,-188,ND,ND,ND,ND,ND
1982:Q4,-255,38,7,0,31,-293,-255,ND,ND,ND,ND,ND
1983:Q1,-477,-288,3,0,-291,-189,-477,ND,ND,ND,ND,ND
1983:Q2,-145,18,1,0,17,-163,-145,ND,ND,ND,ND,ND
1983:Q3,-80,42,-3,0,45,-122,-80,ND,ND,ND,ND,ND
1983:Q4,-117,7,-8,0,15,-124,-117,ND,ND,ND,ND,ND
1984:Q1,30,-23,-17,0,-6,53,30,ND,ND,ND,ND,ND
1984:Q2,-114,7,-30,0,37,-121,-114,ND,ND,ND,ND,ND
1984:Q3,-472,-318,-26,0,-292,-154,-472,ND,ND,ND,ND,ND
