1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1969:Q2,106565,0,0,0,42380,3360,1777,7077,4205,0,0,0,25961,13199,838,12361,0,0,6413,6413,0,0,0,0,0,5949,0,208,5741,0,9841,9841,3271,3271,0,0,0,0,0,0,0,0,0,0,0,0,0,18970,17073,1897,1662,1662,0,0,0,0,0,0,0,0
1969:Q3,108380,0,0,0,43248,3488,1790,7200,4271,0,0,0,26499,14050,868,13182,0,0,7940,7940,0,0,0,0,0,5914,0,208,5706,0,8216,8216,213,213,0,0,0,0,0,0,0,0,0,0,0,0,0,19709,17738,1971,3858,3858,0,0,0,0,0,0,0,0
1969:Q4,116143,0,0,0,44151,3586,1824,7182,4739,0,0,0,26820,14713,888,13825,0,0,9289,9289,0,0,0,0,0,6007,0,210,5797,0,8476,8476,2651,2651,0,0,0,0,0,0,0,0,0,0,0,0,0,21459,19313,2146,3946,3946,0,0,0,0,0,0,0,0
1970:Q1,119666,0,0,0,44935,3704,1883,7391,4698,0,0,0,27259,15456,912,14544,0,0,9745,9745,0,0,0,0,0,6484,0,227,6257,0,7298,7298,1482,1482,0,0,0,0,0,0,0,0,0,0,0,0,0,22077,19869,2208,6837,6837,0,0,0,0,0,0,0,0
1970:Q2,123663,0,0,0,45487,3778,1971,7554,4572,0,0,0,27612,16124,933,15191,0,0,10236,10236,0,0,0,0,0,6846,0,251,6595,0,6532,6532,1354,1354,0,0,0,0,0,0,0,0,0,0,0,0,0,23028,20725,2303,8083,8083,0,0,0,0,0,0,0,0
1970:Q3,122285,0,0,0,46208,3840,2021,7621,4766,0,0,0,27960,16653,950,15703,0,0,10525,10525,0,0,0,0,0,6855,0,250,6605,0,6795,6795,1762,1762,0,0,0,0,0,0,0,0,0,0,0,0,0,22411,20170,2241,5228,5228,0,0,0,0,0,0,0,0
1970:Q4,123881,0,0,0,46664,3879,2108,7701,4816,0,0,0,28160,17021,957,16064,0,0,10615,10615,0,0,0,0,0,7004,0,252,6752,0,7188,7188,3564,3564,0,0,0,0,0,0,0,0,0,0,0,0,0,21813,19632,2181,2954,2954,0,0,0,0,0,0,0,0
1971:Q1,124717,0,0,0,47197,4076,1502,7842,4909,0,0,0,28868,17257,961,16296,0,0,9690,9690,0,0,0,0,0,7533,0,275,7258,0,7302,7302,2478,2478,0,0,0,0,0,0,0,0,0,0,0,0,0,23229,20906,2323,2858,2858,0,0,0,0,0,0,0,0
1971:Q2,125818,0,0,0,48109,4141,1582,7991,4841,0,0,0,29554,17494,963,16531,0,0,7241,7241,0,0,0,0,0,7950,0,304,7646,0,8159,8159,2279,2279,0,0,0,0,0,0,0,0,0,0,0,0,0,23883,21495,2388,3058,3058,0,0,0,0,0,0,0,0
1971:Q3,126405,0,0,0,48689,4173,1591,8056,5090,0,0,0,29779,17779,967,16812,0,0,7637,7637,0,0,0,0,0,7720,0,301,7419,0,8785,8785,1507,1507,0,0,0,0,0,0,0,0,0,0,0,0,0,23180,20862,2318,2960,2960,0,0,0,0,0,0,0,0
1971:Q4,130056,0,0,0,49157,4239,1656,8103,5181,0,0,0,29978,18034,969,17065,0,0,7936,7936,0,0,0,0,0,7682,0,291,7391,0,9764,9764,3597,3597,0,0,0,0,0,0,0,0,0,0,0,0,0,23157,20841,2316,2840,2840,0,0,0,0,0,0,0,0
1972:Q1,131501,0,0,0,49894,4413,1660,8029,5448,0,0,0,30344,18236,969,17267,0,0,5992,5992,0,0,0,0,0,8160,0,306,7854,0,11646,11646,2096,2096,0,0,0,0,0,0,0,0,0,0,0,0,0,24720,22248,2472,2772,2772,0,0,0,0,0,0,0,0
1972:Q2,133248,0,0,0,50060,4456,1691,8139,5145,0,0,0,30629,18493,971,17522,0,0,6075,6075,0,0,0,0,0,8441,0,325,8116,0,13000,13000,2326,2326,0,0,0,0,0,0,0,0,0,0,0,0,0,25488,22939,2549,2296,2296,0,0,0,0,0,0,0,0
1972:Q3,132759,0,0,0,51030,4666,1745,8297,5271,0,0,0,31051,18751,980,17771,0,0,6736,6736,0,0,0,0,0,8371,0,317,8054,0,13394,13394,612,612,0,0,0,0,0,0,0,0,0,0,0,0,0,24999,22499,2500,2264,2264,0,0,0,0,0,0,0,0
1972:Q4,140096,0,0,0,51687,4624,1900,8197,5526,0,0,0,31440,18984,981,18003,0,0,7979,7979,0,0,0,0,0,8394,0,320,8074,0,13485,13485,2709,2709,0,0,0,0,0,0,0,0,0,0,0,0,0,27362,24626,2736,2598,2598,0,0,0,0,0,0,0,0
1973:Q1,141873,0,0,0,52832,4844,2000,9191,4797,0,0,0,32000,19267,983,18284,0,0,8420,8420,0,0,0,0,0,9295,0,330,8965,0,12401,12401,309,309,0,0,0,0,0,0,0,0,0,0,0,0,0,29140,26226,2914,3161,3161,0,0,0,0,0,0,189,189
1973:Q2,147846,0,0,0,53265,4858,2036,9434,4555,0,0,0,32382,19698,985,18713,0,0,11145,11145,0,0,0,0,0,9683,0,363,9320,0,10845,10845,1416,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,30871,27784,3087,3520,3520,0,0,0,0,0,0,166,166
1973:Q3,153322,0,0,0,54280,4858,2081,9527,4971,0,0,0,32843,20594,997,19597,0,0,14298,14298,0,0,0,0,0,9907,0,382,9525,0,10181,10181,648,648,0,0,0,0,0,0,0,0,0,0,0,0,0,30583,27525,3058,4637,4637,0,0,0,0,0,0,24,24
1973:Q4,159324,0,0,0,54927,4969,2205,9729,4916,0,0,0,33108,21205,1006,20199,0,0,15147,15147,0,0,0,0,0,9775,0,388,9387,0,9149,9149,3573,3573,0,0,0,0,0,0,0,0,0,0,0,0,0,32324,29092,3232,4300,4300,0,0,0,0,0,0,32,32
1974:Q1,159415,0,0,0,53435,5063,2114,9666,4974,0,0,0,31618,21651,1008,20643,0,0,14995,14995,0,0,0,0,0,10663,0,408,10255,0,8502,8502,1080,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,33968,30571,3397,4904,4904,0,0,0,0,0,0,51,51
1974:Q2,169825,0,0,0,54082,5259,2168,10029,4781,0,0,0,31845,22322,1017,21305,0,0,17642,17642,0,0,0,0,0,11287,0,458,10829,0,8033,8033,3135,3135,0,0,0,0,0,0,0,0,0,0,0,0,0,34660,31194,3466,5372,5372,0,0,0,0,0,0,118,118
1974:Q3,178927,0,0,0,55462,5491,2386,10179,5173,110,0,0,32123,23209,1034,22175,0,0,20772,20772,0,0,0,0,0,12023,0,487,11536,0,7732,7732,3044,3044,0,0,0,0,0,0,0,0,0,0,0,0,0,35592,32033,3559,4914,4914,0,0,0,0,0,0,144,144
1974:Q4,188492,0,0,0,58544,5480,3741,10291,5592,695,0,0,32745,23904,1042,22862,0,0,21804,21804,0,0,0,0,0,12423,0,502,11921,0,7583,7583,3433,3433,0,0,0,0,0,0,0,0,0,0,0,0,0,37163,33447,3716,4901,4901,0,0,0,0,0,0,253,253
1975:Q1,187497,0,0,0,60555,5671,3796,10737,5688,953,0,0,33710,24368,1042,23326,0,0,18164,18164,0,0,0,0,0,12552,0,516,12036,0,7581,7581,2782,2782,0,0,0,0,0,0,0,0,0,0,0,0,0,37798,34018,3780,4677,4677,0,0,0,0,0,0,290,290
1975:Q2,190137,0,0,0,62541,5841,3787,11521,5678,1247,0,0,34467,24755,1047,23708,0,0,16803,16803,0,0,0,0,0,13392,0,580,12812,0,7709,7709,3586,3586,0,0,0,0,0,0,0,0,0,0,0,0,0,38706,34835,3871,4667,4667,0,0,0,0,0,0,238,238
1975:Q3,190851,0,0,0,64211,5976,3877,12219,5793,1408,0,0,34938,25151,1052,24099,0,0,17482,17482,0,0,0,0,0,13500,0,595,12905,0,8030,8030,1519,1519,0,0,0,0,0,0,0,0,0,0,0,0,0,39423,35481,3942,4496,4496,0,0,0,0,0,0,249,249
1975:Q4,199444,0,0,0,65444,6022,3999,12527,5781,1559,0,0,35556,25522,1055,24467,0,0,17845,17845,0,0,0,0,0,13974,0,604,13370,0,8605,8605,4722,4722,0,0,0,0,0,0,0,0,0,0,0,0,0,40880,36792,4088,3400,3400,0,0,0,0,0,0,325,325
1976:Q1,205349,0,0,0,68200,6145,4354,12836,7040,1534,0,0,36291,25811,1048,24763,0,0,15757,15757,0,0,0,0,0,14600,0,646,13954,0,9959,9959,4797,4797,0,0,0,0,0,0,0,0,0,0,0,0,0,43534,39181,4353,3500,3500,0,0,0,0,0,0,290,290
1976:Q2,209299,0,0,0,67763,6260,4040,13170,5733,1534,0,0,37026,26189,1053,25136,0,0,15274,15274,0,0,0,0,0,15604,0,705,14899,0,11223,11223,3881,3881,0,0,0,0,0,0,0,0,0,0,0,0,0,45605,41045,4561,3600,3600,0,0,0,0,0,0,377,377
1976:Q3,214928,0,0,0,71334,6509,4137,14245,6970,1490,0,0,37983,26550,1056,25494,0,0,16062,16062,0,0,0,0,0,16050,0,734,15316,0,11645,11645,3165,3165,0,0,0,0,0,0,0,0,0,0,0,0,0,46330,41697,4633,3700,3700,0,0,0,0,0,0,493,493
1976:Q4,228360,0,0,0,73172,6496,4197,14478,7817,1172,0,0,39012,26890,1056,25834,0,0,15862,15862,0,0,0,0,0,16243,0,715,15528,0,12510,12510,7424,7424,0,0,0,0,0,0,0,0,0,0,0,0,0,49460,44514,4946,3781,3781,0,0,0,0,0,0,495,495
1977:Q1,228676,0,0,0,74367,6274,4330,15175,8159,410,0,0,40019,27304,1056,26248,0,0,14462,14462,0,0,0,0,0,18075,0,805,17270,0,12936,12936,1431,1431,0,0,0,0,0,0,0,0,0,0,0,0,0,53065,47759,5307,3700,3700,0,0,0,0,0,0,642,642
1977:Q2,236541,0,0,0,73923,6319,4357,16185,6118,430,0,0,40514,27760,1051,26709,0,0,15717,15717,0,0,0,0,0,18247,0,851,17396,0,14024,14024,2271,2271,0,0,0,0,0,0,0,0,0,0,0,0,0,56765,51089,5677,3800,3800,0,0,0,0,0,0,594,594
1977:Q3,239975,0,0,0,77186,6501,4476,17004,7334,510,0,0,41361,28198,1057,27141,0,0,17054,17054,0,0,0,0,0,18484,0,886,17598,0,13981,13981,-282,-282,0,0,0,0,0,0,0,0,0,0,0,0,0,57689,51920,5769,3800,3800,0,0,0,0,0,0,548,548
1977:Q4,258794,0,0,0,78749,6585,4255,17605,8022,515,0,0,41767,28616,1060,27556,0,0,20173,20173,0,0,0,0,0,18319,0,835,17484,0,14527,14527,5344,5344,0,0,0,0,0,0,0,0,0,0,0,0,0,62957,56661,6296,3810,3810,0,0,0,0,0,0,645,645
1978:Q1,264673,0,0,0,82445,6728,4955,19362,8307,590,0,0,42503,29064,1057,28007,0,0,21278,21278,0,0,0,0,0,18300,0,823,17477,0,16401,16401,1906,1906,0,0,0,0,0,0,0,0,0,0,0,0,0,66305,59675,6631,4000,4000,0,0,0,0,0,0,793,793
1978:Q2,279918,0,0,0,84526,6851,5410,21539,6464,690,0,0,43572,29676,1060,28616,0,0,25274,25274,0,0,0,0,0,19382,0,885,18497,0,18950,18950,3598,3598,0,0,0,0,0,0,0,0,0,0,0,0,0,68980,62082,6898,4200,4200,0,0,0,0,0,0,1043,1043
1978:Q3,290779,0,0,0,88993,7181,6060,23713,6461,745,0,0,44833,30311,1061,29250,0,0,29158,29158,0,0,0,0,0,20159,0,942,19217,0,20731,20731,5066,5066,0,0,0,0,0,0,0,0,0,0,0,0,0,68597,61737,6860,4400,4400,0,0,0,0,0,0,1412,1412
1978:Q4,308828,0,0,0,91309,7397,6186,24942,6466,915,0,0,45403,31212,1066,30146,0,0,32670,32670,0,0,0,0,0,20467,0,957,19510,0,17145,17145,11147,11147,0,0,0,0,0,0,0,0,0,0,0,0,0,74411,66970,7441,4628,4628,0,0,0,0,0,0,901,901
1979:Q1,309542,0,0,0,93434,7467,6485,25615,6481,1030,0,0,46356,32242,1077,31165,0,0,31881,31881,0,0,0,0,0,21814,0,1025,20789,0,16326,16326,4274,4274,0,0,0,0,0,0,0,0,0,0,0,0,0,78516,70664,7852,4500,4500,0,0,0,0,0,0,1341,1341
1979:Q2,331886,0,0,0,98414,7893,7008,28580,6648,1140,0,0,47145,33224,1085,32139,0,0,35071,35071,0,0,0,0,0,23430,0,1123,22307,0,18958,18958,6651,6651,0,0,0,0,0,0,0,0,0,0,0,0,0,82702,74432,8270,4400,4400,0,0,0,0,0,0,1878,1878
1979:Q3,346134,0,0,0,101503,8209,7399,30214,6551,1275,0,0,47855,34156,1095,33061,0,0,38596,38596,0,0,0,0,0,24000,0,1163,22837,0,20249,20249,8476,8476,0,0,0,0,0,0,0,0,0,0,0,0,0,81488,73339,8149,4300,4300,0,0,0,0,0,0,2459,2459
1979:Q4,365511,0,0,0,105837,8469,7629,31064,6662,1505,0,0,50508,35944,1119,34825,0,0,41838,41838,0,0,0,0,0,25923,0,1218,24705,0,17458,17458,14399,14399,0,0,0,0,0,0,0,0,0,0,0,0,0,84529,76076,8453,4230,4230,0,0,0,0,0,0,2888,2888
1980:Q1,376585,0,0,0,110131,8671,7982,32993,6714,1785,0,0,51986,38042,1147,36895,0,0,44122,44122,0,0,0,0,0,27714,0,1327,26387,0,18735,18735,8741,8741,0,0,0,0,0,0,0,0,0,0,0,0,0,85660,77094,8566,4100,4100,0,0,0,0,0,0,3452,3452
1980:Q2,389086,0,0,0,114569,8720,8522,35373,6779,2180,0,0,52995,40564,1187,39377,0,0,42364,42364,0,0,0,0,0,27859,0,1437,26422,0,18620,18620,12065,12065,0,0,0,0,0,0,0,0,0,0,0,0,0,84510,76059,8451,4000,4000,0,0,0,0,0,0,5568,5568
1980:Q3,400027,0,0,0,118537,9422,8935,36586,7138,2345,0,0,54111,41398,1192,40206,0,0,44161,44161,0,0,0,0,0,28800,0,1447,27353,0,19972,19972,16096,16096,0,0,0,0,0,0,0,0,0,0,0,0,0,82391,74152,8239,3900,3900,0,0,0,0,0,0,5263,5263
1980:Q4,424981,0,0,0,122279,9483,9300,37655,7586,2720,0,0,55535,42612,1201,41411,0,0,48963,48963,0,0,0,0,0,29228,0,1376,27852,0,24737,24737,22221,22221,0,0,0,0,0,0,0,0,0,0,0,0,0,86946,78251,8695,3703,3703,0,0,0,0,0,0,4502,4502
1981:Q1,430996,0,0,0,128597,9896,9572,40944,7813,3395,0,0,56977,44358,1147,43211,0,0,49175,49175,0,0,0,0,0,30300,0,1455,28845,0,21807,21807,14626,14626,0,0,0,0,0,0,0,0,0,0,0,0,0,87543,78789,8754,2700,2700,0,0,0,0,0,0,7712,7712
1981:Q2,454326,0,0,0,134396,10292,10109,44066,8570,3400,0,0,57959,46099,1160,44939,0,0,56095,56095,0,0,0,0,0,31285,0,1613,29672,0,22179,22179,13063,13063,0,0,0,0,0,0,0,0,0,0,0,0,0,94310,84879,9431,3167,3167,0,0,0,0,0,0,8077,8077
1981:Q3,471479,0,0,0,138371,10530,10612,45525,8469,4300,0,0,58935,48304,1262,47042,0,0,64347,64347,0,0,0,0,0,32050,0,1673,30377,0,21068,21068,12289,12289,0,0,0,0,0,0,0,0,0,0,0,0,0,93060,83754,9306,3650,3650,0,0,0,0,0,0,10776,10776
1981:Q4,496963,0,0,0,141561,10998,10763,46394,8824,4600,0,0,59982,49966,1260,48706,0,0,65194,65194,0,0,0,0,0,30704,0,1541,29163,0,23023,23023,18359,18359,0,0,0,0,0,0,0,0,0,0,0,0,0,97580,87822,9758,4092,4092,0,0,0,0,0,0,15400,15400
1982:Q1,495388,0,0,0,144180,11193,10970,47344,9068,5000,0,0,60605,51265,1252,50013,0,0,66162,66162,0,0,0,0,0,30331,0,1506,28825,0,19250,19250,14104,14104,0,0,0,0,0,0,0,0,0,0,0,0,0,98108,88297,9811,3500,3500,0,0,0,0,0,0,16653,16653
1982:Q2,512667,0,0,0,148562,11717,11243,49177,9606,5000,0,0,61819,52615,1245,51370,0,0,69398,69398,0,0,0,0,0,31021,0,1628,29393,0,19099,19099,17173,17173,0,0,0,0,0,0,0,0,0,0,0,0,0,99445,89501,9945,2928,2928,0,0,0,0,0,0,17267,17267
1982:Q3,521380,0,0,0,153835,12374,12083,50666,9653,5000,0,0,64059,53661,1238,52423,0,0,67642,67642,0,0,0,0,0,30600,0,1649,28951,0,20798,20798,17554,17554,0,0,0,0,0,0,0,0,0,0,0,0,0,99097,89187,9910,3000,3000,0,0,0,0,0,0,20098,20098
1982:Q4,534141,0,0,0,155448,12638,12075,51184,9791,5000,0,0,64760,54187,1226,52961,0,0,66001,66001,0,0,0,0,0,29061,0,1498,27563,0,25791,25791,23313,23313,0,0,0,0,0,0,0,0,0,0,0,0,0,98324,88492,9832,3053,3053,0,0,0,0,0,0,20144,20144
1983:Q1,523634,0,0,0,157119,12778,12011,51804,10033,5000,0,0,65493,54641,1214,53427,0,0,60016,60016,0,0,0,0,0,29475,24,1423,27577,451,26743,26743,17947,17947,0,0,0,0,0,0,0,0,0,0,0,0,0,99629,89666,9963,2600,2600,0,0,0,0,0,0,21499,21499
1983:Q2,540860,0,0,0,160156,12900,12396,53034,10350,5000,0,0,66476,54911,1200,53711,0,0,58793,58793,0,0,0,0,0,30409,64,1488,27670,1187,32758,32758,18856,18856,0,0,0,0,0,0,0,0,0,0,0,0,0,101694,91525,10169,2240,2240,0,0,0,0,0,0,23439,23439
1983:Q3,550234,0,0,0,162056,13216,12117,53648,10703,5000,0,0,67372,55050,1190,53860,0,0,57862,57862,0,0,0,0,0,31201,106,1489,27661,1945,33781,33781,19773,19773,0,0,0,0,0,0,0,0,0,0,0,0,0,102607,92346,10261,2450,2450,0,0,0,0,0,0,23985,23985
1983:Q4,569783,0,0,0,163038,13400,11632,53968,10900,5000,0,0,68138,55243,1180,54063,0,0,58953,58953,0,0,0,0,0,31160,133,1404,27160,2463,34177,34177,22573,22573,0,0,0,0,0,0,0,0,0,0,0,0,0,110351,99316,11035,2726,2726,0,0,0,0,0,0,25890,25890
1984:Q1,576142,0,0,0,164963,13323,11573,54639,10713,5000,0,0,69715,55349,1165,54184,0,0,57608,57608,0,0,0,0,0,32123,149,1383,27817,2774,31723,31723,18812,18812,0,0,0,0,0,0,0,0,0,0,0,0,0,116703,105033,11670,2300,2300,0,0,0,0,0,0,31823,31823
1984:Q2,605352,0,0,0,167422,13500,11716,55504,11000,5000,0,0,70702,55480,1155,54325,0,0,65859,65859,0,0,0,0,0,31901,156,1432,27400,2913,32657,32657,18757,18757,0,0,0,0,0,0,0,0,0,0,0,0,0,120239,108215,12024,1970,1970,0,0,0,0,0,0,39326,39326
1984:Q3,620156,0,0,0,171582,13956,12771,56310,11941,5000,0,0,71604,55587,1148,54439,0,0,73005,73005,0,0,0,0,0,32105,160,1468,27472,3005,30415,30415,20638,20638,0,0,0,0,0,0,0,0,0,0,0,0,0,121193,109074,12119,2400,2400,0,0,0,0,0,0,43130,43130
1984:Q4,652338,0,0,0,179258,14000,12906,56994,18641,5000,0,0,71717,55640,1135,54505,0,0,74621,74621,0,0,0,0,0,30271,170,1308,25621,3172,31834,31834,27897,27897,0,0,0,0,0,0,0,0,0,0,0,0,0,131920,118728,13192,2797,2797,0,0,0,0,0,0,48668,48668
1985:Q1,653298,0,0,0,185270,14885,14640,57407,21106,5000,0,0,72232,55603,1123,54480,0,0,74691,74691,0,0,0,0,0,29423,182,1232,24618,3391,30614,30614,23530,23530,0,0,0,0,0,0,0,0,0,0,0,0,0,137050,123345,13705,2800,2800,0,0,0,0,0,0,48317,48317
1985:Q2,675782,0,0,0,188270,13200,14101,58442,24367,5000,0,0,73160,55548,1120,54428,0,0,79629,79629,0,0,0,0,0,28836,197,1234,23770,3635,36878,36878,32068,32068,0,0,0,0,0,0,0,0,0,0,0,0,0,139818,125836,13982,2915,2915,0,0,0,0,0,0,49099,49099
1985:Q3,688378,0,0,0,197269,18144,15650,59361,25535,5300,0,0,73279,55461,1110,54351,0,0,85745,85745,0,0,0,0,0,28653,211,1200,23360,3882,38968,38968,29522,29522,0,0,0,0,0,0,0,0,0,0,0,0,0,136292,122663,13629,2500,2500,0,0,0,0,0,0,51608,51608
1985:Q4,735681,0,0,0,196237,16500,15580,57839,26820,6085,0,0,73413,55499,1130,54369,0,0,88835,88835,0,0,0,0,0,26353,221,1031,20992,4109,50699,50699,49768,49768,0,0,0,0,0,0,0,0,0,0,0,0,0,150170,135153,15017,2127,2127,0,0,0,0,0,0,56021,56021
1986:Q1,746011,0,0,0,198358,17200,16088,58320,26942,6200,0,0,73608,55518,1150,54368,0,0,87231,87231,0,0,0,0,0,25319,232,945,19834,4308,52848,52848,52392,52392,0,0,0,0,0,0,0,0,0,0,0,0,0,157683,141915,15768,2000,2000,0,0,0,0,0,0,57016,57016
1986:Q2,757906,0,0,0,200034,17800,16267,59013,27050,6489,0,0,73415,55559,1190,54369,0,0,94840,94840,0,0,0,0,0,25400,240,945,19740,4475,52842,52842,46306,46306,0,0,0,0,0,0,0,0,0,0,0,0,0,159839,143855,15984,2247,2218,29,0,0,0,0,0,65121,65121
1986:Q3,775282,0,0,0,202261,18400,16360,59217,26999,6056,0,0,75229,55584,1239,54345,0,0,99036,99036,0,0,0,0,0,24331,250,900,18526,4655,55521,55521,49510,49510,0,0,0,0,0,0,0,0,0,0,0,0,0,152849,137564,15285,2802,2761,41,0,0,0,0,0,76486,76486
1986:Q4,807965,0,0,0,201791,19367,16101,58346,27257,5720,0,0,75000,55357,1302,54055,0,0,108645,108645,0,0,0,0,0,24121,263,866,18097,4895,57429,57429,58997,58997,0,0,0,0,0,0,0,0,0,0,0,0,0,165781,149203,16578,3825,2284,1541,0,0,0,0,0,77617,77617
1987:Q1,798177,0,0,0,195960,17138,13986,57991,27066,5000,0,0,74779,55089,1378,53711,0,0,106760,106760,0,0,0,0,0,23346,229,775,17273,5069,53567,53567,54184,54184,0,0,0,0,0,0,0,0,0,0,0,0,0,174092,156683,17409,4430,2937,1493,0,0,0,0,0,75597,75597
1987:Q2,820351,0,0,0,192637,17239,12541,57964,25175,4970,0,0,74748,55001,1466,53535,0,0,114335,114335,0,0,0,0,0,24545,419,789,17488,5849,56889,56889,52488,52488,0,0,0,0,0,0,0,0,0,0,0,0,0,180880,162792,18088,4535,2788,1747,0,0,0,0,0,79717,79717
1987:Q3,830244,0,0,0,191927,16627,13018,57916,25348,4970,0,0,74048,55245,1568,53677,0,0,120090,120090,0,0,0,0,0,25005,448,784,17728,6045,59395,59395,53155,53155,0,0,0,0,0,0,0,0,0,0,0,0,0,180723,162651,18072,4060,2737,1323,0,0,0,0,0,82427,82427
1987:Q4,852168,22107,15475,6632,191540,18681,12797,57428,24898,4970,0,0,72766,55308,1682,53626,0,0,133058,133058,0,0,0,0,0,24753,334,755,17396,6268,41797,41797,41088,41088,0,0,0,0,0,0,0,0,0,0,0,0,0,200051,180046,20005,4566,3100,1466,0,0,0,0,0,78072,78072
1988:Q1,869954,22507,15705,6802,190656,19450,12175,55601,24190,4970,0,0,74270,54129,987,53142,0,0,129506,129506,0,0,0,0,0,24835,104,665,17849,6217,40625,40625,42938,42938,0,0,0,0,0,0,0,0,0,0,0,0,0,211575,190418,21158,6294,3524,2770,0,0,0,0,0,92107,92107
1988:Q2,886556,22907,15935,6972,190265,19493,11546,56141,23300,4970,0,0,74815,54659,1007,53652,0,0,134835,134835,0,0,0,0,0,25594,68,714,18629,6183,41231,41231,45369,45369,0,0,0,0,0,0,0,0,0,0,0,0,0,215802,194222,21580,5951,3330,2621,0,0,0,0,0,94175,94175
1988:Q3,894306,23307,16165,7142,182035,19600,11203,58700,15000,4970,0,0,72562,54985,1020,53965,0,0,141562,141562,0,0,0,0,0,25971,400,740,18806,6025,42131,42131,45082,45082,0,0,0,0,0,0,0,0,0,0,0,0,0,215898,194308,21590,5906,3428,2478,0,0,0,0,0,101961,101961
1988:Q4,902413,23707,16395,7312,167778,20100,10927,54066,9000,4970,0,0,68715,55261,1025,54236,0,0,152781,152781,0,0,0,0,0,23808,325,584,16910,5989,43506,43506,45072,45072,0,0,0,0,0,0,0,0,0,0,0,0,0,228683,205815,22868,4339,3345,994,0,0,0,0,0,99979,99979
1989:Q1,925828,24289,16883,7406,163288,15102,10783,55491,9376,4970,0,0,67566,56037,1023,55014,0,0,163783,163783,0,0,0,0,0,24037,282,564,17135,6056,39338,39338,46446,46446,0,0,0,0,0,0,0,0,0,0,0,1616,1616,235047,211542,23505,5779,4017,1762,0,0,0,0,0,113775,113775
1989:Q2,953146,24871,17371,7500,163643,15416,10773,55432,9403,4970,0,0,67649,56976,1017,55959,0,0,161874,161874,0,0,0,0,0,24497,153,539,18014,5791,44641,44641,52363,52363,0,0,0,0,0,0,0,0,0,0,0,1618,1618,242393,218154,24239,5085,3970,1115,0,0,0,0,0,121201,121201
1989:Q3,929347,25453,17859,7594,160852,15548,10533,54289,8801,4970,0,0,66711,57618,1009,56609,0,0,151110,151110,0,0,0,0,0,24976,268,595,18105,6008,44294,44294,44210,44210,0,0,0,0,0,0,0,0,0,0,0,1727,1727,238681,214813,23868,7152,6073,1079,0,0,0,0,0,118606,118606
1989:Q4,947150,26035,18347,7688,160526,15600,10599,54151,8770,4970,0,0,66436,58439,1000,57439,0,0,141797,141797,0,0,0,0,0,26183,278,734,18649,6522,42540,42540,55265,55265,0,0,0,0,0,0,0,0,0,0,0,2021,2021,250779,225701,25078,5857,5227,630,0,0,0,0,0,122347,122347
1990:Q1,960794,26480,18854,7626,163165,16294,10728,55399,9020,4970,0,0,66754,62101,993,61108,0,0,132852,132852,0,0,0,0,0,26549,578,734,18566,6671,41977,41977,50720,50720,0,0,0,0,0,0,0,0,0,0,0,2199,2199,253769,228392,25377,6361,5052,1309,0,0,0,0,0,144858,144858
1990:Q2,971142,26925,19361,7564,162587,17100,10676,53374,9170,4970,0,0,67297,64131,987,63144,0,0,126295,126295,0,0,0,0,0,27535,764,746,18854,7171,40022,40022,52388,52388,0,0,0,0,0,0,0,0,0,0,0,940,940,265009,238508,26501,6078,4977,1101,0,0,0,0,0,151960,151960
1990:Q3,975327,27370,19868,7502,164119,17922,10880,53637,9570,4970,0,0,67140,61624,983,60641,0,0,117886,117886,0,0,0,0,0,28073,784,761,19039,7489,36722,36722,55360,55360,0,0,0,0,0,0,0,0,0,0,0,1773,1773,263777,237399,26378,4706,4095,611,0,0,0,0,0,168534,168534
1990:Q4,993615,27815,20375,7440,158719,18580,9841,53009,9648,4850,0,0,62791,62538,976,61562,0,0,117103,117103,0,0,0,0,0,27732,545,775,19125,7287,38809,38809,64851,64851,0,0,0,0,0,0,0,0,0,0,0,4313,4313,268148,241333,26815,5652,5193,459,0,0,0,0,0,172408,172408
