1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1969:Q1,138544,4866,87278,19989,22178,10803,625,10750,0,4233,760,3473,0,138544,0,135529,3015,0,0
1969:Q2,146765,5892,91765,21026,23969,13021,710,10238,0,4113,769,3344,0,146765,0,143558,3207,0,0
1969:Q3,143920,5043,91186,21617,22229,11103,776,10350,0,3845,697,3148,0,143920,0,140349,3571,0,0
1969:Q4,153314,7557,95655,21874,24294,12817,955,10522,0,3934,765,3169,0,153314,0,149431,3883,0,0
1970:Q1,146427,5199,93524,21835,21915,11674,791,9450,0,3954,813,3141,0,146427,0,141703,4724,0,0
1970:Q2,152395,5751,96837,22451,23393,14194,897,8302,0,3963,804,3159,0,152395,0,147702,4693,0,0
1970:Q3,155114,5633,98636,22522,24522,14178,894,9450,0,3801,646,3155,0,155114,0,149396,5718,0,0
1970:Q4,161869,7493,101697,22287,26599,14977,1033,10589,0,3793,623,3170,0,161869,0,155752,6117,0,0
1971:Q1,157893,5154,99687,22836,26294,14756,1288,10250,0,3922,601,3321,0,157893,0,151965,5928,0,0
1971:Q2,164977,6879,102607,23780,27619,16306,1416,9897,0,4092,622,3470,0,164977,0,159158,5819,0,0
1971:Q3,165434,6040,104363,23887,26704,14339,1615,10750,0,4440,702,3738,0,165434,0,159267,6167,0,0
1971:Q4,172894,8094,106157,24461,29263,15926,1635,11702,0,4919,806,4113,0,172894,0,166312,6582,0,0
1972:Q1,173818,6401,106744,24887,30546,15902,2094,12550,0,5240,811,4429,0,173818,0,166796,7022,0,0
1972:Q2,183464,8386,110749,26261,32376,16816,2215,13345,0,5692,884,4808,0,183464,0,176436,7028,0,0
1972:Q3,186789,7181,112568,26176,34630,17517,2163,14950,0,6234,939,5295,0,186789,0,179041,7748,0,0
1972:Q4,202517,8616,119174,27222,40644,20881,2970,16793,0,6861,1002,5859,0,202517,0,193495,9022,0,0
1973:Q1,213491,10062,126700,30670,38931,20406,4015,14510,0,7128,1024,6104,0,213491,0,204139,9352,0,0
1973:Q2,226429,10434,131863,35916,40418,22865,4993,12560,0,7798,1183,6615,0,226429,0,216707,9722,0,0
1973:Q3,232673,12058,132131,40998,40222,22512,5453,12257,0,7264,1170,6094,0,232673,0,221984,10689,0,0
1973:Q4,242085,11894,134126,44887,43202,24370,6330,12502,0,7976,1440,6536,0,242085,0,230352,11733,0,0
1974:Q1,245131,10248,137548,47909,41272,22918,7417,10937,0,8154,1705,6449,0,245131,0,233305,11826,0,0
1974:Q2,262935,12890,147980,50597,42061,23727,8619,9715,0,9407,2009,7398,0,262935,0,249314,13621,0,0
1974:Q3,268407,14225,151507,52204,41059,22109,9400,9550,0,9412,1947,7465,0,268407,0,253637,14770,0,0
