1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q1,29904,-15762,42803,-1097,1914,2203,-58,1169,-384,-1,115,148,719,120,-25,0,690,-42,-14,-233,-158
1959:Q2,53746,-13076,67813,-2048,2604,-335,-626,96,128,3,114,69,72,108,51,0,-55,-46,1,-250,-1212
1959:Q3,-37185,-1198,-35558,164,-179,2227,-370,683,-353,-1,113,-392,1336,132,-33,0,1428,-48,4,-272,-2641
1959:Q4,93103,7888,87369,-2823,2527,1759,986,369,628,-5,129,-720,514,188,15,0,-52,-48,24,-270,-3617
1960:Q1,-101301,-27132,-77395,1145,1065,916,-343,529,-458,-9,136,-433,1839,148,-21,0,-58,-31,-2,-381,100
1960:Q2,37650,-12536,51574,-1424,2019,-1144,57,-493,190,-9,131,-131,856,48,47,0,-1420,-32,4,-393,-839
1960:Q3,-115693,1241,-110041,2865,-1999,-1069,29,226,-262,-5,104,100,-127,-60,-37,0,-625,-31,5,-385,-6690
1960:Q4,185420,3265,181693,-339,2743,-2523,261,-1740,555,-9,105,290,-1801,152,23,0,33,-31,30,-392,580
1961:Q1,188029,-4919,193115,1827,1470,1029,-263,655,-397,-9,109,164,-28,120,-19,0,1174,-36,-11,-430,-4493
1961:Q2,-13063,-19115,3128,3263,802,-2182,21,-1477,155,-5,108,27,238,8,69,0,-841,-36,-24,-426,1041
1961:Q3,48580,6123,48456,-3094,-2058,631,45,-84,-173,-5,96,-38,919,-44,-7,0,413,-36,-30,-426,-1478
1961:Q4,60716,6971,53736,3861,2005,-4754,177,-1625,446,-1,87,-435,-682,44,29,0,-2253,-38,-69,-434,-1104
1962:Q1,6990,-11982,16893,193,1747,1688,-315,2126,-411,-9,57,-531,1041,72,-54,0,194,-35,-24,-423,-1549
1962:Q2,16,-7156,10490,-5697,2193,368,5,-129,151,-9,48,-1156,11,-32,126,0,1856,-33,-24,-447,-183
1962:Q3,1260,5577,7010,-2890,-4324,2021,9,1295,-17,-5,24,-1106,361,64,-154,0,2071,-34,-27,-460,-6134
1962:Q4,7506,5816,-4649,7556,4409,-3850,249,-2269,279,-1,20,-723,-1356,212,-6,0,205,-32,16,-444,-1776
1963:Q1,29417,-5620,32824,2474,-1066,1628,-328,1875,-254,-9,11,-260,1203,88,-43,0,-167,-34,-23,-432,-823
