1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q3,20828,21171,-153,2257,-138,-2309,25366,1900,21171,0,0,0,2295,-4538,4550,4550,0,16621,16621,0,0,0,1900,0,1900,1435,465,1100,1100,0,2620,3191,571,254,236,18,1171,1074,97,0,0,0,2295,-1843,-1790,301,138,2309,53,-4538
1963:Q4,20667,21308,-256,2249,-141,-2493,25792,2631,21308,0,0,0,1853,-5125,4259,4259,0,17049,17049,0,0,0,2631,0,2631,2600,31,1000,1000,0,2593,3176,583,360,340,20,1380,1282,98,0,0,0,1853,-2265,-2167,324,141,2493,98,-5125
1964:Q1,18941,21111,-1682,2297,-144,-2641,24538,1552,21111,0,0,0,1875,-5597,4500,4500,0,16611,16611,0,0,0,1552,0,1552,1497,55,1150,1150,0,2638,3234,596,316,297,19,1597,1486,111,0,0,0,1875,-2601,-2496,316,144,2641,105,-5597
1964:Q2,19156,21512,-1975,2351,-147,-2585,24826,1712,21512,0,0,0,1602,-5670,4539,4539,0,16973,16973,0,0,0,1712,0,1712,1633,79,1000,1000,0,2674,3290,616,383,364,19,1689,1580,109,0,0,0,1602,-2743,-2631,307,147,2585,112,-5670
1964:Q3,20605,21901,-1057,2434,-150,-2523,25275,1660,21901,0,0,0,1714,-4670,4780,4780,0,17121,17121,0,0,0,1660,0,1660,1567,93,1059,1059,0,2825,3472,647,305,285,20,1865,1749,116,0,0,0,1714,-1742,-1676,321,150,2523,66,-4670
1964:Q4,20855,22382,-1165,2540,-151,-2751,26923,2762,22382,0,0,0,1779,-6068,4532,4532,0,17850,17850,0,0,0,2762,0,2762,2606,156,1118,1118,0,2962,3639,677,363,341,22,1938,1835,103,0,0,0,1779,-2869,-2787,379,151,2751,82,-6068
1965:Q1,19957,22117,-1948,2773,-151,-2834,25477,1223,22117,0,0,0,2137,-5520,4840,4840,0,17277,17277,0,0,0,1223,0,1223,1114,109,1503,1503,0,3187,3900,713,303,281,22,2250,2114,136,0,0,0,2137,-2279,-2191,344,151,2834,88,-5520
1965:Q2,22637,23207,-797,3018,-148,-2643,27691,1995,23207,0,0,0,2489,-5054,4978,4978,0,18229,18229,0,0,0,1995,0,1995,1349,646,1474,1474,0,3416,4161,745,330,308,22,2071,1950,121,0,0,0,2489,-2008,-1911,352,148,2643,97,-5054
1965:Q3,22077,23167,-975,2593,-146,-2562,27059,1528,23167,0,0,0,2364,-4982,5370,5370,0,17797,17797,0,0,0,1528,0,1528,1405,123,1582,1582,0,3102,3815,713,280,255,25,2040,1917,123,0,0,0,2364,-1913,-1860,414,146,2562,53,-4982
1965:Q4,21657,23298,-984,2284,-144,-2797,27395,2344,23298,0,0,0,1753,-5738,4851,4851,0,18447,18447,0,0,0,2344,0,2344,2248,96,1383,1383,0,2755,3437,682,308,282,26,2077,1964,113,0,0,0,1753,-2465,-2369,428,144,2797,96,-5738
1966:Q1,21623,23411,-883,2139,-149,-2895,27398,1967,23411,0,0,0,2020,-5775,5470,5470,0,17941,17941,0,0,0,1967,0,1967,1388,579,1711,1711,0,2621,3307,686,296,268,28,2016,1890,126,0,0,0,2020,-2403,-2322,409,149,2895,81,-5775
1966:Q2,23482,23798,416,2144,-158,-2718,28199,2244,23798,0,0,0,2157,-4717,5234,5234,0,18564,18564,0,0,0,2244,0,2244,1957,287,1793,1793,0,2645,3386,741,281,252,29,2000,1876,124,0,0,0,2157,-1493,-1426,415,158,2718,67,-4717
1966:Q3,26507,23900,2954,2331,-168,-2510,29972,2626,23900,0,0,0,3446,-3465,5830,5830,0,18070,18070,0,0,0,2626,0,2626,1647,979,3027,3027,0,2817,3584,767,280,250,30,2118,1977,141,0,0,0,3446,-472,-351,436,168,2510,121,-3465
1966:Q4,28162,25244,3238,2508,-176,-2652,32371,2683,25244,0,0,0,4444,-4209,5450,5450,0,19794,19794,0,0,0,2683,0,2683,2510,173,4036,4036,0,2966,3740,774,309,279,30,2249,2101,148,0,0,0,4444,-1101,-934,447,176,2652,167,-4209
1967:Q1,23994,24589,152,2298,-187,-2858,29684,1289,24589,0,0,0,3806,-5690,5970,5970,0,18619,18619,0,0,0,1289,0,1289,1260,29,3412,3412,0,2929,3677,748,340,309,31,2195,2024,171,0,0,0,3806,-2216,-2002,643,187,2858,214,-5690
1967:Q2,24597,24359,1052,2195,-200,-2809,29387,1398,24359,0,0,0,3630,-4790,4854,4854,0,19505,19505,0,0,0,1398,0,1398,1345,53,3166,3166,0,2801,3615,814,312,280,32,2025,1860,165,0,0,0,3630,-1372,-1113,668,200,2809,259,-4790
1967:Q3,28769,26291,3184,2243,-214,-2735,32510,1406,26291,0,0,0,4813,-3741,6252,6252,0,20039,20039,0,0,0,1406,0,1406,1235,171,4059,4059,0,3113,3959,846,327,292,35,2032,1863,169,0,0,0,4813,-126,74,866,214,2735,200,-3741
1967:Q4,30826,27023,4614,2349,-226,-2934,35059,2624,27023,0,0,0,5412,-4233,5931,5931,0,21092,21092,0,0,0,2624,0,2624,2483,141,4241,4241,0,3384,4261,877,366,328,38,1847,1686,161,0,0,0,5412,-237,-102,971,226,2934,135,-4233
1968:Q1,30750,27482,4374,2257,-231,-3132,36510,2734,27482,0,0,0,6294,-5760,6250,6250,0,21232,21232,0,0,0,2734,0,2734,1344,1390,4920,4920,0,3479,4432,953,299,259,40,1806,1629,177,0,0,0,6294,-1392,-1233,1164,231,3132,159,-5760
1968:Q2,32558,26652,7012,2134,-237,-3003,36442,2230,26652,0,0,0,7560,-3884,5190,5190,0,21462,21462,0,0,0,2230,0,2230,1938,292,6202,6202,0,3545,4586,1041,308,267,41,1879,1692,187,0,0,0,7560,539,725,1369,237,3003,186,-3884
1968:Q3,37467,29073,9122,2210,-243,-2695,40926,3335,29073,0,0,0,8518,-3459,6660,6660,0,22413,22413,0,0,0,3335,0,3335,1770,1565,7104,7104,0,3744,4686,942,324,284,40,2006,1806,200,0,0,0,8518,773,991,1512,243,2695,218,-3459
1968:Q4,37155,29054,8765,2351,-249,-2766,40221,3670,29054,0,0,0,7497,-3066,7195,7195,0,21859,21859,0,0,0,3670,0,3670,3482,188,6039,6039,0,3742,4806,1064,377,337,40,1907,1711,196,0,0,0,7497,1104,1327,1378,249,2766,223,-3066
1969:Q1,38879,28556,11102,2354,-257,-2876,42837,3031,28556,0,0,0,11250,-3958,6490,6490,0,22066,22066,0,0,0,3031,0,3031,2034,997,9621,9621,0,3943,5127,1184,365,322,43,1949,1727,222,0,0,0,11250,499,774,1599,257,2876,275,-3958
1969:Q2,43721,27066,17031,2366,-266,-2476,44621,2521,27066,0,0,0,15034,-900,6258,6258,0,20808,20808,0,0,0,2521,0,2521,1472,1049,13269,13269,0,4169,5407,1238,338,291,47,2066,1825,241,0,0,0,15034,3357,3674,1832,266,2476,317,-900
