date,Agency-and GSE-backed mortgage pools; total mortgages; asset,Agency-and GSE-backed mortgage pools; one-to-four-family residential mortgages; asset,Agency-and GSE-backed mortgage pools; multifamily residential mortgages; asset,Agency-and GSE-backed mortgage pools; commercial mortgages; asset,Agency-and GSE-backed mortgage pools; farm mortgages; asset,Agency-and GSE-backed mortgage pools; total mortgages; asset
1945:Q4,0,0,0,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND
1948:Q4,4,0,0,0,4,4
1949:Q1,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND
1949:Q4,7,0,0,0,7,7
1950:Q1,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND
1950:Q4,32,0,0,0,32,32
1951:Q1,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND
1984:Q2,263344,257762,5074,0,508,263344
1984:Q3,275538,269261,5501,0,776,275538
1984:Q4,288987,282953,5518,0,516,288987
1985:Q1,304033,297096,6421,0,516,304033
1985:Q2,321090,313763,6768,0,559,321090
1985:Q3,343332,335965,6926,0,441,343332
1985:Q4,367864,360508,6998,0,358,367864
1986:Q1,394587,385169,8991,0,427,394587
1986:Q2,429072,419545,9103,0,424,429072
1986:Q3,475896,465354,10156,0,386,475896
1986:Q4,531591,519520,11865,132,74,531591
1987:Q1,575435,561534,13704,127,70,575435
1987:Q2,615142,600095,14854,126,67,615142
1987:Q3,647084,631037,15858,124,65,647084
1987:Q4,669394,652892,16378,63,61,669394
1988:Q1,677841,660006,17728,58,49,677841
1988:Q2,695315,676706,18526,41,42,695315
1988:Q3,721137,701023,20035,38,41,721137
1988:Q4,745287,723602,21607,38,40,745287
1989:Q1,770459,747328,23059,34,38,770459
1989:Q2,794482,769788,24632,26,36,794482
1989:Q3,827012,801394,25557,26,35,827012
1989:Q4,869549,843800,25690,26,33,869549
1990:Q1,905165,878320,26789,25,31,905165
1990:Q2,944198,917021,27123,24,30,944198
1990:Q3,978533,951547,26933,24,29,978533
1990:Q4,1019861,991084,28727,24,26,1019861
1991:Q1,1050307,1023310,26949,23,24,1050307
1991:Q2,1085984,1058760,27182,21,21,1085984
1991:Q3,1123313,1097340,25932,20,20,1123313
1991:Q4,1156489,1130351,26102,19,17,1156489
1992:Q1,1179728,1154063,25631,18,16,1179728
1992:Q2,1218988,1193954,25000,18,15,1218988
1992:Q3,1243647,1219206,24409,18,14,1243647
1992:Q4,1272047,1248186,23831,17,13,1272047
1993:Q1,1299796,1276567,23202,16,11,1299796
1993:Q2,1301300,1278722,22552,15,11,1301300
1993:Q3,1330555,1308202,22329,14,10,1330555
1993:Q4,1356766,1334286,22458,13,10,1356766
1994:Q1,1399296,1376967,22308,12,9,1399296
1994:Q2,1432417,1410106,22293,10,8,1432417
1994:Q3,1454933,1432867,22050,9,7,1454933
1994:Q4,1472405,1449589,22442,9,365,1472405
1995:Q1,1480246,1457651,22208,7,380,1480246
1995:Q2,1499398,1475137,23858,6,397,1499398
1995:Q3,1527030,1501933,24678,5,414,1527030
1995:Q4,1570731,1543402,26893,5,431,1570731
1996:Q1,1600095,1571858,27803,5,429,1600095
1996:Q2,1643705,1614335,28938,5,427,1643705
1996:Q3,1679364,1648231,30705,4,424,1679364
1996:Q4,1711708,1678786,32499,0,423,1711708
1997:Q1,1740359,1706181,33749,0,429,1740359
1997:Q2,1762521,1726919,35167,0,435,1762521
1997:Q3,1791088,1754275,36372,0,441,1791088
1997:Q4,1826294,1788052,37794,0,448,1826294
1998:Q1,1847555,1808089,38995,0,471,1847555
1998:Q2,1909389,1868500,40393,0,496,1909389
1998:Q3,1976247,1931146,44580,0,521,1976247
1998:Q4,2018969,1970167,48255,0,547,2018969
1999:Q1,2113010,2061639,50636,0,735,2113010
1999:Q2,2183642,2129994,52722,0,926,2183642
1999:Q3,2247217,2191289,54814,0,1114,2247217
1999:Q4,2293531,2234749,57478,0,1304,2293531
2000:Q1,2323499,2263011,59102,0,1386,2323499
2000:Q2,2356632,2294135,61029,0,1468,2356632
2000:Q3,2415895,2351364,62982,0,1549,2415895
2000:Q4,2493245,2425625,65989,0,1631,2493245
2001:Q1,2535824,2464923,69264,0,1637,2535824
2001:Q2,2637390,2561685,74062,0,1643,2637390
2001:Q3,2760457,2681500,77308,0,1649,2760457
2001:Q4,2831784,2748518,81610,0,1656,2831784
2002:Q1,2956420,2870618,84468,0,1334,2956420
2002:Q2,3042612,2954972,86628,0,1012,3042612
2002:Q3,3085197,2996036,88471,0,690,3085197
2002:Q4,3158603,3063697,94539,0,367,3158603
2003:Q1,3230475,3131919,98218,0,338,3230475
2003:Q2,3292961,3190784,101838,0,339,3292961
2003:Q3,3375161,3264639,109493,0,1029,3375161
2003:Q4,3343251,3233511,108737,0,1003,3343251
2004:Q1,3346388,3241227,104195,0,966,3346388
2004:Q2,3366532,3258248,107317,0,967,3366532
2004:Q3,3380765,3273410,106391,0,964,3380765
2004:Q4,3384018,3277346,105734,0,938,3384018
2005:Q1,3407181,3301814,104485,0,882,3407181
2005:Q2,3442350,3338254,103221,0,875,3442350
2005:Q3,3484951,3382026,102090,0,835,3484951
2005:Q4,3548483,3446357,101282,0,844,3548483
2006:Q1,3627218,3527445,98475,0,1298,3627218
2006:Q2,3691812,3594720,95279,0,1813,3691812
2006:Q3,3768725,3673577,92041,0,3107,3768725
2006:Q4,3841119,3749120,88816,0,3183,3841119
2007:Q1,3956458,3866021,87035,0,3402,3956458
2007:Q2,4077824,3987383,85762,0,4679,4077824
2007:Q3,4252616,4162092,85906,0,4618,4252616
2007:Q4,4464418,4371759,88116,0,4543,4464418
2008:Q1,4602238,4509951,87834,0,4453,4602238
2008:Q2,4760244,4665549,90388,0,4307,4760244
2008:Q3,4892653,4799492,88438,0,4723,4892653
2008:Q4,4961428,4863990,92765,0,4673,4961428
2009:Q1,5041969,4943534,93818,0,4617,5041969
2009:Q2,5170747,5068631,97547,0,4569,5170747
2009:Q3,5297548,5192139,100905,0,4504,5297548
2009:Q4,5376709,5266500,105723,0,4486,5376709
2010:Q1,987799,926934,57518,0,3347,987799
2010:Q2,1054075,988722,61526,0,3827,1054075
2010:Q3,1103513,1034669,65042,0,3802,1103513
2010:Q4,1146814,1074964,68091,0,3759,1146814
2011:Q1,1194287,1118630,72427,0,3230,1194287
2011:Q2,1243237,1161807,78226,0,3204,1243237
2011:Q3,1284499,1200611,82193,0,1695,1284499
2011:Q4,1311884,1222902,87332,0,1650,1311884
2012:Q1,1336809,1243161,92046,0,1602,1336809
2012:Q2,1383839,1281819,99986,0,2034,1383839
2012:Q3,1414356,1307147,105214,0,1995,1414356
2012:Q4,1442727,1326581,114222,0,1924,1442727
2013:Q1,1468060,1344713,121482,0,1865,1468060
2013:Q2,1502437,1369785,130819,0,1833,1502437
2013:Q3,1544992,1403680,139507,0,1805,1544992
2013:Q4,1573512,1423935,147810,0,1767,1573512
2014:Q1,1589754,1435287,152728,0,1739,1589754
2014:Q2,1603922,1443921,158292,0,1709,1603922
2014:Q3,1627514,1461923,163910,0,1681,1627514
2014:Q4,1648504,1474761,172106,0,1637,1648504
2015:Q1,1646186,1468885,175703,0,1598,1646186
2015:Q2,1677244,1491089,184582,0,1573,1677244
2015:Q3,1729458,1536482,190607,0,2369,1729458
2015:Q4,1775452,1568836,204284,0,2332,1775452
2016:Q1,1803851,1587741,213426,0,2684,1803851
2016:Q2,1843974,1614763,226496,0,2715,1843974
2016:Q3,1885329,1648377,234290,0,2662,1885329
2016:Q4,1932958,1684649,245628,0,2681,1932958
2017:Q1,1977111,1720838,253598,0,2675,1977111
2017:Q2,2022780,1755769,265284,0,1727,2022780
2017:Q3,2076398,1796559,278124,0,1715,2076398
2017:Q4,2126459,1825684,299069,0,1706,2126459
2018:Q1,2161480,1848742,311141,0,1597,2161480
2018:Q2,2200202,1878218,320371,0,1613,2200202
2018:Q3,2245245,1915188,328442,0,1615,2245245
2018:Q4,2292274,1948715,342092,0,1467,2292274
2019:Q1,2314979,1964254,349265,0,1460,2314979
2019:Q2,2340233,1982790,355985,0,1458,2340233
2019:Q3,2369090,1999937,367705,0,1448,2369090
2019:Q4,2406043,2024759,380171,0,1113,2406043
2020:Q1,2429819,2045704,383044,0,1071,2429819
2020:Q2,2417572,2030861,385662,0,1049,2417572
2020:Q3,2428376,2023476,403922,0,978,2428376
2020:Q4,2428326,2008954,418433,0,939,2428326
2021:Q1,2431388,1996405,434135,0,848,2431388
2021:Q2,2459586,2012051,446660,0,875,2459586
2021:Q3,2474651,2022390,451362,0,899,2474651
2021:Q4,2501790,2044381,456177,0,1232,2501790
