1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1983:Q1,12010,0,-2871,-2871,0,0,0,0,14881,12010
1983:Q2,13225,0,2361,2361,0,0,0,0,10864,13225
1983:Q3,12223,0,12765,12765,0,0,0,0,-542,12223
1983:Q4,13612,0,2287,2287,0,0,0,0,11325,13612
1984:Q1,14466,0,-2147,-2147,0,0,0,0,16613,14466
1984:Q2,15591,0,3907,3907,0,0,0,0,11684,15591
1984:Q3,14570,0,13417,13417,0,0,0,0,1153,14570
1984:Q4,14609,0,3298,3298,0,0,0,0,11311,14609
1985:Q1,15319,0,8601,8601,0,0,0,0,6718,15319
1985:Q2,14744,0,3976,3976,0,0,0,0,10768,14744
1985:Q3,15094,0,13902,13902,0,0,0,0,1192,15094
1985:Q4,15290,0,13389,13389,0,0,0,0,1901,15290
1986:Q1,16275,0,-2428,-2428,0,0,0,0,18703,16275
1986:Q2,16031,0,5467,5467,0,0,0,0,10564,16031
1986:Q3,16178,0,11472,11472,0,0,0,0,4706,16178
1986:Q4,15908,0,15041,15041,0,0,0,0,867,15908
1987:Q1,15422,0,-3099,-3099,0,0,0,0,18521,15422
1987:Q2,15288,0,5661,5661,0,0,0,0,9627,15288
1987:Q3,15263,0,13597,13597,0,0,0,0,1666,15263
1987:Q4,15395,0,14109,14109,0,0,0,0,1286,15395
1988:Q1,15593,0,-3991,-3991,0,0,0,0,19584,15593
1988:Q2,15851,0,6970,6970,0,0,0,0,8881,15851
1988:Q3,16038,0,13264,13264,0,0,0,0,2774,16038
1988:Q4,16024,0,16537,16537,0,0,0,0,-513,16024
1989:Q1,15967,0,-4554,-4554,0,0,0,0,20521,15967
1989:Q2,16652,0,8014,8014,0,0,0,0,8638,16652
1989:Q3,16482,0,12989,12989,0,0,0,0,3493,16482
1989:Q4,16560,0,18108,18108,0,0,0,0,-1548,16560
1990:Q1,16254,0,-5249,-5249,0,0,0,0,21503,16254
1990:Q2,16485,0,7037,7037,0,0,0,0,9448,16485
1990:Q3,16740,0,13673,13673,0,0,0,0,3067,16740
1990:Q4,16713,0,17893,17893,0,0,0,0,-1180,16713
1991:Q1,16652,0,-6010,-6010,0,0,0,0,22662,16652
1991:Q2,17261,0,9370,9370,0,0,0,0,7891,17261
1991:Q3,17600,0,14633,14633,0,0,0,0,2967,17600
1991:Q4,17535,0,20365,20365,0,0,0,0,-2830,17535
1992:Q1,17624,0,-6314,-6314,0,0,0,0,23938,17624
1992:Q2,17865,0,9689,9689,0,0,0,0,8176,17865
1992:Q3,17911,0,15528,15528,0,0,0,0,2383,17911
1992:Q4,17350,0,20884,20884,0,0,0,0,-3534,17350
1993:Q1,16985,0,-7966,-7966,0,0,0,0,24951,16985
1993:Q2,16926,0,9563,9563,0,0,0,0,7363,16926
1993:Q3,16914,0,14847,14847,0,0,0,0,2067,16914
1993:Q4,16672,0,20634,20634,0,0,0,0,-3962,16672
1994:Q1,16646,0,-7916,-7916,0,0,0,0,24562,16646
1994:Q2,16738,0,9425,9425,0,0,0,0,7313,16738
1994:Q3,17461,0,14510,14510,0,0,0,0,2951,17461
1994:Q4,16969,0,21623,21623,0,0,0,0,-4654,16969
1995:Q1,17102,0,-8614,-8614,0,0,0,0,25716,17102
1995:Q2,17712,0,10026,10026,0,0,0,0,7686,17712
1995:Q3,17873,0,14699,14699,0,0,0,0,3174,17873
1995:Q4,17122,0,4715,4715,0,0,0,0,12407,17122
1996:Q1,17310,0,4518,4518,0,0,0,0,12792,17310
1996:Q2,17650,0,11800,11800,0,0,0,0,5850,17650
1996:Q3,17439,0,13138,13138,0,0,0,0,4301,17439
1996:Q4,17208,0,25604,25604,0,0,0,0,-8396,17208
1997:Q1,17240,0,-9855,-9855,0,0,0,0,27095,17240
1997:Q2,17356,0,9503,9503,0,0,0,0,7853,17356
1997:Q3,17498,0,15562,15562,0,0,0,0,1936,17498
1997:Q4,17091,0,25091,25091,0,0,0,0,-8000,17091
1998:Q1,17283,0,-11224,-11224,0,0,0,0,28507,17283
1998:Q2,18951,0,11063,11063,0,0,0,0,7888,18951
1998:Q3,18094,0,14744,14744,0,0,0,0,3350,18094
1998:Q4,18119,0,26635,26635,0,0,0,0,-8516,18119
1999:Q1,18043,0,-10357,-10357,0,0,0,0,28400,18043
1999:Q2,18487,0,10182,10182,0,0,0,0,8305,18487
1999:Q3,18688,0,14732,14732,0,0,0,0,3956,18688
1999:Q4,18397,0,26565,26565,0,0,0,0,-8168,18397
2000:Q1,17520,0,-11083,-11083,0,0,0,0,28603,17520
2000:Q2,18223,0,10379,10379,0,0,0,0,7844,18223
2000:Q3,18517,0,14034,14034,0,0,0,0,4483,18517
2000:Q4,18531,0,7572,7572,0,0,0,0,10959,18531
2001:Q1,18385,0,8339,8339,0,0,0,0,10046,18385
2001:Q2,19686,0,11641,11641,0,0,0,0,8045,19686
2001:Q3,18651,0,13318,13318,0,0,0,0,5333,18651
2001:Q4,18478,0,27537,27537,0,0,0,0,-9059,18478
2002:Q1,18124,0,-12033,-12033,0,0,0,0,30157,18124
2002:Q2,18133,0,8834,8834,0,0,0,0,9299,18133
2002:Q3,18785,0,11114,11114,0,0,0,1500,6171,18785
2002:Q4,16074,0,16614,16614,0,0,0,8287,-8827,16074
2003:Q1,17501,0,-22496,-22496,0,0,0,9499,30498,17501
2003:Q2,19515,1,10841,10841,0,0,0,-1,8674,19515
2003:Q3,20040,0,16791,10640,0,0,6151,-6190,9439,20040
2003:Q4,20722,36,27453,26927,0,0,526,-1103,-5664,20722
2004:Q1,19525,35,-13716,-13770,0,0,54,-115,33321,19525
2004:Q2,20077,36,8408,8101,0,0,307,-562,12195,20077
2004:Q3,21021,36,14999,14405,910,0,-316,-67,6053,21021
2004:Q4,20627,68,32262,31604,76,0,582,-630,-11073,20627
2005:Q1,20750,69,-11520,-11556,-4,0,40,-242,32443,20750
2005:Q2,21400,68,8781,8747,-4,0,38,-65,12616,21400
2005:Q3,20736,68,14131,14371,1287,0,-1527,-27,6564,20736
2005:Q4,20436,28,28911,28765,42,0,104,-277,-8226,20436
2006:Q1,19888,28,-13711,-14100,89,0,300,-816,34387,19888
2006:Q2,19933,28,4520,4541,-21,0,0,-163,15548,19933
2006:Q3,19980,27,14738,14767,-26,0,-3,170,5045,19980
2006:Q4,19674,-13,31040,30468,234,0,338,-770,-10583,19674
2007:Q1,19807,-14,-15160,-15276,25,0,91,-343,35324,19807
2007:Q2,19987,-13,-10014,-10521,134,0,373,-633,30647,19987
2007:Q3,20357,-14,15837,17209,-249,0,-1123,265,4269,20357
2007:Q4,20128,33,42614,42856,-102,0,-140,200,-22719,20128
2008:Q1,19874,33,-15796,-15281,-212,0,-303,354,35283,19874
