1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1984:Q2,200096,22971,24668,17198,134467,79844,14889,16633,22565,536,792,200096,200096,0,0,0,0,0
1984:Q3,205269,23651,19975,20537,140567,85689,13618,18073,22613,574,539,205269,205269,0,0,0,0,0
1984:Q4,233554,21197,24126,22752,165056,97901,25395,16962,23973,825,423,233554,233554,0,0,0,0,0
1985:Q1,241000,20941,21849,23271,175513,96452,26109,17605,34455,892,-574,241000,241000,0,0,0,0,0
1985:Q2,247095,18582,20301,17963,188949,108266,24733,19702,35429,819,1300,247095,247095,0,0,0,0,0
1985:Q3,243416,18983,19186,21250,183620,100919,22677,21961,37072,991,377,243416,243416,0,0,0,0,0
1985:Q4,243803,19011,17435,26046,179152,99047,24570,18093,36449,993,2159,243803,243803,0,0,0,0,0
1986:Q1,266529,19157,17754,26180,201439,101882,29238,17103,52430,786,1999,266529,266529,0,0,0,0,0
1986:Q2,278099,22030,17526,32121,203985,109390,22336,14806,56297,1156,2437,278099,278099,0,0,0,0,0
1986:Q3,296048,22612,19916,30775,220283,117799,23927,15176,61830,1551,2462,296048,296048,0,0,0,0,0
1986:Q4,292152,22140,20191,32120,214131,105158,27997,15101,64090,1785,3570,292152,292152,0,0,0,0,0
1987:Q1,304475,27061,19892,36846,216543,109194,18443,16644,70546,1716,4133,304475,304475,0,0,0,0,0
1987:Q2,301489,23889,24768,37683,211240,106459,20175,15835,67026,1745,3909,301489,301489,0,0,0,0,0
1987:Q3,306182,22668,27532,40235,211957,111457,15198,18392,65231,1679,3790,306182,306182,0,0,0,0,0
1987:Q4,316096,21579,34845,39229,216367,111131,14278,26957,61820,2181,4076,316096,316096,0,0,0,0,0
1988:Q1,344684,22067,37513,41367,236812,118328,14821,29732,70508,3423,6925,344684,344684,0,0,0,0,0
1988:Q2,327808,22080,35091,40553,224575,120644,13096,21961,66203,2671,5509,327808,327808,0,0,0,0,362
1988:Q3,327157,22463,37994,41524,217873,118204,10820,20844,65502,2503,7303,327157,327157,0,0,0,0,636
1988:Q4,338862,29648,34295,41611,227898,129508,11541,18433,66088,2328,5410,338862,338862,0,0,0,0,909
