1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1991:Q2,24917,0,0,3830,8,778,3044,21087,26642,14414,8680,4198,4482,1479,3003,3548
1991:Q3,24303,0,0,3745,7,778,2960,20558,26392,14046,8885,4307,4578,1511,3067,3461
1991:Q4,25526,0,0,3599,7,778,2814,21927,28026,14177,9443,4650,4793,1582,3211,4406
1992:Q1,26370,0,21,3520,7,761,2752,22829,28524,15071,10084,5076,5008,1653,3355,3369
1992:Q2,26685,0,49,3783,10,807,2966,22853,28870,14154,10245,5216,5029,1660,3369,4471
1992:Q3,26972,0,92,3603,16,745,2842,23277,29604,14132,10666,5527,5139,1696,3443,4806
1992:Q4,24418,0,142,3800,23,783,2994,20476,29835,14401,8838,3483,5355,1767,3588,6596
1993:Q1,23672,0,151,3698,28,759,2911,19823,28808,14480,9048,3348,5700,1881,3819,5280
1993:Q2,24813,0,160,3630,35,717,2878,21023,29228,13564,9372,3334,6038,1993,4045,6292
1993:Q3,25096,0,155,3604,41,708,2855,21337,30755,13190,10859,3279,7580,2501,5079,6706
1993:Q4,25864,0,164,3548,45,682,2821,22152,33143,13289,12249,3305,8944,2952,5992,7605
1994:Q1,27015,0,197,4128,57,775,3296,22690,38715,13075,15306,3906,11400,3762,7638,10334
1994:Q2,26175,0,230,4566,76,814,3676,21379,42275,12482,19057,4557,14500,4785,9715,10736
1994:Q3,25715,0,264,4839,96,812,3931,20612,47615,12601,22801,5301,17500,5775,11725,12213
1994:Q4,24959,0,297,4728,101,767,3860,19934,49011,12059,24337,5611,18726,6180,12546,12615
1995:Q1,25074,0,301,4627,116,694,3817,20146,49690,12074,24868,5301,19567,6457,13110,12748
1995:Q2,25799,0,306,4641,125,665,3851,20852,51731,12109,26107,4578,21529,7105,14424,13515
1995:Q3,26215,0,310,4558,138,633,3787,21347,52899,12129,26816,4165,22651,7475,15176,13954
1995:Q4,26486,0,404,4253,138,559,3556,21829,55337,12239,28723,4672,24051,7937,16114,14375
1996:Q1,26757,0,498,3831,144,440,3247,22428,57775,12348,30632,5179,25453,8399,17054,14795
1996:Q2,27136,0,592,3551,143,375,3033,22993,61188,12503,33304,5889,27415,9047,18368,15381
1996:Q3,27588,1605,682,3322,143,363,2816,21979,65261,12687,36491,6735,29756,9819,19937,16083
1996:Q4,29472,1943,606,3514,160,427,2927,23409,70630,13265,39122,7214,31908,10530,21378,18243
1997:Q1,31832,2572,686,3819,175,431,3213,24755,78676,14428,43895,7838,36057,11899,24158,20353
1997:Q2,36173,2488,845,4297,205,538,3554,28543,89766,15961,50322,10212,40110,13236,26874,23483
1997:Q3,42124,3323,841,4610,227,602,3781,33350,101533,20651,52632,10851,41781,13788,27993,28250
1997:Q4,49017,2861,905,5345,279,750,4316,39906,123738,24993,63204,16388,46816,15449,31367,35541
1998:Q1,60540,3978,1127,6111,312,777,5022,49324,146321,31441,70409,21318,49091,16200,32891,44471
1998:Q2,62967,4213,1179,6525,366,801,5358,51050,162324,37653,78458,24404,54054,17838,36216,46213
1998:Q3,58464,3353,1075,7084,360,859,5865,46952,179744,39618,95100,31141,63959,21106,42853,45026
1998:Q4,48117,3539,850,6968,295,769,5904,36760,182951,42168,102863,31258,71605,23630,47975,37920
1999:Q1,47562,3263,784,7326,266,731,6329,36189,191144,47112,103351,26715,76636,25290,51346,40681
1999:Q2,46473,3212,777,7250,260,696,6294,35234,185753,45892,99985,26414,73571,24278,49293,39876
1999:Q3,45520,3788,734,7138,262,659,6217,33860,189877,46514,101269,25356,75913,25051,50862,42094
1999:Q4,29159,3747,1027,7359,117,740,6502,17026,182946,46848,100694,21869,78825,14561,64264,35404
2000:Q1,30251,3925,1155,7298,85,748,6465,17873,186329,47974,103052,22085,80967,15341,65626,35303
2000:Q2,29755,3724,1178,6988,97,763,6128,17865,189119,49156,103211,20611,82600,15962,66638,36752
2000:Q3,28921,3250,1158,6103,120,723,5260,18410,187837,50861,99946,17948,81998,16568,65430,37030
2000:Q4,29797,3818,1430,5929,134,697,5098,18620,189171,51011,101157,17607,83550,17623,65927,37003
2001:Q1,30299,3513,1505,5679,142,554,4983,19602,190939,54478,99369,15481,83888,17933,65955,37092
2001:Q2,30611,4038,1100,5143,146,647,4350,20330,191073,53059,101305,15089,86216,18153,68063,36709
2001:Q3,30757,4846,1135,4980,180,683,4117,19796,188833,54849,97643,13688,83955,17458,66497,36341
2001:Q4,29675,4802,977,5358,123,500,4735,18538,192646,56132,100131,14372,85759,19122,66637,36383
2002:Q1,30008,5378,933,4938,120,503,4315,18759,195559,57311,101537,13803,87734,19933,67801,36711
2002:Q2,30762,5764,820,4899,116,536,4247,19279,203901,58869,107927,14434,93493,19874,73619,37105
2002:Q3,31179,5899,829,5005,172,502,4331,19446,209455,62214,109170,14273,94897,20401,74496,38071
2002:Q4,30613,4525,763,4635,103,305,4227,20690,214298,63250,112058,15098,96960,20818,76142,38990
2003:Q1,31057,5629,703,4378,105,302,3971,20347,213804,65213,111543,15745,95798,20601,75197,37048
2003:Q2,31806,5708,700,4371,106,321,3944,21027,215139,65467,111848,14206,97642,20956,76686,37824
2003:Q3,34870,7364,869,4651,63,314,4274,21986,218939,65740,115019,14073,100946,20825,80121,38180
2003:Q4,38637,8072,1045,5139,78,349,4712,24381,228890,68476,120595,14740,105855,21325,84530,39819
2004:Q1,41246,8757,1153,5013,67,287,4659,26323,236021,70922,125876,14420,111456,22768,88688,39223
2004:Q2,43333,8783,1218,5138,45,345,4748,28194,244722,70477,133941,16334,117607,23748,93859,40304
2004:Q3,44367,7900,1152,5268,47,327,4894,30047,254261,73655,139018,17454,121564,24339,97225,41588
2004:Q4,48422,8716,1394,5709,48,298,5363,32603,277171,82699,148311,16954,131357,24904,106453,46161
