date,Mutual funds; undistributed corporate profits; gross saving; net saving,Mutual funds; total financial assets,Mutual funds; money market fund shares; asset,Mutual funds; security repurchase agreements (net); asset,Mutual funds; debt securities; asset (market value),Mutual funds; commercial paper; asset,Mutual funds; Treasury securities; asset (market value),Mutual funds; agency- and GSE-backed securities; asset (market value),Mutual funds; municipal securities; asset (market value),Mutual funds; corporate and foreign bonds; asset (market value),Mutual funds; syndicated loans to nonfinancial corporate business; asset,Mutual funds; corporate equities; asset,Mutual funds; unidentified miscellaneous assets,Mutual funds; mutual fund shares; liability,Mutual funds; sector discrepancy,Variable annuity mutual funds; total financial assets (market value),Mutual funds; total financial assets in domestic equity funds,Mutual funds; total financial assets in world equity funds,Mutual funds; total financial assets in hybrid funds,Mutual funds; total financial assets in taxable bond funds,Mutual funds; total financial assets in municipal bond funds
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2005:Q3,-39453,365312,0,-2540,175426,-2738,48292,108560,10392,10920,8712,178311,5404,365312,-39453,32111,74712,88048,46512,84084,24488
2005:Q4,-39867,300987,0,-7016,101915,-6857,30556,86552,-676,-7660,13656,162906,29526,300987,-39867,4913,52515,169348,41976,32556,1580
2006:Q1,-44242,410852,0,33916,211591,38739,6144,-51272,26824,191156,7328,187285,-29268,410852,-44242,54099,88443,251608,26804,95836,32660
2006:Q2,-45561,108724,0,1672,122781,-4683,-18352,49308,22304,74204,9824,66018,-91572,108724,-45561,13526,-27939,119596,20200,34452,9704
2006:Q3,-47880,307686,0,7688,130430,2954,6148,29780,21632,69916,7432,119281,42855,307686,-47880,40917,22616,93692,34932,77124,21188
2006:Q4,-51039,557349,0,-12356,402347,-6089,23376,170928,42228,171904,14620,260859,-108120,557349,-51039,47183,53077,204696,65452,128072,31092
2007:Q1,-54362,489097,0,-2472,221595,6035,26988,64668,40260,83644,43308,278366,-51700,489097,-54362,30970,25680,185552,70760,188612,44512
2007:Q2,-57573,279550,0,-7972,321769,-16363,7080,196808,34288,99956,46048,102971,-183266,279550,-57573,35890,-55339,154052,66056,193456,31436
2007:Q3,-59848,248754,0,6844,132333,1125,-29432,-4812,-3676,169128,28436,79136,2006,248754,-59848,40576,-34942,120168,42332,78828,11140
2007:Q4,-61249,486990,0,6124,283623,11727,18036,166564,89288,-1992,26480,-23213,193977,486990,-61249,61128,-30851,206832,70664,139512,-5396
2008:Q1,-56201,41390,0,-424,-6219,17,-1344,-36712,28908,2912,12716,-50457,85774,41390,-56201,-4810,-205330,-9800,33068,206176,34732
2008:Q2,-55236,311681,0,23988,276429,21869,-45916,-184,43712,256948,10388,84225,-83349,311681,-55236,38075,49905,76728,52308,166532,54860
2008:Q3,-52195,-159842,0,-21528,-31673,-28365,74240,-12816,28372,-93104,24764,-124914,-6491,-159842,-52195,-31031,-110826,-129992,-24460,70480,27712
2008:Q4,-47224,-425632,0,-45064,-817313,-36549,-16860,-319060,-90992,-353852,1744,-99438,534439,-425632,-47224,-25230,-167329,-115388,-71280,-125456,-45044
2009:Q1,-48720,29103,0,-43612,341465,-66147,146264,157056,56936,47356,2340,-178899,-92191,29103,-48720,10057,-143554,-57388,-22636,208148,57012
2009:Q2,-42879,652366,0,20420,526794,24866,122556,67716,95704,215952,1796,218327,-114971,652366,-42879,76829,137084,60216,58580,338624,79720
2009:Q3,-37785,792085,0,30320,618283,19539,120996,118416,104992,254340,1412,256541,-114471,792085,-37785,60095,84351,63140,51680,448628,117076
2009:Q4,-33313,659742,0,25332,579270,54202,43856,-35756,80816,436152,-312,128311,-72859,659742,-33313,38552,-47276,123844,68396,436224,71424
2010:Q1,-21142,401109,0,-4756,573044,-46984,202340,80168,85928,251592,-6856,74016,-234340,401109,-21142,29454,-68220,92796,68108,355872,66284
2010:Q2,-23256,346144,0,-43384,421639,-35025,190512,275408,45532,-54788,2616,6340,-41067,346144,-23256,27757,-39145,28296,37612,273168,34528
2010:Q3,-25895,471009,0,17600,432640,14076,54648,-66724,37832,392808,6156,46600,-31987,471009,-25895,25201,-43696,12760,32676,348808,58036
2010:Q4,-29184,362426,27612,-41820,342249,43161,71712,10028,-37488,254836,-5244,146963,-107334,362426,-29184,16588,-31031,173828,86096,157220,-63300
2011:Q1,-34129,204236,57696,17860,-177263,-10287,-56744,-389832,-60716,340316,48704,145898,111341,204236,-34129,4369,-22157,80876,115572,204216,-65108
2011:Q2,-36680,325909,18024,-66156,-42807,-72651,-18088,908,-23548,70572,51972,39616,325261,325909,-36680,-5499,-50470,30956,70168,275500,1040
2011:Q3,-36929,36825,-46260,-116192,-642155,-43631,-75412,112240,4832,-640184,-17868,-80484,939784,36825,-36929,-7543,-166705,-11732,21792,112728,15352
2011:Q4,-35128,232866,69800,33344,1010117,42817,274552,560372,49576,82800,-7160,-80613,-792622,232866,-35128,813,-142300,10520,53420,213936,52240
2012:Q1,-39483,344449,84020,59132,729753,-34235,264408,159352,80232,259996,2876,-112639,-418694,344449,-39483,6466,-134400,32576,119056,353960,78804
2012:Q2,-38048,341761,-14112,7908,268863,-21729,8604,163476,73672,44840,20100,-68783,127785,341761,-38048,3893,-98073,83436,41068,272284,59328
2012:Q3,-41470,493878,53772,12580,484036,9620,291552,-161496,70492,273868,5600,-15998,-46112,493878,-41470,-7410,-64031,-20868,84544,353620,73108
2012:Q4,-47753,365409,-52448,-35156,438916,20984,-175100,265104,58604,269324,20276,11459,-17639,365409,-47753,-29093,-144996,39468,30832,344120,41672
2013:Q1,-56111,589036,110332,44104,424274,-37482,107368,6032,54172,294184,79208,76505,-145387,589036,-56111,-19544,16845,192812,133540,296416,50984
2013:Q2,-50831,184309,37080,-12820,-71653,35563,-115392,67004,-53896,-4932,71648,196232,-36178,184309,-50831,-36710,32919,126568,99568,13696,-63472
2013:Q3,-67502,254389,142104,1860,-222968,52344,-148768,-220976,-102656,197088,107040,224022,2332,254389,-67502,-35759,124667,117704,92212,-44080,-101736
2013:Q4,-57393,358342,50496,-8944,39191,-23689,-60280,-17408,-55560,196128,56048,289518,-67966,358342,-57393,-39511,97656,239104,62136,-34952,-66512
2014:Q1,-79472,329669,-93460,6300,-116931,-1291,410628,-604392,-6788,84912,41752,173748,318260,329669,-79472,-49664,24351,147800,73356,147952,27312
2014:Q2,-75605,366159,14660,-4896,286461,61937,33956,-63004,32828,220744,-21568,66499,25003,366159,-75605,-40454,-543,109312,77096,172532,41020
2014:Q3,-75644,268762,-19896,-14712,42489,-46847,278140,-242392,-9776,63364,-49484,115218,195147,268762,-75644,-49891,-26236,104948,57296,22204,43516
2014:Q4,-77502,279246,58248,-22444,244729,3685,50508,108388,43996,38152,-69960,21103,47570,279246,-77502,-47628,-247,115256,24976,30780,51156
2015:Q1,-54720,269448,-19376,-2964,254076,-49576,79484,59712,42928,121528,-16784,102160,-47664,269448,-54720,-38975,-37641,116204,59768,160024,48180
2015:Q2,-70200,237120,-58000,-12176,402182,-12246,126564,-103044,10904,380004,-5544,154648,-243990,237120,-70200,-47468,-139208,201532,35956,163888,5364
2015:Q3,-90930,-69754,-90544,-39648,-154379,7397,222056,-207984,-10600,-165248,-44856,66566,193107,-69754,-90930,-61443,-124682,143840,-23004,-126440,2916
2015:Q4,-120640,-41910,-39368,14656,49798,-2526,193184,-141680,21668,-20848,-50220,-91762,74986,-41910,-120640,-30154,-105132,44836,-31584,-56224,56312
2016:Q1,6848,20586,25580,9416,40383,40055,4116,31452,79824,-115064,-22208,-111735,79150,20586,6848,-54977,-145882,93772,-13504,73200,70784
