1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q3,3812,76,48,0,28,944,0,292,4,648,88,584,0,2044,0,84,1888,72,3816
1955:Q4,3692,44,52,0,28,684,0,108,20,556,100,644,0,2140,0,60,1996,84,3696
1956:Q1,3637,16,52,0,32,788,0,-68,52,804,112,692,0,1945,0,64,1793,88,3640
1956:Q2,3873,-8,52,0,40,968,0,-164,0,1132,128,732,0,1961,0,24,1817,120,3876
1956:Q3,4565,-12,60,0,32,1276,0,-232,24,1484,136,776,0,2297,0,28,2153,116,4568
1956:Q4,5529,4,60,0,32,1584,0,-200,12,1772,136,812,0,2901,0,60,2761,80,5532
1957:Q1,6338,36,60,0,24,1588,0,-220,56,1752,132,848,0,3650,0,36,3542,72,6340
1957:Q2,6990,60,64,0,20,1404,0,-220,20,1604,128,880,0,4434,0,88,4310,36,6992
1957:Q3,7002,60,64,0,20,1228,0,-208,32,1404,132,924,0,4574,0,12,4506,56,7004
1957:Q4,6294,48,68,0,16,1076,0,-220,96,1200,144,980,0,3962,0,20,3882,60,6296
1958:Q1,5236,36,72,0,20,1108,0,-152,92,1168,144,1024,0,2832,0,60,2736,36,5236
1958:Q2,4540,28,76,0,12,1152,0,64,-96,1184,144,1064,0,2064,0,84,1960,20,4540
1958:Q3,4376,24,76,0,16,1228,0,-4,16,1216,160,1124,0,1748,0,104,1628,16,4376
1958:Q4,4780,32,80,0,24,1308,0,60,0,1248,188,1208,0,1940,0,116,1792,32,4780
1959:Q1,5334,36,84,0,28,824,0,76,64,684,216,1360,0,2786,0,60,2658,68,5336
1959:Q2,5978,44,84,0,28,1244,0,140,108,996,240,1552,0,2786,0,104,2614,68,5980
1959:Q3,6238,44,88,0,36,1128,0,192,52,884,260,1216,0,3466,0,40,3326,100,6240
1959:Q4,5934,32,92,0,32,1520,0,96,12,1412,272,1448,0,2538,0,108,2350,80,5936
1960:Q1,5270,12,96,0,40,1076,0,-244,240,1080,296,1508,0,2242,0,8,2106,128,5272
1960:Q2,4578,-8,104,0,40,904,0,-240,112,1032,328,1568,0,1642,0,92,1434,116,4580
1960:Q3,4022,0,104,0,44,1140,0,-148,-4,1292,328,1476,0,930,0,4,778,148,4024
1960:Q4,3574,40,104,0,36,1668,0,-12,-80,1760,296,1676,0,-246,0,160,-478,72,3576
