date,Total Nonfinancial,Households and Nonprofits,Nonfinancial Business,Federal Government,State and Local Governments,GDP,Total Nonfinancial Debt Growth,Households and Nonprofits Debt Growth,Nonfinancial Business Debt Growth,Federal Government Debt Growth,State and Local Governments Debt Growth,Nonfinancial Corporate Business,Nonfinancial Noncorporate Business,Noncorporate Business; Nonmortgage Depository Loans,Noncorporate Business; Mortgages,Noncorporate Business; Other,Corporate Business; Corporate Bonds,Corporate Business; Nonmortgage Depository Loans,Corporate Business; Mortgages,Corporate Business; Commercial Paper,Corporate Business; Other,Total Nonfinancial; Ratio to GDP,Households and Nonprofits; Ratio to GDP,Nonfinancial Business; Ratio to GDP,Federal Government; Ratio to GDP,State and Local Governments; Ratio to GDP,Nonfinancial Corporate Business; Ratio to GDP,Nonfinancial Noncorporate Business; Ratio to GDP,Noncorporate Nonmortgage Depository Loans; Ratio to GDP,Noncorporate Mortgages; Ratio to GDP,Noncorporate Other Nonfinancial Debt; Ratio to GDP,Corporate Bonds; Ratio to GDP,Corporate Nonmortgage Depository Loans; Ratio to GDP,Corporate Mortgages; Ratio to GDP,Corporate Commercial Paper; Ratio to GDP,Corporate Other; Ratio to GDP,Households and Nonprofits; Share of Total Nonfinancial Debt,Nonfinancial Business; Share of Total Nonfinancial Debt,Federal Governments; Share of Total Nonfinancial Debt,State and Local Governments; Share of Total Nonfinancial Debt,Nonfinancial Corporate Business; Share of Total Nonfinancial Business Debt,Nonfinancial Noncorporate Business; Share of Total Nonfinancial Business Debt,Noncorporate Nonmortgage Depository Loans; Share of Nonfinancial Noncorporate Business Debt,Noncorporate Mortgages; Share of Nonfinancial Noncorporate Business Debt,Noncorporate Other; Share of Nonfinancial Noncorporate Business Debt,Corporate Bonds; Share of Nonfinancial Corporate Business Debt,Corporate Nonmortgage Depository Loans; Share of Nonfinancial Corporate Business Debt,Corporate Mortgages; Share of Nonfinancial Corporate Business Debt,Corporate Commercial Paper; Share of Nonfinancial Corporate Business Debt,Corporate Other; Share of Nonfinancial Corporate Business Debt
1964:Q4,965255,317130,274192,278309,95624,697319,7.704,10.085,9.833,3.227,6.954,187925,86267,12477,63886,9904,92408,50264,31443,1125,12685,1.384,0.455,0.393,0.399,0.137,0.269,0.124,0.018,0.092,0.014,0.133,0.072,0.045,0.002,0.018,0.329,0.284,0.288,0.099,0.685,0.315,0.145,0.741,0.115,0.492,0.267,0.167,0.006,0.068
1964:Q3,947190,309331,267787,276082,93990,692031,7.034,8.855,8.787,3.163,7.576,183446,84341,12309,62330,9703,91058,48697,30170,914,12607,1.369,0.447,0.387,0.399,0.136,0.265,0.122,0.018,0.09,0.014,0.132,0.07,0.044,0.001,0.018,0.327,0.283,0.291,0.099,0.685,0.315,0.146,0.739,0.115,0.496,0.265,0.164,0.005,0.069
1964:Q2,930822,302632,262031,273916,92243,678674,7.245,10.123,9.037,2.31,7.636,179976,82055,12073,60461,9521,90362,47208,29346,917,12143,1.372,0.446,0.386,0.404,0.136,0.265,0.121,0.018,0.089,0.014,0.133,0.07,0.043,0.001,0.018,0.325,0.282,0.294,0.099,0.687,0.313,0.147,0.737,0.116,0.502,0.262,0.163,0.005,0.067
1964:Q1,914262,295162,256242,272343,90515,669822,6.055,9.647,6.464,1.97,5.701,176585,79657,11860,58397,9400,89091,46209,28826,882,11577,1.365,0.441,0.383,0.407,0.135,0.264,0.119,0.018,0.087,0.014,0.133,0.069,0.043,0.001,0.017,0.323,0.28,0.298,0.099,0.689,0.311,0.149,0.733,0.118,0.505,0.262,0.163,0.005,0.066
1963:Q4,900618,288211,252156,271008,89243,653938,7.846,11.202,10.541,2.492,6.014,174184,77972,11731,57179,9063,88414,45623,28236,968,10943,1.377,0.441,0.386,0.414,0.136,0.266,0.119,0.018,0.087,0.014,0.135,0.07,0.043,0.001,0.017,0.32,0.28,0.301,0.099,0.691,0.309,0.15,0.733,0.116,0.508,0.262,0.162,0.006,0.063
1963:Q3,883320,280359,245710,269330,87921,644444,5.423,10.71,7.199,-1.412,5.138,170148,75562,11113,55671,8778,87225,44298,27162,976,10487,1.371,0.435,0.381,0.418,0.136,0.264,0.117,0.017,0.086,0.014,0.135,0.069,0.042,0.002,0.016,0.317,0.278,0.305,0.1,0.692,0.308,0.147,0.737,0.116,0.513,0.26,0.16,0.006,0.062
1963:Q2,871504,273048,241366,270284,86806,629752,7.584,11.322,7.954,3.353,8.22,167940,73426,10910,53879,8637,86695,43403,26527,1030,10285,1.384,0.434,0.383,0.429,0.138,0.267,0.117,0.017,0.086,0.014,0.138,0.069,0.042,0.002,0.016,0.313,0.277,0.31,0.1,0.696,0.304,0.149,0.734,0.118,0.516,0.258,0.158,0.006,0.061
1963:Q1,855287,265533,236659,268037,85058,621672,6.15,8.902,6.683,2.996,6.15,165589,71070,10602,51836,8632,85579,42848,25950,1158,10054,1.376,0.427,0.381,0.431,0.137,0.266,0.114,0.017,0.083,0.014,0.138,0.069,0.042,0.002,0.016,0.31,0.277,0.313,0.099,0.7,0.3,0.149,0.729,0.121,0.517,0.259,0.157,0.007,0.061
1962:Q4,842334,259752,232768,266044,83770,612280,8.347,10.217,9.476,5.733,7.804,163466,69302,10573,50491,8238,84643,42226,25563,1198,9836,1.376,0.424,0.38,0.435,0.137,0.267,0.113,0.017,0.082,0.013,0.138,0.069,0.042,0.002,0.016,0.308,0.276,0.316,0.099,0.702,0.298,0.153,0.729,0.119,0.518,0.258,0.156,0.007,0.06
1962:Q3,825118,253282,227384,262285,82167,609027,5.499,9.722,7.73,-0.524,5.989,160110,67274,10084,49060,8130,83558,41282,24488,1240,9542,1.355,0.416,0.373,0.431,0.135,0.263,0.11,0.017,0.081,0.013,0.137,0.068,0.04,0.002,0.016,0.307,0.276,0.318,0.1,0.704,0.296,0.15,0.729,0.121,0.522,0.258,0.153,0.008,0.06
