year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
2013,No high school diploma,33.0742,118.88104,156.87198,31.403709,4.9387174,46.150558,19.602512,6160.5005,98.29306,327.95584,8.6993408,90.430222,43.267258,17.868113,47.660091,146.59003,152.32848,15.657413,138.53687,128.05931,537.41364,21.176081,97.518173,51.279469,91.85878,84.23288,13.565487,33.139858,3.8096745,5.6238093,91.960564,31.323915,11.563578,13.410867,10.30814
2013,High school diploma,55.691864,219.34621,289.39999,89.336861,15.850323,71.800575,3.2156219,286.77789,144.39255,127.40987,15.882305,204.02095,95.573456,56.323757,87.464401,221.60542,176.6339,21.678137,165.30077,180.74925,491.39105,24.140005,109.25938,86.157257,121.49818,114.53947,19.298378,12.285024,4.77671,7.1768041,120.55225,42.815914,15.391676,21.784508,9.4052553
2013,Some college,71.609375,349.85251,436.9613,152.97334,24.161325,48.489693,5.4836655,544.84161,191.86734,258.45401,23.942581,333.65588,131.09816,33.267487,140.12653,312.08435,231.4017,23.704287,263.69067,201.2592,768.96704,41.299511,180.21762,102.64597,142.01674,94.960335,26.571188,15.108818,6.0398669,10.811234,141.78477,52.08989,14.9798,23.188124,27.391207
2013,College degree,173.98665,1277.7006,1457.3131,663.81421,82.379936,85.479973,8.6770239,663.03546,389.3139,611.81909,72.020325,518.04761,342.03079,105.68545,476.89706,830.54797,446.80154,31.133949,476.6239,424.15234,1417.0859,123.09749,423.96671,219.53806,234.0495,233.05466,39.278809,75.875374,8.5755548,33.855553,234.15158,59.205387,18.471905,44.57296,21.40307
2016,No high school diploma,41.321266,167.28206,205.26358,58.165028,8.099844,144.31383,4.2428579,2504.7131,54.44236,432.2439,19.0016,70.944122,141.96692,10.292909,122.03674,179.94302,154.61197,21.240387,207.02927,235.47244,462.55728,27.184549,120.80386,53.120209,89.055603,112.94992,16.631147,19.586227,4.0846767,5.9939537,91.130775,22.518311,15.827258,20.074926,7.4942708
2016,High school diploma,60.874008,265.31094,326.39063,98.833168,17.764299,47.015667,12.319949,195.59132,134.03391,287.16946,18.650387,249.53827,104.33182,22.244856,109.34547,255.16389,195.67462,22.855381,212.18669,229.47914,597.20538,26.285538,141.72627,82.816849,115.30961,113.46261,24.457336,8.2903452,4.941855,10.143142,116.36423,48.949879,17.36064,24.060778,15.385377
2016,Some college,71.633186,361.70853,440.48492,153.79639,20.087502,46.793827,5.7359214,590.30676,108.96859,272.07224,26.80275,389.30151,136.52397,42.787212,127.5659,313.91736,241.66878,24.283543,299.91296,345.96387,605.9823,50.1609,191.53786,93.780289,131.98351,116.11402,28.04332,8.1853056,4.9843845,13.244775,133.11673,42.308567,17.815371,26.734707,12.06159
2016,College degree,200.29756,1599.7904,1781.3884,830.67035,91.04686,108.53796,11.822828,935.10828,483.18173,1040.0541,67.299362,663.92126,367.24246,126.96429,613.40192,997.01746,490.69608,33.67466,488.45868,748.81757,1904.2128,116.04045,589.6958,216.00627,228.44017,209.99982,47.527603,138.47188,8.7055893,52.01849,231.8195,62.846325,19.965511,50.678715,46.234913
2019,No high school diploma,39.611382,137.57785,175.24641,38.628448,9.1930447,76.488083,2.1939118,254.01147,142.46732,347.67657,14.300154,64.548103,67.710945,9.6015692,87.384392,164.40489,159.78419,18.482637,145.39841,186.12976,304.60233,35.183781,114.94176,59.575657,110.97771,88.412163,19.780785,29.633617,3.3866394,5.8779244,112.65631,34.434456,17.689886,18.156481,12.254946
2019,High school diploma,63.701107,304.58945,375.68109,119.83115,20.101662,69.730789,3.3792341,405.5853,173.24872,373.68137,23.318377,214.83894,119.84379,33.1432,134.52637,285.02838,218.52699,24.453823,220.70657,286.0032,648.26373,51.929695,171.13628,94.298553,133.80157,171.74194,22.443958,26.259556,4.9422317,18.034582,138.24724,45.706738,16.594296,23.970789,13.420011
2019,Some college,78.881065,374.01431,454.53683,152.61476,23.547163,69.36805,7.4212308,313.35083,110.97308,424.06848,24.838684,404.25906,136.48055,30.52697,142.3824,330.90051,258.66791,23.468987,228.37166,365.48758,735.32935,41.463673,184.72269,98.302933,134.15193,121.75004,28.674448,8.486165,6.2141027,17.943539,137.03326,44.70277,17.099985,26.819323,22.936399
2019,College degree,176.05261,1516.9141,1694.7521,780.03754,78.892014,127.72657,10.648396,780.6369,474.88049,1030.229,65.363571,651.36139,381.1857,141.53975,597.85114,964.06091,503.98059,32.236519,565.43573,433.76108,1755.9923,109.46587,598.7486,217.52769,237.42329,254.24289,47.290955,89.979599,7.9411063,38.01511,240.97615,54.620308,18.538265,55.880634,27.848858
